N	3gram	Medvedev_U_1	Analitik
1	в том что	2	7
2	с другой стороны	3	5
3	по крайней мере	2	4
4	в данном случае	1	3
5	то же время	3	3
6	в то же	3	3
7	в этом отношении	2	3
8	с одной стороны	1	2
9	не только к	1	2
10	как нам представляется	1	2
11	в конечном счете	4	2
12	и прежде всего	1	2
13	можно сказать что	1	2
14	а между тем	2	1
15	в частности с	1	1
16	в самом деле	2	1
17	в этом смысле	2	1
18	в этом случае	1	1
19	между тем в	1	1
20	до сих пор	2	1
21	хотя бы и	2	1
22	сам по себе	1	1
23	не только в	1	1
24	не могут быть	2	1
25	которые могли бы	1	1
26	и в этой	2	1
27	так или иначе	1	1
28	не в том	1	1
29	по себе еще	1	1
30	в искусстве от	1	1
31	не может быть	4	1
32	в эстетический объект	1	1
33	само по себе	1	1
34	и т.д в	1	1
35	и в итоге	1	1
36	эстетического объекта в	1	1
37	в отдельности и	1	1
