N	2gram	Medvedev_U_1	Psycholo
1	и в	14	38
2	то что	7	35
3	в том	2	25
4	в самом	2	25
5	самом деле	2	21
6	что в	1	20
7	может быть	6	19
8	и что	1	18
9	на то	1	16
10	что она	2	16
11	в ней	1	15
12	то есть	1	15
13	том что	2	14
14	если бы	2	14
15	в этом	7	13
16	в этой	4	13
17	не только	10	12
18	таким образом	2	12
19	было бы	3	12
20	не в	2	12
21	что он	2	11
22	то же	5	10
23	и не	8	10
24	же самое	2	10
25	и все	1	10
26	и то	3	8
27	все же	3	8
28	с тем	1	8
29	как и	3	8
30	и это	1	8
31	как раз	2	8
32	с другой	4	7
33	мы можем	1	7
34	не может	7	7
35	между тем	2	7
36	может служить	1	7
37	а не	10	7
38	в которых	1	6
39	он не	1	6
40	в котором	1	6
41	она не	1	6
42	о том	1	6
43	с одной	1	6
44	до сих	2	6
45	должна быть	2	5
46	мы не	2	5
47	в своем	1	5
48	могли бы	2	5
49	в которой	1	5
50	иначе говоря	1	5
51	в своей	3	5
52	в его	2	5
53	но и	4	5
54	одной стороны	1	5
55	в той	1	5
56	сих пор	2	5
57	о котором	1	5
58	другой стороны	3	5
59	до крайности	1	4
60	не то	1	4
61	в себе	2	4
62	в нем	1	4
63	очень легко	1	4
64	но если	1	4
65	что этот	1	4
66	что с	1	4
67	никогда не	1	4
68	больше чем	1	4
69	в виду	1	4
70	что и	2	4
71	только в	2	4
72	конечно не	4	4
73	у него	1	4
74	и даже	1	4
75	из которых	1	4
76	в течение	1	4
77	того что	1	4
78	и для	2	4
79	сказать что	1	4
80	ее в	1	4
81	сам автор	1	3
82	по его	1	3
83	что по	1	3
84	но в	3	3
85	что все	2	3
86	бы в	1	3
87	далеко не	1	3
88	она в	1	3
89	в то	3	3
90	того как	1	3
91	он был	1	3
92	и только	5	3
93	тот же	1	3
94	которое мы	1	3
95	тем что	2	3
96	то и	1	3
97	только для	1	3
98	но это	2	3
99	все это	5	3
100	она должна	1	3
101	что под	1	3
102	к этому	1	3
103	как на	1	3
104	в таком	1	3
105	он может	1	2
106	поэзии и	1	2
107	той же	1	2
108	очевидно что	3	2
109	отнюдь не	1	2
110	рассказывается в	1	2
111	которые подходят	1	2
112	он в	1	2
113	всех этих	2	2
114	тем в	1	2
115	признать что	1	2
116	но он	1	2
117	друг другу	1	2
118	их в	1	2
119	ничего не	2	2
120	находятся в	1	2
121	поэтических приемов	1	2
122	у нас	3	2
123	очень часто	1	2
124	не могут	2	2
125	данном случае	1	2
126	для читателя	1	2
127	для этого	3	2
128	говорит он	1	2
129	что только	1	2
130	с каждым	1	2
131	и действительно	1	2
132	по мнению	1	2
133	это же	1	2
134	все они	2	2
135	в качестве	1	2
136	для всех	2	2
137	уже не	1	2
138	в виде	1	2
139	одно из	1	2
140	для него	3	2
141	в конце	2	2
142	это верно	1	2
143	но что	1	2
144	до конца	1	2
145	надо было	2	2
146	хотя бы	5	2
147	в данном	1	2
148	смысле этого	2	2
149	что же	1	2
150	по существу	2	2
151	когда мне	1	2
152	быть не	1	2
153	при таком	2	2
154	же в	1	2
155	а между	2	1
156	же как	1	1
157	художественного произведения	2	1
158	и потому	1	1
159	относятся к	1	1
160	прием и	2	1
161	что мы	2	1
162	их и	2	1
163	часто бывает	1	1
164	мы имеем	1	1
165	дан в	1	1
166	не столько	2	1
167	с его	2	1
168	временной последовательности	1	1
169	но конечно	2	1
170	и эстетики	1	1
171	но не	2	1
172	в сторону	2	1
173	не все	2	1
174	нет и	1	1
175	определяется не	1	1
176	относится к	1	1
177	независимо от	1	1
178	раз обратное	1	1
179	как нам	1	1
180	на предыдущих	1	1
181	а оно	1	1
182	более или	1	1
183	высокую оценку	1	1
184	в известном	1	1
185	творчество и	1	1
186	имеем в	1	1
187	думается что	2	1
188	ее как	1	1
189	подобным образом	1	1
190	на его	1	1
191	теории и	1	1
192	не следует	3	1
193	прием в	2	1
194	не как	3	1
195	самые слова	1	1
196	и с	2	1
197	это не	3	1
198	в итоге	2	1
199	из первых	1	1
200	к области	2	1
201	он и	1	1
202	о чем	2	1
203	должно быть	1	1
204	еще раз	1	1
205	из приемов	1	1
206	или менее	1	1
207	что такое	4	1
208	почти не	1	1
209	в их	4	1
210	на каждом	2	1
211	доказывает что	1	1
212	тому чтобы	1	1
213	и вся	1	1
214	так он	1	1
215	и форм	1	1
216	уж тем	1	1
217	подходят к	1	1
218	лучше и	1	1
219	так много	1	1
220	это то	1	1
221	с новой	1	1
222	и направлено	1	1
223	так то	1	1
224	этом отношении	2	1
225	точном смысле	1	1
226	одним из	2	1
227	не есть	2	1
228	искусства как	2	1
229	что при	1	1
230	отказаться от	1	1
231	правило не	1	1
232	но по	1	1
233	в некоторых	2	1
234	только при	1	1
235	слова а	1	1
236	так и	1	1
237	есть конечно	1	1
238	именно этот	1	1
239	ничего подобного	1	1
240	в словах	1	1
241	никогда и	1	1
242	словесного искусства	1	1
243	которые могли	1	1
244	можно сказать	1	1
245	в пользу	1	1
246	литературные произведения	1	1
247	нас в	2	1
248	это было	2	1
249	в конечном	4	1
250	этих слов	1	1
251	или иначе	1	1
252	приемов и	2	1
253	которых она	1	1
254	в поэтическом	1	1
255	от смысла	1	1
256	каждом шагу	2	1
257	верно и	1	1
258	сторону от	1	1
259	с которыми	1	1
260	без этого	1	1
261	можем его	1	1
262	и у	2	1
263	вводится в	1	1
264	этом плане	1	1
265	не о	3	1
266	бы это	1	1
267	не было	1	1
268	именно как	2	1
269	и прежде	1	1
270	поэзию как	1	1
271	что для	1	1
272	превращается в	2	1
273	много в	1	1
274	на эту	2	1
275	него не	1	1
276	если не	2	1
277	равно как	1	1
278	была уже	1	1
279	в частности	3	1
280	чем то	1	1
281	ни от	2	1
282	этой основной	1	1
283	приемов к	1	1
284	он будет	1	1
285	это значит	1	1
286	с успехом	1	1
287	художественное произведение	5	1
288	больше к	1	1
289	при построении	1	1
290	как автора	1	1
291	случае он	1	1
292	должна была	2	1
293	в точном	1	1
294	начала и	1	1
295	идет не	1	1
296	гораздо больше	1	1
297	и эта	1	1
298	только как	1	1
299	и так	1	1
300	в отдельности	1	1
301	в противоположную	1	1
302	ошибочны очень	1	1
303	это в	1	1
304	все что	1	1
