N	3gram	Voloshinov_1	EvropaiC
1	в том что	4	16
2	до сих пор	3	12
3	по отношению к	9	10
4	с точки зрения	10	8
5	мы знаем что	3	7
6	а между тем	1	7
7	на самом деле	2	7
8	для того чтобы	1	6
9	в самом деле	5	5
10	по сравнению с	1	5
11	о том что	1	4
12	может быть и	1	4
13	в этом случае	1	4
14	сих пор не	1	4
15	и без того	1	4
16	тем не менее	2	4
17	не может быть	3	4
18	в настоящее время	1	3
19	в целом ряде	1	3
20	таким образом в	1	3
21	в данном случае	3	3
22	в то же	5	2
23	бы то ни	1	2
24	в вопросе о	1	2
25	с одной стороны	1	2
26	из того же	1	2
27	а с другой	1	2
28	что же касается	1	2
29	ничего общего с	1	2
30	но все же	1	2
31	и может быть	2	2
32	во всех этих	1	2
33	только то что	2	2
34	то же время	5	2
35	в такой форме	1	2
36	во всяком случае	3	2
37	в свою очередь	1	2
38	том что он	2	2
39	то обстоятельство что	1	1
40	в высшей степени	2	1
41	в данный момент	1	1
42	с самого начала	5	1
43	не без влияния	1	1
44	но мы знаем	1	1
45	в основе их	1	1
46	во всех отношениях	1	1
47	основе их лежит	1	1
48	одной и той	1	1
49	самом деле ведь	1	1
50	из него все	1	1
51	мы можем не	1	1
52	благодаря тому что	2	1
53	с этим понятием	1	1
54	роль в развитии	1	1
55	все же остается	1	1
56	во многих отношениях	1	1
57	к которой он	1	1
58	а следовательно и	2	1
59	а потому и	2	1
60	из того что	1	1
61	мы не знаем	1	1
62	мы видели что	1	1
63	но именно в	1	1
64	таким образом этот	1	1
65	превратив его в	1	1
66	этому требованию и	1	1
67	друг на друга	1	1
68	таким образом и	1	1
69	теперь мы должны	3	1
70	а может быть	1	1
71	иметь в виду	1	1
72	дело в том	1	1
73	что все эти	3	1
74	тот или иной	1	1
75	и не может	1	1
76	и то же	1	1
77	как бы синтез	1	1
78	но вместе с	2	1
79	что он сам	1	1
80	и той же	1	1
81	но при этом	1	1
82	культуры но и	1	1
83	во всех странах	1	1
84	из него только	1	1
85	только одно из	1	1
86	более позднее время	1	1
87	это было бы	1	1
88	целом ряде других	1	1
89	но и его	1	1
90	и у нас	1	1
91	и в дальнейшем	1	1
92	мы можем определить	1	1
93	как мы видели	4	1
94	в зависимости от	2	1
95	нет и не	1	1
96	все то что	2	1
97	который как мы	1	1
98	и социальной среды	1	1
99	одна на другую	1	1
100	в себе и	1	1
101	если мы будем	1	1
102	в его душе	1	1
103	что в данном	1	1
104	они не могут	1	1
105	которой он принадлежит	1	1
106	именно в этой	1	1
107	мы уже знаем	2	1
108	и таким образом	1	1
109	является одним из	1	1
110	в более позднее	1	1
111	на первый взгляд	1	1
112	одно и то	1	1
113	хотя и не	1	1
114	по этому вопросу	1	1
115	по крайней мере	1	1
116	в то время	1	1
