N	3gram	Medvedev_U_1	FransuaR
1	то же время	3	9
2	в то же	3	9
3	в конце концов	2	4
4	но в то	1	3
5	в том что	2	3
6	более или менее	1	2
7	имеем в виду	1	2
8	но по существу	1	2
9	в этом отношении	2	2
10	и в этой	2	2
11	все это в	1	2
12	все они в	1	2
13	и все они	1	2
14	мы имеем в	1	2
15	то что было	1	1
16	материала и формы	2	1
17	то же самое	2	1
18	уже знакомая нам	2	1
19	на первый план	1	1
20	сам по себе	1	1
21	в той же	1	1
22	также несомненно и	1	1
23	таким образом на	1	1
24	является одним из	1	1
25	с тем что	1	1
26	и у других	1	1
27	в данном случае	1	1
28	но именно этот	1	1
29	не только в	1	1
30	одним из самых	1	1
31	и прежде всего	1	1
32	в этом смысле	2	1
33	в этой же	1	1
34	он знает только	1	1
