N	2gram	Trubetskoy_1	Sovremen
1	таким образом	11	8
2	в результате	2	5
3	в этом	17	5
4	не может	22	5
5	мы можем	2	4
6	и наконец	2	4
7	мы не	1	4
8	каждого элемента	1	4
9	как бы	4	4
10	все эти	2	3
11	и мы	1	3
12	не можем	2	3
13	в зависимости	1	3
14	из двух	1	3
15	друг с	14	2
16	из этих	3	2
17	а на	1	2
18	все же	4	2
19	и в	14	2
20	но в	2	2
21	мы должны	7	2
22	же это	1	2
23	что же	4	2
24	на этот	1	2
25	все это	6	2
26	с другом	14	2
27	с общим	1	2
28	на этой	2	2
29	каждая из	1	2
30	если мы	1	2
31	и все	1	2
32	прежде всего	8	2
33	не только	9	2
34	точки зрения	11	2
35	в виде	3	2
36	то же	11	2
37	из которых	5	2
38	не в	4	2
39	при этом	5	2
40	и не	19	1
41	но можно	1	1
42	как мы	1	1
43	может не	3	1
44	не допускает	1	1
45	совершенно бессильна	1	1
46	всегда будет	1	1
47	это и	1	1
48	вследствие этого	1	1
49	таким же	3	1
50	он не	5	1
51	далее что	1	1
52	у всех	1	1
53	роль в	1	1
54	их в	2	1
55	только такой	1	1
56	то они	1	1
57	а в	5	1
58	представление о	1	1
59	в то	10	1
60	в своих	6	1
61	потом и	1	1
62	на другую	1	1
63	по своим	1	1
64	причем эти	1	1
65	свою очередь	1	1
66	дело в	1	1
67	должен быть	1	1
68	с другой	1	1
69	в другом	3	1
70	можно назвать	1	1
71	природы и	1	1
72	для каждого	1	1
73	части одной	1	1
74	но все	1	1
75	как и	4	1
76	в которой	1	1
77	она не	2	1
78	еще не	3	1
79	отметить что	2	1
80	бы к	1	1
81	в отдельных	1	1
82	без помощи	1	1
83	жизни и	4	1
84	о том	7	1
85	другого для	1	1
86	того же	1	1
87	один из	1	1
88	в очень	1	1
89	и потому	3	1
90	это как	1	1
91	с тою	1	1
92	между собой	5	1
93	же время	10	1
94	ясного и	1	1
95	так же	2	1
96	дела не	2	1
97	для нас	2	1
98	всего необходимо	1	1
99	и у	1	1
100	что в	4	1
101	в один	1	1
102	ясно что	2	1
103	на это	2	1
104	в течение	2	1
105	а не	2	1
106	если у	1	1
107	на них	1	1
108	может быть	9	1
109	на некотором	1	1
110	он должен	5	1
111	что при	1	1
112	ее самостоятельности	1	1
113	стороны и	1	1
114	и должно	2	1
115	все равно	1	1
116	и действительно	1	1
117	тем же	1	1
118	то чем	1	1
119	которых он	1	1
120	она может	3	1
121	все элементы	1	1
122	в том	17	1
123	и тот	2	1
124	и т.д	4	1
125	же мы	1	1
126	из одного	1	1
127	это не	1	1
128	всех элементов	1	1
129	конечно не	5	1
130	в себе	9	1
131	принципиально не	1	1
132	одна из	3	1
133	и даже	2	1
134	ли оно	1	1
135	и от	2	1
136	в этой	4	1
137	но это	2	1
138	так как	4	1
139	у него	2	1
140	этом случае	3	1
141	ибо при	1	1
142	что это	3	1
143	этот вопрос	2	1
144	и занимать	1	1
145	же как	1	1
146	не подлежит	2	1
147	в нем	5	1
148	подлежит сомнению	1	1
149	на которых	1	1
150	чтобы он	1	1
151	и к	6	1
152	же самое	1	1
153	и всегда	1	1
154	и по	3	1
155	которую можно	1	1
156	что эта	1	1
157	тем легче	1	1
158	идет о	1	1
159	и более	2	1
160	только к	3	1
161	в конце	3	1
162	они не	1	1
163	а каждая	1	1
164	в свою	1	1
165	меняется в	1	1
166	первое время	1	1
167	это направление	1	1
168	на которой	2	1
169	том что	9	1
170	не могут	4	1
171	в своем	6	1
172	и будет	1	1
173	для этих	1	1
