N	3gram	Tiupa_Anal_3	Marksizm
1	с точки зрения	2	13
2	не может быть	1	10
3	по отношению к	7	8
4	то же время	3	8
5	в то же	3	8
6	в связи с	1	7
7	для того чтобы	1	6
8	в том что	7	6
9	в самом деле	1	5
10	в свою очередь	4	5
11	в большинстве случаев	1	5
12	и того же	3	4
13	как если бы	1	4
14	на самом деле	1	4
15	той или иной	3	4
16	одного и того	3	4
17	если бы он	1	3
18	в той или	1	3
19	в таком случае	1	3
20	в отличие от	2	3
21	до сих пор	1	3
22	с одной стороны	2	3
23	о том что	5	3
24	всех без исключения	3	2
25	том что он	2	2
26	того или иного	1	2
27	в зависимости от	1	2
28	внутренней и внешней	1	2
29	по крайней мере	4	2
30	отнюдь не является	1	2
31	в значительной степени	2	2
32	во всяком случае	2	2
33	высказывания как целого	1	2
34	в данном контексте	1	2
35	и прежде всего	2	2
36	к тому же	3	2
37	в сочетании с	3	1
38	что иное как	1	1
39	не только по	1	1
40	дело в том	2	1
41	не говоря уже	1	1
42	и так сказать	1	1
43	в этом случае	1	1
44	той же самой	1	1
45	пор совершенно не	1	1
46	может быть осуществлено	1	1
47	тот или иной	2	1
48	говоря уже о	1	1
49	до известной степени	3	1
50	сам по себе	1	1
51	в этом отношении	3	1
52	но они не	1	1
53	это далеко не	1	1
54	с ними в	1	1
55	же время они	1	1
56	что было бы	1	1
57	так или иначе	1	1
58	не только в	1	1
59	и его внешней	2	1
60	в форме определенной	1	1
61	в равной степени	1	1
62	там и тогда	1	1
63	тем не менее	2	1
64	не могут быть	1	1
65	а с другой	1	1
66	может быть достаточно	1	1
67	само по себе	1	1
68	тем или иным	2	1
69	с другой стороны	5	1
70	при этом как	2	1
71	как бы не	1	1
72	в переносном смысле	1	1
73	таким образом в	1	1
74	по себе а	1	1
75	так и в	1	1
76	в себе не	1	1
77	в самый момент	1	1
78	в конечном счете	2	1
79	что они в	1	1
80	в статье о	1	1
81	не что иное	1	1
82	и в особенности	1	1
83	в русской литературе	3	1
84	можно сказать что	2	1
85	друг от друга	1	1
86	искусства и религии	1	1
87	не сводится к	1	1
88	может быть признано	1	1
89	то что они	1	1
90	однако и здесь	1	1
91	в противоречие с	1	1
92	лицом к лицу	1	1
93	как и в	4	1
94	здесь как и	1	1
95	бы он и	1	1
96	не нуждается в	1	1
