N	2gram	Voloshinov_1	Poddanst
1	не только	7	17
2	и в	16	14
3	и не	4	12
4	в области	3	11
5	в этом	9	10
6	в качестве	1	9
7	но в	4	9
8	то же	2	9
9	в том	3	9
10	в пределах	2	8
11	хотя бы	4	8
12	только в	4	7
13	в ней	1	6
14	было бы	2	6
15	но и	4	6
16	быть может	2	6
17	в смысле	1	6
18	с другой	1	5
19	может быть	17	5
20	и пр	12	5
21	и о	2	5
22	на путях	1	4
23	если бы	1	4
24	и к	6	4
25	как бы	5	4
26	том что	3	4
27	не может	8	4
28	и потому	3	4
29	что в	3	4
30	мы должны	1	4
31	же в	1	4
32	а в	3	4
33	то что	3	4
34	из рамок	1	4
35	мы не	2	3
36	сводится к	2	3
37	в порядке	1	3
38	столь же	1	3
39	хотя и	1	3
40	и как	3	3
41	тот же	1	3
42	с ними	4	3
43	с одной	1	3
44	в нем	4	3
45	для того	1	3
46	прежде всего	9	3
47	одной стороны	1	3
48	с тем	1	3
49	что мы	2	3
50	с точки	6	3
51	но не	1	3
52	могут быть	3	3
53	точки зрения	8	3
54	я и	6	3
55	и это	6	2
56	отношения к	3	2
57	и есть	3	2
58	в мире	1	2
59	по сравнению	3	2
60	одних и	1	2
61	но к	1	2
62	испытания и	1	2
63	во всех	3	2
64	в которую	1	2
65	говорить о	2	2
66	в общем	3	2
67	во всей	2	2
68	со стороны	1	2
69	отнюдь не	4	2
70	в русском	1	2
71	с этим	2	2
72	пути в	1	2
73	к чему	1	2
74	бы ни	1	2
75	теперь в	1	2
76	есть в	2	2
77	в начале	2	2
78	главным образом	1	2
79	и других	2	2
80	в его	4	2
81	и вот	3	2
82	как раз	1	2
83	и с	8	2
84	и мы	2	2
85	в жизни	2	2
86	для них	1	2
87	в них	2	2
88	а не	1	2
89	в эту	1	2
90	не будем	1	2
91	творчества и	1	2
92	друг другу	1	2
93	не менее	2	2
94	все это	4	2
95	на этих	2	2
96	одна из	1	2
97	еще более	1	2
98	для нас	2	2
99	в частности	2	2
100	взгляда на	1	2
101	как на	1	2
102	в применении	1	1
103	же как	2	1
104	с другом	1	1
105	и через	2	1
106	и то	1	1
107	как известно	1	1
108	на основе	2	1
109	и этим	2	1
110	в себя	1	1
111	культуры и	1	1
112	так было	1	1
113	из предшествующего	1	1
114	на две	3	1
115	применении к	1	1
116	касается не	1	1
117	те же	3	1
118	еще в	1	1
119	в эпоху	1	1
120	для этого	2	1
121	находится в	2	1
122	оно есть	1	1
123	план в	1	1
124	почти исключительно	1	1
125	с ее	4	1
126	и ее	4	1
127	мы и	1	1
128	и здесь	1	1
129	характер этого	1	1
130	и что	1	1
131	государство и	1	1
132	еще не	5	1
133	и на	4	1
134	он был	1	1
135	окружающей среды	1	1
136	оно ни	1	1
137	с его	7	1
138	что и	2	1
139	да в	1	1
140	в стадии	1	1
141	в рамках	1	1
142	и мир	1	1
143	эти силы	1	1
144	все же	1	1
145	мы видим	2	1
146	бы из	1	1
147	может оказаться	1	1
148	в самом	2	1
149	только то	2	1
150	но как	2	1
151	что это	2	1
152	лежат его	1	1
153	из этих	2	1
154	если мы	2	1
155	себя в	1	1
156	оказывается в	1	1
157	что его	1	1
158	уже в	1	1
159	во многих	1	1
160	говорить об	1	1
161	в большинстве	3	1
162	только на	3	1
163	в мир	2	1
164	веры и	1	1
165	было с	1	1
166	из этой	1	1
167	мы знаем	3	1
168	мир в	1	1
169	есть та	1	1
170	идеи и	1	1
171	наших глазах	1	1
172	к ним	2	1
173	это значение	1	1
174	мы можем	9	1
175	века в	1	1
176	и только	9	1
177	и по	2	1
178	основные черты	1	1
179	от нее	1	1
180	на экономической	1	1
181	связанные с	2	1
182	или иной	1	1
183	развития в	1	1
184	на этой	3	1
185	большинстве случаев	3	1
186	его в	4	1
187	в душе	2	1
188	методами и	1	1
189	и тех	1	1
190	и быть	1	1
191	весь мир	1	1
192	а с	1	1
193	были в	1	1
194	что не	2	1
195	по всему	2	1
196	могут показаться	1	1
197	них и	1	1
198	смерти но	2	1
199	в этой	4	1
200	как и	2	1
201	с которым	1	1
202	в свете	1	1
203	они быть	1	1
204	в развитии	2	1
205	рождается и	1	1
206	в одно	2	1
207	и еще	1	1
208	бы оно	1	1
209	что если	1	1
210	так же	2	1
211	и особенно	1	1
212	из мира	1	1
213	всяком случае	3	1
214	к предмету	1	1
215	ли они	1	1
216	многих случаях	1	1
217	мысли и	4	1
218	знаем что	2	1
219	в данном	1	1
220	вопрос о	1	1
221	сравнению с	3	1
222	он будет	1	1
223	любовь и	1	1
224	исключительно на	1	1
225	что было	1	1
226	или что	1	1
227	друг с	1	1
228	к следующему	2	1
229	и вся	2	1
230	что есть	1	1
231	быть именно	1	1
232	сохранить и	1	1
233	в основном	3	1
234	на сторону	1	1
235	она не	1	1
236	иной раз	1	1
237	не будут	1	1
238	есть прежде	1	1
239	к другим	2	1
240	которые были	1	1
241	тогда когда	1	1
242	этом смысле	3	1
243	исторической и	1	1
244	и образы	2	1
245	того чтобы	1	1
246	она может	1	1
247	не имеет	1	1
248	никогда не	2	1
249	наука и	1	1
250	и всегда	1	1
251	в отношениях	1	1
252	пр в	1	1
253	этих двух	1	1
254	они являются	1	1
255	не более	1	1
256	и притом	3	1
257	в ком	1	1
258	что жизнь	1	1
259	разрыва между	1	1
260	что по	1	1
261	пр при	2	1
262	только что	1	1
263	пусть в	1	1
264	и теперь	3	1
265	в этих	3	1
266	всеми его	1	1
267	нет ничего	1	1
268	в каком	2	1
269	конечно и	1	1
270	в психологии	1	1
271	из тех	2	1
272	в философии	1	1
273	только как	3	1
274	в момент	1	1
275	является и	1	1
276	и жизнь	1	1
277	есть и	2	1
278	что оно	2	1
279	к сожалению	1	1
280	не есть	2	1
281	вместе с	3	1
282	именно здесь	1	1
283	это в	1	1
284	что при	1	1
285	во всяком	3	1
286	они не	2	1
