N	3gram	Nazirov_Tr_1	Russkaja
1	то же время	5	10
2	в то же	5	10
3	в том что	2	7
4	во всяком случае	1	6
5	а между тем	1	5
6	не может быть	1	4
7	в этом случае	1	3
8	и не может	1	3
9	и то что	1	3
10	в данном случае	2	3
11	в конце концов	1	3
12	точно так же	2	2
13	что он не	1	2
14	не только к	1	2
15	и вместе с	1	2
16	о том что	2	2
17	к тому что	1	2
18	в самом деле	1	1
19	в такое время	1	1
20	за то что	1	1
21	что все это	1	1
22	в борьбе за	1	1
23	отнюдь не является	1	1
24	и в частности	2	1
25	в применении к	1	1
26	никогда не был	1	1
27	одна из тех	1	1
28	но в то	2	1
29	смысле этого слова	1	1
30	в этом состоит	1	1
31	но при этом	1	1
32	и должно быть	1	1
33	самое большее что	1	1
34	и в этом	1	1
35	прежде всего необходимо	1	1
36	и как бы	2	1
37	в связи с	1	1
38	и все же	1	1
39	народ может быть	1	1
40	это и есть	1	1
41	с самого начала	1	1
42	но все же	2	1
43	несмотря на все	1	1
44	тем не менее	1	1
45	не только сам	1	1
