N	3gram	Tiupa_Lite_2	Istorich
1	с другой стороны	4	7
2	в этом случае	2	5
3	в том что	5	5
4	тем не менее	2	5
5	как мы видели	1	5
6	в данном случае	3	3
7	том что в	1	2
8	состоит в том	4	2
9	по отношению к	3	2
10	с одной стороны	6	2
11	и то что	1	2
12	о том что	2	2
13	в одном из	1	2
14	не только не	1	2
15	о себе в	1	1
16	мы имеем дело	1	1
17	исключают друг друга	1	1
18	подобно тому как	2	1
19	в том числе	2	1
20	в соответствии с	1	1
21	с этой точки	1	1
22	с точки зрения	3	1
23	об одном из	1	1
24	только то что	1	1
25	из того что	1	1
26	то же в	1	1
27	можно было бы	1	1
28	говорит и не	1	1
29	не исключают друг	1	1
30	вместе с тем	1	1
31	то что было	1	1
32	тогда как при	1	1
33	этом случае мы	1	1
34	в себя и	1	1
35	имеем дело с	1	1
36	в такой же	1	1
37	этой точки зрения	1	1
38	а так как	1	1
39	однако это не	1	1
40	говорит я не	1	1
41	в соединении с	1	1
42	в свою очередь	1	1
43	и прежде всего	1	1
44	на самом деле	1	1
45	а не с	1	1
46	ничего общего с	1	1
47	не может быть	7	1
48	герой обращается к	1	1
49	но и не	1	1
50	после того как	1	1
