N	2gram	Kanaev_Sov_1	EvropaiC
1	таким образом	11	32
2	в том	4	31
3	и в	7	24
4	том что	1	20
5	все эти	5	19
6	не может	17	18
7	может быть	12	15
8	все же	3	15
9	точки зрения	12	13
10	самом деле	2	12
11	в своем	1	12
12	до сих	1	12
13	в этом	7	12
14	сих пор	1	12
15	с этим	2	11
16	все это	3	11
17	во всех	1	10
18	по отношению	1	10
19	мы знаем	2	10
20	как бы	4	10
21	отношению к	1	10
22	все что	1	10
23	того же	1	9
24	при этом	3	9
25	как и	6	9
26	с другом	2	9
27	друг с	2	9
28	в результате	6	9
29	что в	2	9
30	в самом	2	8
31	с точки	5	8
32	знаем что	2	8
33	не в	3	8
34	ясно что	3	8
35	если бы	1	8
36	так же	1	8
37	и все	3	8
38	на самом	1	7
39	из этих	2	7
40	не менее	2	7
41	по существу	1	7
42	о том	1	7
43	и что	2	7
44	и не	6	7
45	еще не	3	6
46	в этой	3	6
47	в мире	1	6
48	несмотря на	1	6
49	и при	1	6
50	с ним	1	6
51	только в	1	6
52	все они	1	6
53	так как	4	6
54	мы можем	6	6
55	с другой	1	6
56	вместе с	4	6
57	отличается от	3	6
58	между двумя	1	5
59	из всех	1	5
60	и к	3	5
61	но в	3	5
62	в которой	2	5
63	что это	2	5
64	в целом	4	5
65	в себе	3	5
66	не только	4	5
67	и если	1	5
68	но все	2	5
69	не будет	1	5
70	что все	2	5
71	его в	1	5
72	что с	1	5
73	в то	1	5
74	что при	2	5
75	в его	2	5
76	и их	1	5
77	у него	2	5
78	именно в	1	5
79	быть и	2	5
80	и для	1	5
81	и от	1	5
82	к этому	1	5
83	в такой	1	4
84	первое время	1	4
85	то же	3	4
86	мы уже	1	4
87	та же	1	4
88	совершенно так	1	4
89	между собой	3	4
90	что его	1	4
91	хотя и	1	4
92	он не	1	4
93	факт что	1	4
94	том случае	1	4
95	из них	4	4
96	должно быть	1	4
97	тем не	2	4
98	поэтому что	1	4
99	этой области	1	4
100	из которых	2	4
101	что эта	1	4
102	связи с	1	4
103	в дальнейшем	4	4
104	никогда не	1	4
105	и т.д	3	4
106	и у	1	4
107	если мы	4	4
108	в виде	2	4
109	а потому	1	4
110	в конце	3	4
111	в области	3	4
112	тот факт	1	4
113	не могут	2	4
114	в течение	1	4
115	этом случае	1	4
116	мы должны	4	4
117	состоит из	3	4
118	совершенно не	2	4
119	в таком	2	4
120	как известно	2	3
121	же как	1	3
122	вопрос о	4	3
123	в данном	1	3
124	мы будем	1	3
125	и наконец	5	3
126	в нашем	2	3
127	в нем	3	3
128	и по	2	3
129	и может	1	3
130	в совершенно	1	3
131	на этой	3	3
132	это не	4	3
133	чем в	1	3
134	таким же	1	3
135	представление о	1	3
136	для нас	3	3
137	у нас	3	3
138	ничего общего	1	3
139	всегда будет	1	3
140	и это	1	3
141	то ни	2	3
142	данном случае	1	3
143	и вообще	1	3
144	с одной	2	3
145	то из	1	3
146	то они	1	3
147	настоящее время	2	3
148	может не	3	3
149	подлежит сомнению	2	3
150	различия между	1	3
151	сомнению что	1	3
152	тот же	2	3
153	конечно не	1	3
154	в начале	1	3
155	отличие от	2	3
156	является ли	1	3
157	как у	1	3
158	прежде всего	5	3
159	в связи	1	3
160	и потому	3	3
161	не подлежит	3	3
162	в настоящее	2	3
163	а в	4	3
164	можно назвать	2	3
165	и до	1	2
166	входящих в	1	2
167	по его	1	2
168	теперь мы	1	2
169	с ее	1	2
170	в ней	1	2
171	свою очередь	2	2
172	бы то	1	2
173	во всяком	2	2
174	но как	1	2
175	более как	1	2
176	и будет	2	2
177	в общий	1	2
178	и те	1	2
179	вследствие этого	1	2
180	этот процесс	1	2
181	что она	3	2
182	он должен	2	2
183	одной и	1	2
184	а это	1	2
185	а затем	1	2
186	что такой	1	2
187	конечно в	2	2
188	только одно	1	2
189	нет в	1	2
190	и особенно	1	2
191	мы видели	4	2
192	такой же	2	2
193	в один	2	2
194	в эту	1	2
195	но если	1	2
196	точку зрения	4	2
197	и более	1	2
198	она не	1	2
199	одна из	3	2
200	в процессе	1	2
201	говорить о	2	2
202	только не	1	2
203	этих двух	2	2
204	очень мало	1	2
205	на этом	2	2
206	заключает в	1	2
207	это конечно	1	2
208	если же	2	2
209	должен быть	1	2
210	как мы	2	2
211	те же	1	2
212	из одного	2	2
213	все его	1	2
214	и начало	1	2
215	в другом	1	2
216	же время	1	2
217	к нему	1	2
218	во втором	1	2
219	в ту	1	2
220	было бы	3	2
221	этот вопрос	1	2
222	жизни и	4	2
223	промежуток времени	1	2
224	то и	2	2
225	ни было	1	2
226	всяком случае	2	2
227	вовсе не	1	2
228	всеми этими	1	2
229	и только	1	2
230	не было	1	2
231	с общим	2	2
232	и из	1	2
233	только один	2	2
234	наконец не	2	2
235	одной стороны	1	2
236	отнюдь не	3	2
237	независимо от	1	2
238	но не	1	2
239	что же	5	2
240	при условии	1	2
241	но для	1	2
242	говорить что	1	2
243	при таком	3	2
244	в отдельных	1	2
245	не более	1	2
246	на такой	1	2
247	между ними	1	2
248	не знает	1	2
249	в свою	2	2
250	развития все	1	2
251	они не	1	2
252	и наиболее	1	1
253	можем определить	1	1
254	потом и	1	1
255	на куски	1	1
256	он может	3	1
257	это и	1	1
258	между всеми	2	1
259	в первом	3	1
260	все те	2	1
261	отдельных элементов	1	1
262	в зависимости	4	1
263	для этих	1	1
264	той же	2	1
265	есть не	1	1
266	мы не	9	1
267	такой путь	1	1
268	только все	1	1
269	разобраться в	1	1
270	хотя конечно	1	1
271	зависимости от	4	1
272	надо всегда	1	1
273	на них	1	1
274	он сам	1	1
275	иное как	1	1
276	на их	2	1
277	точно такие	1	1
278	а из	1	1
279	что роль	1	1
280	с его	1	1
281	заключают в	1	1
282	друг на	1	1
283	перед глазами	1	1
284	если в	1	1
285	нет и	4	1
286	правда весьма	1	1
287	кроме того	1	1
288	с понятием	1	1
289	как всякая	1	1
290	тем же	2	1
291	для ее	1	1
292	в этот	1	1
293	жизни к	1	1
294	не приходится	1	1
295	мы получаем	3	1
296	он в	3	1
297	у каждого	3	1
298	ни одна	2	1
299	нами в	1	1
300	на его	2	1
301	которые им	1	1
302	и еще	1	1
303	вот к	1	1
304	к одному	1	1
305	только такой	1	1
306	прошлого века	1	1
307	одному и	1	1
308	наука не	1	1
309	в каждом	8	1
310	уже знаем	1	1
311	каждого из	2	1
312	ведь в	1	1
313	ведь если	1	1
314	в ином	1	1
315	само собою	3	1
316	рядом с	1	1
317	она и	1	1
318	на второй	1	1
319	этого не	1	1
320	на друга	1	1
321	которой он	2	1
322	в развитии	4	1
323	их на	1	1
324	ибо при	1	1
325	искать в	1	1
326	что такое	2	1
327	это делает	1	1
328	бы к	1	1
329	и благодаря	1	1
330	его мнению	1	1
331	является только	1	1
332	и той	1	1
333	в первое	1	1
334	по крайней	1	1
335	на другую	1	1
336	важную роль	1	1
337	их в	4	1
338	в корне	1	1
339	все три	1	1
340	самого начала	3	1
341	для каждого	1	1
342	не имеет	1	1
343	на котором	2	1
344	в науке	2	1
345	вытекает из	1	1
346	этого явления	1	1
347	дело в	1	1
348	ни другое	1	1
349	же остается	1	1
350	к концу	1	1
351	бы все	1	1
352	видим что	1	1
353	и его	1	1
354	и свою	1	1
355	чем объясняется	1	1
356	ли это	1	1
357	с и	1	1
358	не знаем	2	1
359	для развития	2	1
360	правда не	1	1
361	оно может	1	1
362	своего развития	1	1
363	из приведенных	1	1
364	каждый раз	6	1
365	с самого	3	1
366	так в	1	1
367	приводит к	2	1
368	роль в	2	1
369	поэтому мы	3	1
370	ничего не	6	1
371	или иной	2	1
372	отдельными частями	1	1
373	мы всегда	1	1
374	быть в	1	1
375	и та	1	1
376	но мы	3	1
377	что каждый	1	1
378	образом все	1	1
379	вся эта	1	1
380	ним и	1	1
381	во всей	1	1
382	крайней мере	1	1
383	у всех	3	1
384	и следовательно	1	1
385	на которой	1	1
386	один из	1	1
387	этот остаток	1	1
388	видели что	3	1
389	совсем не	1	1
390	мы видим	2	1
391	один конец	1	1
392	может признать	1	1
393	по мнению	2	1
394	тот или	2	1
395	уже не	2	1
396	уже в	3	1
397	только на	1	1
398	степень сложности	1	1
399	конечно нет	1	1
400	который как	2	1
401	же они	1	1
402	центр тяжести	1	1
403	не случайно	1	1
404	случае не	1	1
405	много и	1	1
406	ее на	2	1
407	науки в	1	1
408	из двух	3	1
409	и даже	2	1
410	развития в	2	1
411	от другой	1	1
412	рядом и	1	1
413	будет ли	1	1
414	к которому	1	1
415	и развития	1	1
416	только к	1	1
417	и пр	2	1
418	шаг за	1	1
419	а на	2	1
420	может ли	1	1
421	когда этот	1	1
422	а не	3	1
423	они одинаково	1	1
424	привилегированное положение	1	1
425	на эту	1	1
426	эти доказательства	1	1
427	на которые	1	1
428	так называемых	3	1
429	все более	1	1
430	а но	1	1
431	элементов и	1	1
432	направление в	1	1
433	в область	1	1
434	например при	1	1
435	могут быть	2	1
436	а потом	1	1
437	ни то	1	1
438	для их	1	1
439	человек с	1	1
440	приспособления к	1	1
441	от общей	1	1
442	дело идет	1	1
443	благодаря этому	1	1
444	этого доказательства	1	1
445	же самое	2	1
446	следовательно они	1	1
447	а все	3	1
448	развития и	1	1
449	или нет	1	1
450	еще более	2	1
451	в одинаковой	1	1
452	что следовательно	1	1
453	всю эту	1	1
454	к среде	1	1
455	жизни в	1	1
456	всюду где	1	1
457	сказать что	1	1
458	не быть	1	1
459	определяет собою	1	1
460	за шагом	1	1
461	самое что	1	1
462	но еще	1	1
463	а может	1	1
464	увидим что	1	1
465	в своих	1	1
466	причем эти	1	1
467	отвлекается от	1	1
468	и эта	1	1
