N	3gram	Bakhtin_Fr_2	UchenyiS
1	не может быть	4	4
2	в то же	6	3
3	то же время	6	3
4	с другой стороны	3	3
5	в этом отношении	3	2
6	не могут быть	1	2
7	в художественном творчестве	1	2
8	но даже и	2	2
9	в художественном произведении	1	2
10	в конце концов	1	2
11	до сих пор	4	2
12	в том что	1	2
13	в значительной мере	1	1
14	с одной стороны	3	1
15	на то что	1	1
16	большей или меньшей	3	1
17	не только в	5	1
18	друг с другом	1	1
19	мы имеем в	1	1
20	таков прежде всего	1	1
21	и в то	2	1
22	но в то	3	1
23	в первую очередь	1	1
24	можно сказать что	2	1
25	все это в	1	1
26	не входит в	1	1
27	что для него	1	1
28	имеем в виду	2	1
29	но прежде всего	3	1
30	и прежде всего	1	1
31	в этом случае	1	1
32	в большей или	3	1
33	или меньшей степени	3	1
