N	3gram	Propp_Russ_2	Problemy
1	не может быть	3	8
2	более или менее	1	3
3	в отличие от	3	3
4	как мы увидим	1	3
5	с другой стороны	1	3
6	как и в	1	3
7	на себя внимание	1	2
8	дело в том	1	2
9	и в других	4	2
10	но и в	1	2
11	можно было бы	1	2
12	в том что	18	2
13	о том что	4	2
14	о том же	3	2
15	можно сказать что	1	2
16	в этих случаях	3	2
17	как мы уже	1	2
18	в последний раз	1	2
19	все это позволяет	1	1
20	не может не	1	1
21	прежде всего как	1	1
22	нужно иметь в	1	1
23	иметь в виду	1	1
24	где есть в	1	1
25	и в некоторых	2	1
26	а между тем	1	1
27	в том же	1	1
28	в этом случае	6	1
29	же как и	2	1
30	и во многих	1	1
31	мы не будем	2	1
32	со смехом и	1	1
33	между тем как	1	1
34	а может быть	1	1
35	на самом же	2	1
36	можно наблюдать что	1	1
37	может быть и	1	1
38	там где есть	1	1
39	так же как	4	1
40	в данном случае	6	1
41	остановиться несколько подробнее	1	1
42	с одной стороны	2	1
43	не входит в	1	1
44	до некоторой степени	1	1
45	в виду что	1	1
46	во всяком случае	1	1
47	самом же деле	2	1
48	жизни в этом	1	1
49	а не на	1	1
50	сюда же относится	1	1
51	они как бы	1	1
52	после того как	2	1
53	но она не	2	1
54	дело не в	1	1
55	а именно в	2	1
