N	2gram	Vinokur_Ku_2	Sovremen
1	не может	9	17
2	может быть	15	12
3	точки зрения	14	12
4	таким образом	5	11
5	мы не	1	9
6	в каждом	1	8
7	в этом	18	7
8	и в	23	7
9	мы можем	1	6
10	ничего не	4	6
11	как и	2	6
12	и не	16	6
13	в результате	4	6
14	все эти	12	5
15	что же	5	5
16	прежде всего	8	5
17	с точки	8	5
18	в зависимости	4	4
19	вопрос о	9	4
20	зависимости от	5	4
21	нет и	1	4
22	мы должны	2	4
23	в том	19	4
24	в целом	1	4
25	если мы	4	4
26	же это	1	4
27	так как	15	4
28	мы видели	2	4
29	не только	20	4
30	с помощью	7	4
31	как бы	4	4
32	вместе с	5	4
33	это не	6	4
34	точку зрения	1	4
35	их в	1	4
36	а в	3	4
37	он может	1	3
38	с самого	1	3
39	то же	6	3
40	ясно что	5	3
41	отнюдь не	4	3
42	все же	7	3
43	еще не	5	3
44	но в	11	3
45	мы получаем	1	3
46	в этой	6	3
47	в себе	1	3
48	уже в	3	3
49	в наших	1	3
50	что она	3	3
51	ведь это	1	3
52	в одном	1	3
53	в конце	4	3
54	в нем	4	3
55	при этом	2	3
56	на этой	4	3
57	было бы	15	3
58	само собою	1	3
59	а не	10	3
60	так называемых	2	3
61	и потому	2	3
62	не в	8	3
63	все это	5	3
64	самого начала	1	3
65	а все	1	3
66	одна из	1	3
67	для нас	4	3
68	и все	2	3
69	у нас	12	3
70	и к	1	3
71	когда мы	1	3
72	отличается от	3	3
73	к действию	2	3
74	в области	11	3
75	как мы	3	2
76	свою очередь	2	2
77	и есть	2	2
78	тем же	2	2
79	собою разумеется	1	2
80	приводит к	5	2
81	роль в	2	2
82	все те	1	2
83	той же	2	2
84	на этом	3	2
85	и даже	2	2
86	говорить о	4	2
87	говорим о	2	2
88	настоящее время	1	2
89	и что	8	2
90	на их	1	2
91	самом деле	9	2
92	говорить об	1	2
93	в его	5	2
94	от обстоятельств	1	2
95	может иметь	1	2
96	с этим	3	2
97	дает нам	2	2
98	быть и	1	2
99	в самом	12	2
100	к чему	1	2
101	по мнению	1	2
102	в которой	1	2
103	или же	2	2
104	что это	7	2
105	в нашем	7	2
106	из этих	1	2
107	тот или	1	2
108	с одной	2	2
109	первый период	2	2
110	ни одна	1	2
111	уже не	8	2
112	то и	3	2
113	в виде	1	2
114	тем не	6	2
115	мы знаем	4	2
116	всяком случае	5	2
117	у него	3	2
118	и по	3	2
119	отличие от	2	2
120	но все	4	2
121	то ни	1	2
122	что все	5	2
123	или иной	1	2
124	в живом	2	2
125	и пр	8	2
126	а на	2	2
127	на этот	2	2
128	мы с	2	2
129	такой же	1	2
130	что такое	3	2
131	он должен	1	2
132	из которых	3	2
133	в отличие	2	2
134	знаем что	3	2
135	такого рода	1	2
136	не менее	7	2
137	о значении	2	2
138	на котором	1	2
139	и именно	1	2
140	не знаем	1	2
141	она может	1	2
142	в настоящее	1	2
143	в новых	1	2
144	тот же	5	2
145	в свою	2	2
146	представлять себе	1	2
147	такие же	1	2
148	совершенно не	3	2
149	не могут	5	2
150	могут быть	4	2
151	что в	10	2
152	если же	1	2
153	во всяком	5	2
154	вроде следующего	1	1
155	должен быть	5	1
156	и это	3	1
157	можно говорить	2	1
158	речи мы	2	1
159	то она	1	1
160	с ее	1	1
161	данной области	1	1
162	реагирует на	1	1
163	на самом	2	1
164	раз мы	1	1
165	это и	3	1
166	мы имели	1	1
167	его действительным	1	1
168	характерное для	2	1
169	так в	3	1
170	по преимуществу	2	1
171	и до	2	1
172	бы к	1	1
173	можно было	9	1
174	мы уже	1	1
175	те же	3	1
176	из всех	1	1
177	есть не	1	1
178	здесь нет	1	1
179	во многом	1	1
180	мы имеем	5	1
181	же как	2	1
182	когда в	2	1
183	это только	2	1
184	это что	1	1
185	мы в	2	1
186	сторона дела	1	1
187	смысле то	1	1
188	поэтому в	1	1
189	если бы	12	1
190	и вообще	2	1
191	что иное	1	1
192	нечего делать	1	1
193	то они	1	1
194	того же	3	1
195	подчеркнуть что	1	1
196	о том	1	1
197	мы без	1	1
198	в ней	3	1
199	то конечно	1	1
200	одного из	2	1
201	принадлежит и	1	1
