N	3gram	Bakhtin_Fr_4	Literetu
1	в том что	1	11
2	в отличие от	1	5
3	то же время	8	5
4	в то же	8	5
5	в данном случае	1	4
6	не только в	2	4
7	в связи с	1	4
8	в конечном счете	1	4
9	он и сам	1	3
10	в том же	1	3
11	дело в том	1	2
12	подобно тому как	3	2
13	с точки зрения	2	2
14	в этом отношении	1	2
15	и то что	1	2
16	с одной стороны	2	2
17	о том что	2	2
18	случае в его	1	1
19	между прочим и	1	1
20	на самом деле	1	1
21	в соответствии с	1	1
22	имеется в виду	2	1
23	в одной из	1	1
24	и в литературе	1	1
25	он не мог	1	1
26	он же и	1	1
27	того что они	1	1
28	в это время	1	1
29	за собой и	1	1
30	на эту тему	1	1
31	но в то	1	1
32	на первый взгляд	1	1
33	а также и	1	1
34	в сущности только	1	1
35	а с другой	1	1
36	с другой стороны	3	1
37	не может быть	1	1
38	в свою очередь	1	1
39	и того же	1	1
40	до сих пор	1	1
41	с самого начала	3	1
42	одного и того	1	1
43	в большинстве случаев	5	1
44	его принадлежности к	1	1
45	но дело в	1	1
46	в том числе	3	1
47	тех или иных	1	1
48	в полной мере	1	1
49	к тому же	1	1
50	как мы знаем	1	1
51	ему в том	1	1
