N	3gram	Bakhtin_Fr_8	OGranits
1	с точки зрения	2	5
2	не может быть	2	4
3	по отношению к	1	3
4	и наконец в	1	2
5	в самом деле	1	2
6	в данном случае	2	2
7	с одной стороны	2	2
8	с другой стороны	2	2
9	с самого начала	1	2
10	в том что	6	2
11	в другом месте	3	1
12	в одном ряду	1	1
13	в чем же	1	1
14	более или менее	2	1
15	с одним из	2	1
16	на самом деле	1	1
17	подобно тому как	1	1
18	то же самое	1	1
19	которые не только	1	1
20	такие явления как	1	1
21	же время в	1	1
22	в отличие от	1	1
23	одна из существеннейших	1	1
24	только то что	1	1
25	в этом отношении	1	1
26	можно было бы	1	1
27	может быть и	1	1
28	в значительной мере	1	1
29	ни о какой	1	1
30	нужно отметить что	1	1
31	в узком смысле	2	1
32	мы полагаем что	1	1
33	в едином акте	1	1
34	для того чтобы	2	1
35	если бы мы	1	1
36	эта связь с	1	1
37	состоит в том	1	1
38	а также и	1	1
39	быть и речи	1	1
40	и вместе с	1	1
41	и как бы	1	1
42	в связи с	3	1
43	автора и его	1	1
44	прежде всего в	1	1
45	это конечно не	1	1
46	потому что они	1	1
47	то же время	10	1
48	мы не можем	1	1
49	включает в себя	1	1
50	но в то	2	1
51	выходит за пределы	1	1
52	в то же	10	1
53	в предисловии к	1	1
54	как и в	4	1
55	оказалось не в	1	1
