1	в связи с	2	3
2	не может быть	4	2
3	в этот момент	1	2
4	до сих пор	5	1
5	и не может	1	1
6	это дает нам	1	1
7	только при помощи	1	1
8	тем более что	1	1
9	и то что	5	1
10	о том как	1	1
11	но мы знаем	2	1
12	но для нас	1	1
13	одно и то	1	1
14	тем не менее	2	1
15	о чем говорилось	1	1
16	ни тот ни	1	1
17	имеется в виду	1	1
18	в нем самом	1	1
19	что у него	1	1
20	к нему с	1	1
21	все же он	1	1
22	то что они	1	1
23	во второй раз	1	1
24	же как эта	1	1
25	не только как	1	1
26	точно так же	5	1
27	независимо от того	1	1
28	но и это	1	1
29	так же как	12	1
30	и во всем	1	1
31	может быть и	1	1
32	в то время	1	1
33	тот ни другой	1	1
34	между прочим и	1	1
35	с другой стороны	4	1
36	о том что	2	1
37	на то что	3	1
38	это и есть	1	1
39	тем что он	2	1
40	и то же	1	1
41	и никому не	1	1
42	лет тому назад	1	1
