N	3gram	Ircho_Kome_3	Problemy
1	и т п	3	9
2	с точки зрения	3	8
3	до сих пор	9	7
4	по отношению к	3	5
5	то же время	4	5
6	в то же	4	5
7	и не может	1	4
8	в отличие от	1	4
9	друг с другом	1	4
10	в самом деле	6	4
11	как бы в	1	4
12	и т д	1	4
13	более или менее	1	3
14	к тому же	4	3
15	с другой стороны	2	3
16	хотя и не	2	2
17	в настоящее время	1	2
18	в конце концов	2	2
19	в отношении к	1	2
20	но при этом	1	2
21	то время как	2	2
22	тем не менее	3	2
23	в то время	2	2
24	и не знает	1	2
25	но все же	2	2
26	на то что	1	2
27	друг от друга	1	2
28	человека и его	1	2
29	о том как	3	1
30	если бы он	3	1
31	не с точки	1	1
32	не пользуется для	1	1
33	иначе обстоит дело	2	1
34	к другому а	1	1
35	но он уже	1	1
36	в виду что	1	1
37	пределах того же	1	1
38	и до сих	1	1
39	в том числе	1	1
40	то же самое	3	1
41	в том же	1	1
42	одной стороны и	1	1
43	отца с сыном	1	1
44	так что он	1	1
45	по крайней мере	1	1
46	сих пор не	1	1
47	с ним а	1	1
48	что он не	2	1
49	бы то ни	2	1
50	том числе и	1	1
51	об этом уже	1	1
52	что он так	1	1
53	т е в	2	1
54	то ни было	2	1
55	с одной стороны	3	1
56	на этот раз	2	1
57	ставит нас перед	1	1
58	в связи с	3	1
59	и не удалось	1	1
60	так или иначе	2	1
61	своей любви к	2	1
62	то что он	1	1
63	в пределах того	1	1
64	во всяком случае	3	1
65	приходится прибегать к	1	1
66	не менее и	1	1
67	о том что	4	1
68	здесь не только	1	1
69	только на то	1	1
70	так и в	1	1
71	все это может	1	1
72	и не хочет	1	1
73	этой точки зрения	1	1
74	и что из	1	1
75	можно сказать что	1	1
76	в известной степени	2	1
77	как мы знаем	1	1
78	если бы не	1	1
79	после того как	1	1
80	с полным правом	1	1
81	таким образом и	1	1
82	в каждом из	1	1
83	о своей любви	1	1
84	ну а что	1	1
85	друг за другом	1	1
86	в том что	9	1
87	точки зрения того	1	1
88	не менее в	1	1
