N	2gram	Trubetskoy_1	Komedia
1	и в	26	22
2	том что	7	12
3	но и	9	11
4	в том	11	11
5	не только	10	10
6	в то	4	10
7	из них	7	10
8	как и	1	9
9	может быть	10	9
10	таким образом	22	8
11	должны были	1	8
12	о том	6	8
13	и его	1	8
14	в одном	3	8
15	и не	8	8
16	в этой	4	7
17	и других	1	7
18	то же	4	6
19	тому же	5	6
20	и по	4	6
21	не в	2	6
22	в отношении	6	6
23	ни в	1	6
24	в конце	6	6
25	одного из	1	6
26	что он	4	6
27	к тому	6	6
28	а в	4	6
29	в которой	3	6
30	что в	9	6
31	до нас	1	5
32	в народном	3	5
33	как в	1	5
34	то время	1	5
35	на его	1	5
36	при этом	3	5
37	во время	4	5
38	потому что	7	5
39	так и	6	5
40	и даже	3	5
41	между тем	2	5
42	один из	2	5
43	уже в	2	5
44	в его	5	5
45	прежде всего	2	5
46	о которых	1	5
47	с другой	8	5
48	когда же	2	5
49	все это	6	5
50	другой стороны	1	5
51	время как	1	4
52	что они	1	4
53	но в	7	4
54	в нем	4	4
55	известно что	1	4
56	участие в	1	4
57	несмотря на	6	4
58	точки зрения	13	4
59	в котором	4	4
60	в их	1	4
61	одном из	1	4
62	так как	9	4
63	же время	2	4
64	ли не	1	4
65	ясно что	3	4
66	а также	2	4
67	что и	6	4
68	в качестве	3	4
69	мы можем	2	4
70	тем что	1	4
71	именно в	2	4
72	и особенно	2	4
73	в результате	3	4
74	конце концов	3	4
75	же в	1	4
76	к этому	3	4
77	речь идет	1	3
78	же как	3	3
79	идет о	1	3
80	мы не	1	3
81	и о	3	3
82	и на	2	3
83	в чем	1	3
84	с одной	7	3
85	в этом	15	3
86	все же	6	3
87	и как	3	3
88	на то	2	3
89	главным образом	8	3
90	да и	1	3
91	он не	4	3
92	и с	10	3
93	его в	1	3
94	первую очередь	1	3
95	чаще всего	1	3
96	в них	2	3
97	и ее	1	3
98	место в	1	3
99	не менее	3	3
100	однако в	1	3
101	даже в	1	3
102	по отношению	1	3
103	того как	1	3
104	к этим	1	3
105	казалось бы	1	3
106	ничего не	1	3
107	за исключением	1	3
108	в сознании	1	3
109	этом отношении	2	3
110	у нас	1	3
111	могут быть	1	3
112	вероятно что	1	3
113	после того	1	3
114	как из	1	3
115	в образе	2	3
116	тот же	2	3
117	одной из	5	3
118	только в	4	3
119	и у	8	3
120	в виде	4	3
121	в начале	2	3
122	отношение к	5	3
123	у него	1	3
124	как раз	1	3
125	после смерти	10	3
126	к которому	2	3
127	все более	1	3
128	в честь	1	3
129	так же	5	3
130	по своему	2	3
131	одной стороны	7	3
132	в течение	4	3
133	первое место	1	3
134	не удалось	1	3
135	и все	2	3
136	отношению к	3	3
