N	3gram	Voloshinov_1	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	10	9
4	в том что	4	7
5	на самом деле	2	6
6	во всяком случае	3	6
7	для того чтобы	1	6
8	а между тем	1	5
9	до сих пор	3	5
10	бы то ни	1	4
11	к тому чтобы	3	4
12	не может быть	3	4
13	к которой он	1	4
14	то ни стало	1	3
15	во что бы	1	3
16	при таких условиях	1	3
17	в этом случае	1	3
18	и не может	1	3
19	что бы то	1	3
20	в данном случае	3	3
21	а следовательно и	2	2
22	в настоящее время	1	2
23	что он не	1	2
24	для обеих сторон	1	2
25	в себе и	1	2
26	все что может	2	2
27	о том что	1	2
28	в большинстве случаев	4	2
29	она не может	1	2
30	что же это	1	1
31	или хотя бы	1	1
32	для всех людей	1	1
33	знаем что это	1	1
34	зависит от того	1	1
35	дело в том	1	1
36	в свою очередь	1	1
37	по отношению к	9	1
38	в самом деле	5	1
39	точки зрения в	1	1
40	которой он принадлежит	1	1
41	может в этом	1	1
42	мы уже знаем	2	1
43	до известной степени	1	1
44	по отношению ко	2	1
45	конечно не может	1	1
46	с ним в	1	1
47	только то что	2	1
48	в этом отношении	2	1
49	от того чтобы	1	1
50	как и при	1	1
51	выражение в его	1	1
52	и дать ему	1	1
53	на этот вопрос	1	1
54	тот или иной	1	1
55	но мы знаем	1	1
56	по крайней мере	1	1
57	отнюдь не является	1	1
58	жизни и в	1	1
59	во всех областях	1	1
60	роль в истории	1	1
61	сводится к тому	1	1
62	но в то	3	1
63	но при этом	1	1
64	хотя бы ценою	1	1
65	во всех этих	1	1
66	свою точку зрения	1	1
67	и таким образом	1	1
68	в культурном творчестве	2	1
69	того и другого	1	1
70	впитывает в себя	2	1
71	существенное изменение в	1	1
72	его жизни и	2	1
73	это и есть	1	1
74	яркое выражение в	1	1
75	с самого начала	5	1
76	в этом вопросе	1	1
77	но все же	1	1
78	альфой и омегой	1	1
79	ее в этом	1	1
80	о себе самом	1	1
81	мы не знаем	1	1
82	тем не менее	2	1
83	и прежде всего	5	1
84	быть не может	1	1
85	бы для него	1	1
86	на первый взгляд	1	1
87	во всех странах	1	1
88	и только в	1	1
