N	3gram	Losev_Vlad_1	VLabPisa
1	и т д	2	15
2	в этом отношении	1	13
3	в письме к	8	9
4	с другой стороны	3	8
5	не может быть	3	8
6	по этому поводу	1	7
7	более или менее	3	6
8	то же время	4	5
9	в то же	4	5
10	в связи с	1	4
11	можно сказать что	2	4
12	в том что	7	4
13	как это делает	1	3
14	и в то	2	3
15	а значит и	1	3
16	в значительной мере	1	3
17	вместе с тем	1	3
18	в этой области	1	3
19	это и есть	1	3
20	о том что	7	3
21	к тому что	1	3
22	письме к н	1	2
23	по одному тому	1	2
24	также и в	1	2
25	только то что	1	2
26	и не может	1	2
27	с а толстая	1	2
28	в том чтобы	2	2
29	с одной стороны	1	2
30	в конце концов	3	2
31	в силу чего	1	2
32	из них не	1	2
33	во всяком случае	2	2
34	не только не	1	2
35	мы знаем что	2	2
36	от июля года	1	2
37	для того чтобы	2	2
38	с его точки	2	1
39	даже и в	1	1
40	только в году	2	1
41	нет и не	1	1
42	лицом к лицу	1	1
43	но у него	1	1
44	в которой он	1	1
45	на основании всех	1	1
46	то время как	1	1
47	н н страхову	2	1
48	в конце года	1	1
49	как это мы	2	1
50	у вл соловьева	13	1
51	в самом деле	1	1
52	но даже и	2	1
53	в этом смысле	4	1
54	в том же	1	1
55	его точки зрения	2	1
56	в ноябре года	1	1
57	он говорит в	1	1
58	как это было	1	1
59	главным образом в	2	1
60	говоря уже о	1	1
61	он пишет что	1	1
62	что он не	3	1
63	от декабря года	1	1
64	года по поводу	1	1
65	силу чего он	1	1
66	в науке и	1	1
67	об этом пишет	1	1
68	одно и то	1	1
69	к н н	1	1
70	в этом же	1	1
71	так или иначе	1	1
72	толстого в его	2	1
73	в целом и	1	1
74	уже о том	1	1
75	по этому вопросу	1	1
76	письмо к н	1	1
77	но в то	1	1
78	не только в	2	1
79	человеческого познания и	1	1
80	и то же	1	1
81	в году и	2	1
82	имеем дело с	1	1
83	за это время	2	1
84	нет ни одного	1	1
85	а в том	1	1
86	у него в	1	1
87	в то время	2	1
88	и психологии в	1	1
89	не говоря уже	1	1
90	и вместе с	1	1
91	в свою очередь	1	1
92	еще в году	1	1
93	и никогда не	1	1
94	письме к а	1	1
95	них не может	1	1
96	и без того	1	1
97	но и для	1	1
98	можно говорить только	1	1
99	не только со	1	1
100	что в своем	1	1
101	с по год	1	1
102	том что и	1	1
103	мы имеем дело	1	1
104	дело не в	1	1
105	к тому же	2	1
106	что об этом	1	1
107	не в этом	1	1
108	этому поводу с	1	1
109	московского университета а	2	1
