1	в то же время	3	5
2	в широком смысле слова	1	4
3	той мере в какой	1	4
4	не что иное как	1	4
5	в той мере в	1	4
6	и тем не менее	4	3
7	и в самом деле	2	3
8	и т д в	1	2
9	есть не что иное	1	2
10	и т д а	1	2
11	в широком смысле этого	1	2
12	заключается в том что	1	2
13	одной и той же	1	2
14	так или иначе но	1	2
15	состоит в том что	1	2
16	дело в том что	1	2
17	для того чтобы понять	1	2
18	с этой точки зрения	2	1
19	но с другой стороны	1	1
20	сама по себе не	1	1
21	какой бы то ни	1	1
22	в том или ином	1	1
23	ответ на этот вопрос	1	1
24	в большей или меньшей	3	1
25	во всяком случае гораздо	1	1
26	до тех пор пока	1	1
27	только в том что	1	1
28	и т д и	1	1
29	т е не только	1	1
30	говоря уже о том	1	1
31	одном и том же	1	1
32	широком смысле этого термина	1	1
33	бы то ни было	1	1
34	в связи с этим	1	1
35	не сам по себе	1	1
36	но также и в	1	1
37	того чтобы понять что	1	1
38	также и то что	1	1
39	в одном и том	1	1
40	не только в том	1	1
41	не говоря уже о	2	1
42	точно так же как	2	1
43	для того чтобы определить	1	1
44	имеет дело лишь с	1	1
45	большей или меньшей степени	3	1
46	в каждом данном случае	1	1
47	мере в какой они	1	1
48	того или иного автора	1	1
49	в зависимости от того	1	1
50	уже о том что	1	1
