N	2gram	Voloshinov_1	FransuaR
1	и в	19	41
2	таким образом	17	19
3	в этом	16	15
4	как и	12	14
5	и все	5	14
6	все эти	7	13
7	то же	7	13
8	в этой	1	13
9	в его	6	12
10	мы уже	2	12
11	в себе	2	11
12	в том	6	11
13	как мы	13	11
14	прежде всего	13	11
15	так и	11	10
16	в то	3	10
17	все это	3	10
18	же время	3	9
19	не в	5	9
20	что в	4	9
21	но и	8	9
22	и его	19	9
23	в качестве	2	9
24	и т.п	10	9
25	в своем	2	9
26	в конце	5	8
27	то что	8	8
28	и от	3	8
29	но в	7	8
30	по существу	1	8
31	и не	26	7
32	вовсе не	5	7
33	в нем	10	7
34	в романе	2	7
35	как бы	15	7
36	с помощью	6	6
37	для него	9	6
38	это не	1	6
39	ни в	2	6
40	мы видим	1	6
41	только в	9	6
42	о том	2	6
43	и до	1	6
44	так же	7	5
45	и для	11	5
46	точки зрения	34	5
47	к нему	1	5
48	а в	4	5
49	того как	1	5
50	потому что	1	5
51	мы видели	1	5
52	и к	3	5
53	как в	4	5
54	в плане	1	5
55	что и	2	5
56	уже в	1	5
57	всего в	1	5
58	в ней	4	5
59	к этому	5	5
60	и это	3	5
61	не только	8	5
62	момент в	3	4
63	и здесь	6	4
64	и с	2	4
65	и наконец	1	4
66	конце концов	3	4
67	целый ряд	3	4
68	в более	1	4
69	что это	1	4
70	та же	1	4
71	ничего не	6	4
72	но все	3	4
73	в образе	1	4
74	к жизни	1	4
75	на этой	2	4
76	мира и	2	4
77	хотя и	1	4
78	место в	3	4
79	в сущности	3	4
80	должно быть	2	4
81	одна из	2	4
82	и на	4	4
83	он не	3	4
84	том числе	2	4
85	было бы	4	4
86	в виду	2	4
87	может быть	26	4
88	рядом с	5	4
89	том что	3	4
90	в форме	1	3
91	о нем	1	3
92	жизни и	2	3
93	от этого	2	3
94	во время	1	3
95	не может	24	3
96	при этом	8	3
97	и их	2	3
98	не было	3	3
99	кроме того	6	3
100	и другие	1	3
101	в своей	3	3
102	во всех	7	3
103	и те	7	3
104	в одном	1	3
105	его в	3	3
106	его к	2	3
107	совсем не	1	3
108	все его	1	3
