N	3gram	Trubetskoy_1	Formalny
1	с точки зрения	9	14
2	не может быть	4	14
3	на самом деле	6	12
4	в то же	10	7
5	то же время	10	7
6	во всяком случае	6	6
7	в самом деле	1	4
8	и не может	3	4
9	в данном случае	3	4
10	в связи с	1	4
11	бы то ни	4	4
12	то ни было	1	4
13	в большинстве случаев	2	4
14	для того чтобы	6	4
15	по отношению к	1	3
16	то же самое	1	3
17	в этом отношении	1	3
18	вместе с тем	3	3
19	в том что	7	3
20	уже знаем что	1	2
21	так же и	1	2
22	и во всяком	2	2
23	до известной степени	1	2
24	лишь тогда когда	1	2
25	во всех областях	1	2
26	только то что	1	2
27	дело в том	1	2
28	друг друга в	1	2
29	как бы ни	1	2
30	к тому что	2	2
31	тем не менее	1	2
32	мы уже знаем	1	2
33	смысле этого слова	1	2
34	в конце концов	3	2
35	для нас важно	1	1
36	и того же	1	1
37	сводится к тому	1	1
38	для создания нового	1	1
39	в каждый данный	1	1
40	в настоящее время	2	1
41	не дала бы	1	1
42	в том же	1	1
43	в этом случае	3	1
44	таким образом оказывается	1	1
45	каждый данный момент	1	1
46	но для нас	1	1
47	а следовательно и	2	1
48	мы говорили в	2	1
49	тот или иной	1	1
50	в лучшем случае	3	1
51	отнюдь не следует	1	1
52	не могло бы	1	1
53	это значило бы	1	1
54	котором мы говорили	1	1
55	потому что и	1	1
56	но для этого	1	1
57	к тому чтобы	4	1
58	не можем и	1	1
59	в противном случае	1	1
60	значило бы признать	1	1
61	до сих пор	5	1
62	мы подойдем к	1	1
63	и в жизни	1	1
64	жизни и в	1	1
65	и в других	1	1
66	в значительной степени	1	1
67	от того что	1	1
68	и что в	1	1
69	тот факт что	2	1
70	так же как	1	1
71	только в этом	1	1
72	только один из	1	1
73	но при этом	1	1
74	та или другая	1	1
75	и вместе с	2	1
76	что ни одна	1	1
77	те или другие	1	1
78	о которых идет	1	1
79	о котором мы	1	1
80	является для них	1	1
81	в его целом	1	1
82	потому что они	1	1
83	о том что	2	1
84	того или иного	2	1
85	и все же	1	1
86	впитывает в себя	1	1
87	можно было бы	3	1
88	конечно не могут	1	1
89	с самого начала	1	1
90	и не будет	2	1
91	той или иной	3	1
92	но все же	1	1
93	однако отнюдь не	2	1
94	на то что	4	1
95	одного и того	1	1
96	совершенно очевидно что	1	1
97	в том числе	1	1
98	тех или иных	1	1
99	сама по себе	2	1
100	и в том	2	1
101	друг с другом	14	1
102	без того чтобы	1	1
103	которых идет речь	1	1
104	она не может	2	1
105	том числе и	1	1
106	и только в	1	1
