N	2gram	Losev_Vesc_1	Sotsiolo
1	все это	5	7
2	в этом	4	5
3	в том	8	5
4	для нас	2	3
5	не только	36	3
6	как же	3	3
7	в его	2	3
8	и в	21	3
9	но ведь	2	3
10	не в	5	3
11	и только	3	3
12	только в	14	2
13	может быть	16	2
14	по природе	1	2
15	и что	15	2
16	в результате	3	2
17	это и	6	2
18	главным образом	1	2
19	то же	6	2
20	должна быть	4	2
21	было бы	14	2
22	она может	4	2
23	далеко не	1	2
24	и мы	1	2
25	таким образом	8	2
26	но и	18	2
27	как будто	1	2
28	метод и	1	2
29	еще не	8	2
30	то что	27	2
31	конце концов	2	2
32	нужно было	2	2
33	только как	1	2
34	в частности	1	2
35	к которому	1	2
36	очевидно что	1	2
37	по существу	2	2
38	как только	4	2
39	в конце	2	2
40	что в	9	2
41	как бы	12	2
42	в смысле	12	2
43	том что	8	2
44	дело не	2	2
45	и не	29	1
46	эти вопросы	1	1
47	кто не	3	1
48	этих вопросов	1	1
49	и есть	26	1
50	в этой	3	1
51	в своей	5	1
52	бы в	5	1
53	же теперь	1	1
54	может не	2	1
55	еще и	8	1
56	по себе	13	1
57	все эти	3	1
58	только то	2	1
59	объекта и	1	1
60	не один	1	1
61	представить себе	1	1
62	и его	2	1
63	не дает	1	1
64	с другой	6	1
65	в сущности	4	1
66	ровно ничего	1	1
67	в те	1	1
68	переходим к	1	1
69	быть не	4	1
70	крайней мере	4	1
71	что она	15	1
72	что он	1	1
73	как науки	1	1
74	происходит не	1	1
75	что все	2	1
76	не было	1	1
77	а вот	3	1
78	когда мы	6	1
79	а с	3	1
80	и стало	1	1
81	это вовсе	2	1
82	ли не	1	1
83	не из	2	1
84	но не	5	1
85	его собственная	1	1
86	никак не	3	1
87	зависит от	1	1
88	мы понимаем	1	1
89	и более	1	1
90	но она	3	1
91	вовсе не	10	1
92	все же	4	1
93	что на	2	1
94	а в	4	1
95	это значит	24	1
96	это не	5	1
97	в то	3	1
98	между собою	6	1
99	мы должны	2	1
100	между ними	3	1
101	конечно не	1	1
102	даже больше	4	1
103	в наше	1	1
104	и наконец	1	1
105	для этого	4	1
106	в чем	6	1
107	никогда не	2	1
108	ними в	2	1
109	в силу	3	1
110	во всяком	3	1
111	и понимает	2	1
112	него и	1	1
113	в котором	3	1
114	стоит только	1	1
115	больше того	4	1
116	тому что	2	1
117	в него	1	1
118	специфическую природу	1	1
119	отнюдь не	5	1
120	по крайней	4	1
121	и о	3	1
122	же это	4	1
123	в этих	1	1
124	том как	1	1
125	без этого	2	1
126	у него	2	1
127	как и	8	1
128	но именно	2	1
129	с ним	8	1
130	ни на	3	1
131	мы еще	2	1
132	не мешает	4	1
133	один из	3	1
134	из себя	3	1
135	стало быть	1	1
136	раньше всего	1	1
137	мы переходим	1	1
138	и как	8	1
139	же не	1	1
140	сама по	3	1
141	как то	1	1
142	его в	2	1
143	с одной	3	1
144	о том	6	1
145	на что	1	1
146	поставить и	1	1
147	же по	1	1
148	одной стороны	3	1
149	же самое	1	1
150	и потому	5	1
151	хотя бы	6	1
152	со своими	1	1
153	она должна	2	1
154	это дает	1	1
155	и по	1	1
156	себя по	1	1
157	ничего не	3	1
158	все то	1	1
159	что это	13	1
160	между собой	1	1
161	бы о	1	1
162	на этот	1	1
163	мы не	6	1
164	новые и	1	1
165	я и	6	1
166	не может	17	1
167	тех кто	2	1
168	а тем	1	1
169	но только	3	1
170	даже не	7	1
171	прежде всего	9	1
172	по самому	3	1
173	всяком случае	2	1
174	или не	2	1
175	тем что	2	1
176	что эти	1	1
177	так и	3	1
178	в данном	5	1
179	в виде	1	1
180	именно в	1	1
181	только когда	1	1
182	и будет	1	1
183	перед нами	2	1
184	только тогда	3	1
