N	3gram	Bakhtin_fo_2	DiskursI
1	в отличие от	1	12
2	в данном случае	1	6
3	в том что	3	6
4	то же время	4	5
5	как и в	1	5
6	в этом отношении	2	4
7	в то же	4	4
8	с одной стороны	1	4
9	не может быть	1	3
10	о том что	1	3
11	той или иной	1	3
12	и того же	1	2
13	в этом мире	6	2
14	в этом случае	2	2
15	с точки зрения	8	2
16	но в данном	1	2
17	одно и то	1	2
18	так и на	1	2
19	и то же	1	2
20	но при этом	1	2
21	и как бы	1	2
22	на первый взгляд	1	2
23	и прежде всего	3	2
24	одного и того	1	2
25	в другом месте	2	1
26	в чем не	1	1
27	в той или	1	1
28	другой стороны в	1	1
29	к себе самому	3	1
30	зоне контакта с	1	1
31	прежде всего в	2	1
32	в зоне контакта	1	1
33	но в той	1	1
34	друг от друга	2	1
35	с другой стороны	1	1
36	и в то	3	1
37	можно говорить о	1	1
38	друг на друга	2	1
39	жизни и смерти	1	1
40	то что в	1	1
41	по аналогии с	1	1
42	первый взгляд может	1	1
43	в частности на	1	1
44	замкнутых в себе	1	1
45	картина мира полемически	1	1
46	человеческой жизни в	1	1
47	между вещами и	3	1
48	жизни но и	1	1
49	а также и	1	1
50	каждый из них	1	1
51	данном случае мы	1	1
52	ни в чем	1	1
53	между тем как	1	1
54	бытия в его	1	1
55	здесь в этом	1	1
56	равно как и	2	1
57	в одном из	1	1
58	то есть в	1	1
59	с самого начала	1	1
60	в себя и	1	1
61	но в этом	1	1
62	можно сказать что	1	1
63	существенную роль в	1	1
64	но здесь это	1	1
65	в большинстве случаев	3	1
66	в том числе	3	1
67	и в большинстве	1	1
68	в себе самом	1	1
69	том числе и	2	1
