N	3gram	Medvedev_F_3	Tragedij
1	то же время	7	5
2	в то же	7	5
3	так и в	2	3
4	в отличие от	2	2
5	в данном случае	4	2
6	о том что	1	2
7	и в самом	1	2
8	но все же	1	2
9	в том что	3	2
10	романа и его	1	1
11	в этом случае	1	1
12	и до конца	1	1
13	и не может	4	1
14	хотя бы и	1	1
15	сам по себе	1	1
16	в той же	1	1
17	и т п	5	1
18	в этом романе	3	1
19	во всяком случае	6	1
20	не является необходимой	1	1
21	в высшей степени	2	1
22	в конце концов	2	1
23	смысле этого слова	2	1
24	объясняется тем что	1	1
25	но при этом	1	1
26	обстоит дело с	3	1
27	тем не менее	2	1
28	связаны между собой	1	1
29	начала и до	1	1
30	в связи с	4	1
31	в жизнь и	1	1
32	не может быть	14	1
33	и все же	1	1
34	как и все	2	1
35	и вместе с	1	1
36	с самого начала	1	1
37	не только не	2	1
38	в самом деле	4	1
39	с тем и	1	1
40	с начала и	1	1
41	к тому что	2	1
42	это не просто	1	1
43	друг друга и	1	1
44	как и в	1	1
45	сводится только к	1	1
