N	3gram	Bakhtin_sl_1	Mirosoze
1	не может быть	1	8
2	для того чтобы	1	4
3	его отношение к	1	4
4	до сих пор	2	3
5	к тому что	2	3
6	у него нет	1	3
7	и в этом	2	3
8	и той же	1	2
9	но это не	1	2
10	может быть и	1	2
11	в отношении к	6	2
12	о том что	1	2
13	одной и той	1	2
14	как и в	1	2
15	никогда не бывает	1	2
16	и те же	1	2
17	есть в отношении	1	2
18	в том что	1	2
19	а между тем	2	1
20	а следовательно и	1	1
21	прежде всего как	1	1
22	и к нему	2	1
23	оно не может	1	1
24	в нем самом	1	1
25	в нем и	1	1
26	с точки зрения	8	1
27	а не к	1	1
28	в своей книге	1	1
29	у него есть	1	1
30	же о чем	1	1
31	но и в	1	1
32	в этом отношении	1	1
33	во всех своих	1	1
34	и не было	1	1
35	исключительный интерес к	1	1
36	он никогда не	1	1
37	в значительной степени	1	1
38	со всеми его	1	1
39	как в самом	1	1
40	он в свою	2	1
41	их они были	1	1
42	не есть еще	1	1
43	одни и те	1	1
44	лежит в основе	1	1
45	в стороне от	1	1
46	и сам он	1	1
47	как бы не	1	1
48	себя в этом	1	1
49	на протяжении всего	1	1
50	в котором в	1	1
51	той или иной	9	1
52	у нее нет	1	1
53	во всех его	7	1
54	именно потому что	1	1
