N	3gram	Savitsky_P_1	OGranits
1	с точки зрения	3	5
2	не может быть	1	4
3	до тех пор	1	4
4	тех пор пока	1	3
5	есть прежде всего	1	3
6	с одной стороны	3	2
7	с другой стороны	1	2
8	в том что	4	2
9	том что в	1	1
10	что в этом	1	1
11	во всей полноте	1	1
12	мы не сумеем	1	1
13	гоголь и достоевский	1	1
14	более или менее	1	1
15	и не может	1	1
16	же время в	1	1
17	можно говорить о	1	1
18	в отличие от	1	1
19	не было бы	1	1
20	в собственном смысле	1	1
21	в выборе и	1	1
22	в значительной мере	2	1
23	для того чтобы	1	1
24	так же как	1	1
25	если бы мы	1	1
26	мы все же	1	1
27	чуть ли не	1	1
28	само по себе	1	1
29	то же время	7	1
30	в борьбе с	1	1
31	та или иная	1	1
32	но в то	1	1
33	в то же	7	1
