N	3gram	Vinokur_St_3	KulturaY
1	и т п	6	18
2	для того чтобы	1	15
3	в том что	11	15
4	и т д	2	14
5	с точки зрения	4	9
6	в том чтобы	2	8
7	то обстоятельство что	5	8
8	в самом деле	1	7
9	с другой стороны	4	6
10	о том что	4	5
11	в этом отношении	4	5
12	по крайней мере	4	5
13	во всяком случае	4	5
14	что же касается	1	4
15	до сих пор	2	4
16	не в том	3	4
17	том что он	1	4
18	т е как	1	4
19	тем не менее	2	4
20	состоит в том	3	3
21	более или менее	1	3
22	в этом смысле	4	3
23	можно было бы	1	3
24	вместе с тем	1	3
25	не потому что	1	3
26	в связи с	3	3
27	а с другой	2	3
28	в свою очередь	1	3
29	не может быть	5	3
30	того что в	1	2
31	смысле этого термина	1	2
32	на самом деле	1	2
33	на то что	3	2
34	так или иначе	1	2
35	что в них	1	2
36	в ряде случаев	2	2
37	на мой взгляд	1	2
38	обстоятельство что в	1	2
39	е как бы	1	2
40	по большей части	1	2
41	в свое время	1	2
42	то же время	3	2
43	несколько слов о	1	2
44	заключается в том	2	2
45	этой точки зрения	1	2
46	и в самом	1	2
47	речь идет о	1	2
48	но все же	2	2
49	в данном отношении	1	2
50	в то же	3	2
51	к тому что	2	2
52	в том виде	1	1
53	сплошь да рядом	1	1
54	и может быть	1	1
55	потому что он	2	1
56	как например в	4	1
57	что они возникли	1	1
58	в ней на	1	1
59	т д по	1	1
60	к той задаче	1	1
61	примером может служить	1	1
62	иметь в виду	1	1
63	то только в	1	1
64	не говоря уже	1	1
65	в общем смысле	1	1
66	во многих случаях	1	1
67	относится к г	2	1
68	того или другого	1	1
69	начале xix века	3	1
70	можно и должно	1	1
71	с одной стороны	2	1
72	для себя и	1	1
73	ср с другой	1	1
74	т д разумеется	1	1
75	в наше время	1	1
76	и именно поэтому	1	1
77	в собственном смысле	1	1
78	ни в какой	1	1
79	том что не	1	1
80	не укладывается в	1	1
81	отчет в том	1	1
82	как на язык	1	1
83	с этой точки	1	1
84	и не в	2	1
85	т п ср	1	1
86	указания на то	1	1
87	человек в известном	1	1
88	в применении к	1	1
89	если не считать	1	1
90	по существу это	1	1
91	мы видели уже	1	1
92	того что он	1	1
93	что мы имеем	2	1
94	не только в	3	1
95	к вопросу о	1	1
96	основной так сказать	1	1
97	если бы в	1	1
98	несет на себе	1	1
99	в начале xix	3	1
100	во всех этих	2	1
101	на себе печать	1	1
102	и то обстоятельство	1	1
103	дело не в	1	1
104	первый и последний	1	1
105	явлениям связанным с	1	1
106	в том смысле	2	1
107	хотя бы на	1	1
108	я имею в	1	1
109	было бы неправильно	1	1
110	уже до конца	1	1
111	до наших дней	1	1
112	что несмотря на	1	1
113	самом деле может	1	1
114	вместе с ним	1	1
115	имею в виду	1	1
116	между тем как	2	1
117	прежде всего от	1	1
118	от того что	1	1
119	том смысле что	1	1
120	что в ней	1	1
121	можно установить по	1	1
122	и если бы	1	1
123	с тем что	3	1
124	что это есть	2	1
125	в каждой из	1	1
126	той или иной	1	1
127	у целого ряда	1	1
128	мы имеем в	2	1
129	я уже упоминал	1	1
130	тем более что	2	1
131	и не потому	1	1
132	что именно этот	1	1
133	в современном смысле	1	1
134	свидетельствуют о том	1	1
135	как нельзя более	1	1
136	таким образом в	1	1
137	т е не	1	1
138	у нас только	1	1
139	и с его	1	1
140	только тогда когда	2	1
141	а то и	1	1
142	тот или иной	1	1
