N	2gram	Berdyaev_M_1	KulturaY
1	т е	2	38
2	и т	1	33
3	в том	6	30
4	и в	28	24
5	потому что	16	23
6	том что	3	21
7	т п	1	18
8	что в	10	17
9	того чтобы	2	17
10	для того	2	16
11	было бы	10	15
12	в этом	20	14
13	точки зрения	4	14
14	может быть	30	13
15	все же	2	12
16	и не	11	12
17	в его	9	12
18	не в	16	11
19	только в	6	11
20	хотя бы	3	10
21	в самом	11	10
22	не только	29	10
23	в силу	1	10
24	у нас	5	10
25	вовсе не	1	10
26	самом деле	1	9
27	так как	3	9
28	если бы	2	9
29	о том	2	9
30	того что	7	9
31	отношению к	2	9
32	прежде всего	10	9
33	то что	5	9
34	по отношению	2	8
35	уже не	4	8
36	тем что	4	8
37	а не	25	8
38	не может	28	7
39	это не	5	7
40	в них	4	7
41	не менее	1	7
42	в области	1	7
43	так и	1	7
44	бы в	2	7
45	как бы	2	7
46	вместе с	6	7
47	мы имеем	1	6
48	зависимости от	1	6
49	в ней	15	6
50	в которой	6	6
51	все эти	2	6
52	в которых	4	6
53	можно было	1	6
54	что он	10	6
55	но и	25	6
56	что же	1	6
57	все это	6	6
58	что такое	1	6
59	в зависимости	1	5
60	еще не	1	5
61	xix века	4	5
62	но не	8	5
63	и с	3	5
64	рядом с	1	5
65	с тем	9	5
66	и его	9	5
67	не потому	1	5
68	к тому	3	5
69	в виду	2	5
70	с ним	2	5
71	и что	2	5
72	между тем	1	5
73	всяком случае	1	5
74	что не	1	5
75	в той	2	5
76	целый ряд	1	5
77	а в	4	5
78	во всяком	1	5
79	переход от	1	4
80	это и	4	4
81	и на	6	4
82	с его	3	4
83	что они	1	4
84	как в	2	4
85	учение о	3	4
86	роль в	1	4
87	в нем	13	4
88	стоит в	1	4
89	к себе	1	4
90	в пределах	1	4
91	не на	1	4
92	в самой	7	4
93	что и	4	4
94	должен быть	2	4
95	так что	1	4
96	не есть	9	4
97	до сих	2	4
98	в частности	1	4
99	и потому	10	4
100	с этим	3	4
101	сих пор	2	4
102	один из	4	4
103	в этих	4	4
104	так же	1	4
105	и то	1	3
106	в котором	8	3
107	то это	1	3
108	и он	12	3
109	то мы	1	3
110	в истории	2	3
111	в своем	10	3
112	когда он	3	3
113	его к	1	3
114	в этой	6	3
115	с их	2	3
116	в себе	7	3
117	должна быть	6	3
118	на том	3	3
119	что она	1	3
120	должно быть	3	3
121	нисколько не	1	3
122	в их	4	3
123	и эти	1	3
124	казалось бы	1	3
125	только и	3	3
126	из одного	1	3
127	в духе	1	3
128	оно не	1	3
129	мы увидим	3	3
130	уже в	4	3
131	себе в	1	3
132	в одном	1	3
133	связано с	2	3
134	даже и	2	3
135	не было	18	3
136	и даже	1	3
137	к которому	1	3
138	в свою	2	3
139	есть лишь	9	3
140	под влиянием	1	3
141	если не	1	3
142	потребность в	1	3
143	они не	1	3
144	одним из	2	2
145	также и	2	2
146	пишет он	2	2
147	явлений в	1	2
148	и есть	14	2
149	бы уже	1	2
150	бы и	3	2
151	я не	1	2
152	не знают	3	2
153	иное как	1	2
154	иных случаях	1	2
155	на самом	1	2
156	не все	2	2
157	если в	1	2
158	себе и	2	2
159	относится к	2	2
160	и как	2	2
161	увидим что	4	2
162	но в	7	2
163	от этого	2	2
