N	3gram	Vinokur_Vv_1	Dialekti
1	и т д	37	15
2	с точки зрения	2	9
3	в том что	12	9
4	что иное как	4	8
5	не что иное	4	8
6	по крайней мере	4	7
7	не может быть	8	6
8	то же время	5	6
9	в то же	5	6
10	есть не что	2	5
11	сама по себе	3	5
12	для того чтобы	21	5
13	в этом смысле	10	4
14	само по себе	3	4
15	не в том	2	4
16	подобно тому как	1	4
17	только тогда когда	1	4
18	имеется в виду	1	3
19	и той же	2	3
20	не говоря уже	2	3
21	т е о	1	3
22	т д и	1	3
23	говоря уже о	1	3
24	то или иное	1	3
25	одной и той	2	3
26	и в этом	3	3
27	что это есть	1	3
28	в чем же	3	2
29	т е не	2	2
30	хотя бы и	2	2
31	сам по себе	1	2
32	в собственном смысле	2	2
33	точно так же	2	2
34	с этой точки	1	2
35	ту или иную	1	2
36	уже о том	1	2
37	т е в	4	2
38	но в то	3	2
39	т д все	2	2
40	этой точки зрения	1	2
41	по сравнению с	3	2
42	вовсе не в	2	2
43	от того что	1	2
44	в свою очередь	1	2
45	тем не менее	8	2
46	в сравнении с	1	2
47	не имеет права	1	2
48	говорим только о	1	1
49	здесь идет речь	1	1
50	в обоих случаях	1	1
51	она есть не	1	1
52	что в этом	2	1
53	только потому что	1	1
54	сказать что в	1	1
55	не могло не	1	1
56	т е на	1	1
57	т е того	1	1
58	мы имеем дело	1	1
59	прежде всего в	1	1
60	дело в том	2	1
61	не только о	1	1
62	именно как нечто	1	1
63	на каком-нибудь одном	1	1
64	и есть то	1	1
65	в лучшем случае	1	1
66	именно в этом	3	1
67	в зависимости от	1	1
68	можно говорить о	1	1
69	в отличие от	3	1
70	все же это	1	1
71	также и то	1	1
72	не есть и	1	1
73	можно сказать что	3	1
74	и именно в	3	1
75	т д но	5	1
76	с тем что	3	1
77	совершенно ясно что	1	1
78	себе не есть	1	1
79	шла речь в	3	1
80	самого по себе	1	1
81	и не в	1	1
82	и что это	1	1
83	т е все	1	1
84	и тем не	3	1
85	и то что	2	1
86	и заключается она	1	1
87	не есть наука	1	1
88	а не только	1	1
89	могут быть в	1	1
90	в данном случае	4	1
91	не только в	4	1
92	не просто как	1	1
93	самом же начале	1	1
94	в конце концов	2	1
95	возможно только потому	1	1
96	чем больше он	1	1
97	все эти отдельные	1	1
98	так или иначе	4	1
99	что это только	1	1
100	в нем не	1	1
101	в связи с	2	1
102	который хотя и	1	1
103	хотя бы на	1	1
104	лишь в том	1	1
105	как мы имеем	1	1
106	оно не дает	1	1
107	и вот почему	1	1
108	по себе не	1	1
109	не мог не	1	1
110	его можно только	1	1
111	последних т е	1	1
112	то обстоятельство что	1	1
113	потому что все	1	1
114	все т е	1	1
115	имел в виду	1	1
116	в подлинном смысле	1	1
117	большой интерес представляет	1	1
118	в этом случае	6	1
119	связи с этим	1	1
120	о том что	12	1
121	вопрос о том	5	1
122	то о котором	1	1
123	и прежде всего	1	1
124	но все же	3	1
125	нужно сказать что	1	1
126	же это не	1	1
127	с другой стороны	5	1
128	гораздо ближе к	2	1
129	после того как	2	1
130	в самом же	1	1
131	не значит что	1	1
132	заключается вовсе не	1	1
133	тех или иных	3	1
134	но также и	9	1
135	а именно в	1	1
136	может быть в	2	1
137	из того что	1	1
138	т д в	2	1
139	все это не	1	1
140	еще не значит	1	1
141	вот почему в	1	1
142	той или иной	1	1
143	истории и в	1	1
144	д все это	1	1
