N	2gram	Berdyaev_N_1	Tragedij
1	и в	16	18
2	в этом	7	9
3	не только	5	8
4	и с	2	7
5	и на	2	7
6	может быть	7	7
7	и не	11	7
8	но в	2	6
9	и его	1	6
10	в образе	1	6
11	что он	1	6
12	у него	2	6
13	это не	4	5
14	как и	7	5
15	в то	2	5
16	так и	2	5
17	не может	16	5
18	к жизни	3	5
19	я не	2	4
20	еще не	3	4
21	в себе	2	4
22	в этой	1	4
23	в нем	5	4
24	том что	2	4
25	и что	2	4
26	но и	3	4
27	и даже	2	4
28	прежде всего	4	4
29	так же	2	4
30	но это	6	4
31	все это	5	4
32	что в	9	4
33	и все	4	4
34	то что	4	4
35	что образ	1	3
36	в мире	3	3
37	своего рода	1	3
38	как в	3	3
39	в своем	1	3
40	все эти	2	3
41	должно быть	4	3
42	с ее	5	3
43	с ним	1	3
44	к нему	1	3
45	в его	1	3
46	уже в	1	3
47	в конце	1	3
48	как будто	2	3
49	как это	2	3
50	и до	1	2
51	никогда не	6	2
52	не был	1	2
53	с его	6	2
54	отличие от	1	2
55	не человек	2	2
56	говорит что	1	2
57	в самом	1	2
58	зла в	1	2
59	жизнью и	1	2
60	он не	8	2
61	что она	2	2
62	ее жизни	1	2
63	но все	1	2
64	что все	2	2
65	знает что	1	2
66	в это	1	2
67	ни в	6	2
68	нет в	1	2
69	с тем	3	2
70	в отличие	1	2
71	вопрос о	3	2
72	права на	2	2
73	не в	6	2
74	что этот	1	2
75	одна из	2	2
76	не имеет	4	2
77	в русском	2	2
78	не могут	1	2
79	он и	1	2
80	к тому	3	2
81	и это	2	2
82	в ее	3	2
83	еще в	1	2
84	о том	4	2
85	теперь и	1	2
86	времени в	2	2
87	в том	8	2
88	который в	2	2
89	уже не	2	2
90	друг друга	1	2
91	не случайно	1	2
92	тем что	1	2
93	ничем не	1	2
94	она должна	1	2
95	в силах	1	2
96	это уже	1	2
97	потому что	4	2
98	отцы и	1	2
99	также что	1	1
100	человека и	3	1
101	силы и	2	1
102	это и	2	1
103	и есть	10	1
104	капиталистического общества	1	1
105	должна быть	3	1
106	высшей степени	6	1
107	прошлом в	1	1
108	на себя	1	1
109	в виду	1	1
110	не способен	1	1
111	из ее	2	1
112	в ней	5	1
113	в xix	1	1
114	быть в	2	1
115	в чем	1	1
116	и мира	1	1
117	во всех	3	1
118	но не	2	1
119	значение и	1	1
120	за пределы	3	1
121	сильнее и	2	1
122	в истории	3	1
123	в центре	2	1
124	у в	1	1
125	со злом	1	1
126	отнесены к	1	1
127	добро и	1	1
128	в которой	1	1
129	он в	1	1
130	не могла	2	1
131	человек не	1	1
132	вообще не	1	1
133	идей и	1	1
134	на западе	1	1
135	одному из	1	1
136	перестает быть	4	1
137	и еще	1	1
138	не значит	3	1
139	к одному	1	1
140	не к	2	1
141	в россии	3	1
142	по всем	1	1
143	бога но	2	1
144	от нее	1	1
145	мира против	1	1
146	лишь в	6	1
147	это было	3	1
148	быть не	1	1
149	а это	1	1
150	лишь на	1	1
151	борьбе за	1	1
152	в них	4	1
153	в высшей	6	1
154	быть понят	1	1
155	этого не	1	1
156	всю жизнь	1	1
157	для чего	2	1
158	перед собой	1	1
159	но я	2	1
160	но если	1	1
161	в своей	3	1
162	в такой	1	1
163	во времена	1	1
164	в котором	1	1
165	растет и	3	1
166	с своими	1	1
167	не столько	1	1
168	значение для	1	1
169	но он	1	1
170	не могли	2	1
171	возвращается к	2	1
172	по себе	1	1
173	не менее	4	1
174	xviii века	2	1
175	она не	3	1
176	человека вот	1	1
177	на путях	2	1
178	ним она	1	1
179	к ней	1	1
180	показал что	1	1
181	страдания но	1	1
182	по своей	1	1
183	ничего от	1	1
184	в области	1	1
185	часто бывало	1	1
186	день не	1	1
187	ли это	2	1
188	нашей эпохи	3	1
189	к себе	1	1
190	выразить свое	1	1
191	могут быть	2	1
192	в недрах	1	1
193	всего что	1	1
194	еще по	1	1
195	быть отнесены	1	1
196	не есть	3	1
197	чтобы так	1	1
198	жизни перед	1	1
199	того чтобы	2	1
200	не хочу	1	1
201	людей в	1	1
202	роль в	2	1
203	ли есть	2	1
204	природе своей	1	1
205	с собой	1	1
206	можно было	2	1
207	на нее	1	1
208	по природе	1	1
209	во многом	1	1
210	на них	1	1
211	быть может	4	1
212	в эпоху	9	1
213	стремление к	2	1
214	а по	1	1
215	себя а	1	1
216	и должно	2	1
217	вот почему	2	1
218	творческий процесс	1	1
219	это должно	1	1
220	а также	1	1
221	все в	1	1
222	это была	1	1
223	мы вновь	1	1
224	нуждается в	1	1
225	все время	2	1
226	и она	1	1
227	xix век	2	1
228	он есть	1	1
229	в новой	7	1
230	только в	1	1
231	во всем	1	1
232	в обществе	2	1
233	с одной	2	1
234	вот что	1	1
235	есть в	2	1
236	эти черты	1	1
237	свидетельствует о	1	1
238	этого господина	1	1
239	i есть	1	1
240	и их	1	1
241	всяком случае	1	1
242	слова в	1	1
243	не для	1	1
244	они сами	1	1
245	к ним	3	1
246	характерны для	1	1
247	и вместе	1	1
248	и возвращается	1	1
249	до начала	1	1
250	факт в	1	1
251	на уровне	2	1
252	вопрос об	1	1
253	в каких	1	1
254	что не	1	1
255	социальной жизни	1	1
256	обратиться к	1	1
257	не было	4	1
258	а на	1	1
259	попал в	1	1
260	не верит	1	1
261	а не	17	1
262	власти и	1	1
263	не быть	1	1
264	одну из	1	1
265	себя на	1	1
266	я хочу	1	1
267	ни за	1	1
268	эти слова	1	1
269	вместе с	2	1
270	и особенно	1	1
271	до этого	1	1
272	и потому	4	1
273	в духе	3	1
274	не знал	2	1
275	xix века	5	1
276	мы опять	1	1
277	наряду с	3	1
278	в той	1	1
279	нем ничего	1	1
280	не удалось	1	1
281	распадается на	1	1
282	и от	2	1
283	хочет и	1	1
284	и зло	1	1
285	а к	1	1
286	хотя бы	2	1
287	этой теме	1	1
288	к ее	3	1
289	гораздо больше	1	1
290	жизни в	3	1
291	в период	1	1
292	есть и	1	1
293	всегда была	1	1
294	к этой	1	1
295	во всяком	1	1
