N	3gram	Losev_Dial_4	NovoeSre
1	не может быть	6	4
2	подобно тому как	4	3
3	не значит что	1	3
4	равно как и	2	2
5	в этом смысле	4	2
6	он не может	1	2
7	в нем нет	1	2
8	не может уже	1	2
9	с другой стороны	1	2
10	вопрос о том	1	2
11	ни одна из	1	2
12	я думаю что	2	1
13	но это есть	1	1
14	что она не	1	1
15	что в этом	1	1
16	только потому что	1	1
17	но оно есть	1	1
18	а не в	1	1
19	но это значит	1	1
20	есть прежде всего	3	1
21	и из них	1	1
22	же как и	1	1
23	не было и	1	1
24	и не может	1	1
25	том случае если	1	1
26	в зависимости от	1	1
27	в отличие от	1	1
28	в час ночи	1	1
29	может быть только	1	1
30	и не в	1	1
31	к жизни и	1	1
32	в том случае	1	1
33	еще не знает	1	1
34	а не их	2	1
35	не только в	1	1
36	история так как	1	1
37	по природе своей	1	1
38	не в том	4	1
39	который можно назвать	1	1
40	в нем не	1	1
41	лишь в том	1	1
42	я не могу	1	1
43	быть может еще	1	1
44	о том что	1	1
45	ни в чем	1	1
46	но для этого	1	1
47	и вместе с	1	1
48	есть по существу	1	1
49	это и есть	4	1
50	не в силах	1	1
51	та или иная	2	1
52	не имеет никакой	1	1
53	эта символическая природа	1	1
54	это значит что	7	1
55	но я не	1	1
56	и мы не	1	1
57	которые могут быть	1	1
58	это не есть	4	1
59	в том что	9	1
