N	3gram	Vygotskiy__5	Analitik
1	не может быть	3	16
2	в том что	11	9
3	в то же	1	8
4	в том чтобы	1	7
5	в отличие от	2	6
6	той или иной	1	6
7	что иное как	1	5
8	по отношению к	12	5
9	с точки зрения	9	4
10	и не может	2	4
11	не что иное	1	4
12	о том что	4	3
13	состоит в том	3	3
14	подобно тому как	4	3
15	в том числе	1	3
16	того или иного	1	3
17	из того что	4	3
18	для того чтобы	14	3
19	с одной стороны	3	3
20	есть не что	1	3
21	в полной мере	1	3
22	и того же	3	2
23	в самом деле	2	2
24	то же самое	4	2
25	именно в этом	2	2
26	в этом отношении	5	2
27	же самое время	1	2
28	в той мере	3	2
29	в первом случае	1	2
30	не могут быть	1	2
31	с другой стороны	2	2
32	мере в какой	3	2
33	в свое время	2	2
34	одного и того	3	2
35	той мере в	3	2
36	тех или иных	1	2
37	том что он	2	2
38	отношение к предмету	1	1
39	по своей природе	1	1
40	в том виде	1	1
41	как и его	1	1
42	не в состоянии	4	1
43	такой же мере	3	1
44	связей и отношений	3	1
45	или хотя бы	1	1
46	имеет дело с	1	1
47	каждый из которых	1	1
48	и той же	1	1
49	более или менее	1	1
50	имеем в виду	1	1
51	как и во	1	1
52	один и тот	3	1
53	о том как	2	1
54	в области гуманитарных	1	1
55	только в том	1	1
56	до сих пор	3	1
57	да и в	1	1
58	в качестве своих	1	1
59	в зависимости от	2	1
60	сам по себе	1	1
61	есть в сущности	1	1
62	того что мы	2	1
63	его из общей	1	1
64	как мы увидим	1	1
65	с ним в	1	1
66	в собственном смысле	1	1
67	том числе и	1	1
68	приводит нас к	2	1
69	для другого в	1	1
70	совершенно особого рода	1	1
71	с этой точки	4	1
72	вместе с тем	2	1
73	в равной мере	1	1
74	одно и то	1	1
75	и в частности	2	1
76	в этой связи	1	1
77	в достаточной мере	1	1
78	все эти три	2	1
79	и на все	1	1
80	связи и отношения	2	1
81	отношением к предмету	1	1
82	происходит нечто аналогичное	1	1
83	смысле этого слова	1	1
84	и то же	1	1
85	в свою очередь	3	1
86	не столько в	1	1
87	в известном смысле	7	1
88	а с другой	2	1
89	в такой же	3	1
90	одни и те	1	1
91	ни на что	1	1
92	себя и не	1	1
93	собственном смысле слова	1	1
94	как нам представляется	1	1
95	во всяком случае	1	1
96	я не могу	1	1
97	включает в себя	2	1
98	на вопрос о	3	1
99	мере как и	2	1
100	этой точки зрения	4	1
101	но не может	1	1
102	стороны одной и	1	1
103	в той же	2	1
104	мы постараемся сейчас	1	1
105	значение только в	1	1
106	по аналогии с	1	1
107	в контакте с	1	1
108	из сказанного выше	1	1
109	тем самым и	1	1
110	и вместе с	1	1
111	а тем самым	1	1
112	это происходит в	1	1
113	на вопрос почему	1	1
114	в этом последнем	1	1
115	и тем самым	1	1
116	заключенное в нем	1	1
117	же мере как	2	1
118	мы имеем в	1	1
119	и те же	1	1
120	функции и не	1	1
121	в сущности говоря	4	1
122	в этом смысле	1	1
123	как справедливо говорит	1	1
124	в связи с	1	1
125	к тому что	1	1
126	одной и той	1	1
127	той же мере	2	1
128	и таким образом	1	1
129	друг с другом	7	1
130	этой части нашей	1	1
131	ничто не может	1	1
132	в том же	1	1
133	и тот же	3	1
