N	3gram	Bakhtin_sl_2	RusskieA
1	в том что	4	18
2	в этом случае	6	6
3	для того чтобы	2	6
4	и т д	2	5
5	о том что	1	4
6	мы видели что	1	4
7	в этих случаях	1	3
8	в отличие от	12	3
9	не может быть	15	3
10	тем не менее	1	2
11	для этой цели	1	2
12	может быть только	1	2
13	мы не можем	1	2
14	с одной стороны	5	2
15	том что в	1	1
16	не может не	1	1
17	как например в	1	1
18	иметь в виду	1	1
19	более или менее	2	1
20	но все это	1	1
21	но и в	1	1
22	между тем как	1	1
23	в этом отношении	3	1
24	таким образом в	1	1
25	может быть и	2	1
26	в применении к	1	1
27	во всяком случае	2	1
28	во всех этих	1	1
29	всяком случае не	1	1
30	не только как	1	1
31	но может быть	1	1
32	которые как бы	1	1
33	с другой стороны	1	1
34	все то что	1	1
35	влияние и на	1	1
36	далеко не все	1	1
37	и затем в	1	1
38	в свою очередь	2	1
39	тем и другим	1	1
40	на то что	1	1
41	как мы уже	2	1
42	до некоторой степени	1	1
43	всех этих случаях	1	1
44	как и в	1	1
45	как мы видели	1	1
