N	3gram	Nazirov_Tv_1	Istorich
1	и т д	1	18
2	с другой стороны	1	8
3	с одной стороны	1	7
4	вместе с тем	1	6
5	о том что	5	4
6	в связи с	1	4
7	тем не менее	2	4
8	это уже не	2	2
9	по отношению к	1	2
10	он не может	1	2
11	до сих пор	1	2
12	в свою противоположность	2	2
13	в данном случае	2	2
14	не только в	2	2
15	это значит что	1	2
16	но это не	1	2
17	в том что	6	2
18	как и в	1	2
19	как и его	1	1
20	объясняется тем что	1	1
21	на самом деле	2	1
22	в соответствии с	3	1
23	мы знаем из	1	1
24	что он не	1	1
25	в отличие от	1	1
26	и тем не	1	1
27	то же время	12	1
28	точно так же	2	1
29	что все это	3	1
30	дело не в	1	1
31	совершенно естественно что	1	1
32	в ту же	1	1
33	все же и	1	1
34	не только для	1	1
35	мы уже говорили	1	1
36	целый ряд других	1	1
37	что у него	1	1
38	и в других	1	1
39	что может быть	1	1
40	в свою очередь	1	1
41	из них он	1	1
42	с самого начала	3	1
43	можно сказать что	2	1
44	в то же	13	1
45	в себя как	1	1
46	приходит на смену	1	1
