N	2gram	Bakhtin_fo_2	VrazhdaK
1	не только	11	9
2	в этом	22	8
3	и в	46	8
4	и что	1	8
5	но и	9	7
6	и все	6	7
7	то что	7	7
8	что в	5	7
9	все же	6	6
10	но в	10	6
11	в нем	5	6
12	как и	8	6
13	в котором	4	6
14	и с	6	6
15	и даже	3	6
16	в романе	13	6
17	то же	8	5
18	об этом	1	5
19	на лету	1	5
20	в то	5	5
21	же время	4	5
22	между тем	1	5
23	у него	9	5
24	не было	3	5
25	и не	9	5
26	в ней	1	4
27	что он	3	4
28	в истории	4	4
29	целый ряд	3	4
30	при этом	6	4
31	это не	2	4
32	несмотря на	1	4
33	все это	6	4
34	в виду	3	4
35	с ним	4	4
36	о том	4	4
37	и детей	2	4
38	уже в	4	4
39	может быть	7	4
40	как бы	10	4
41	так же	2	4
42	он был	2	3
43	в чем	1	3
44	с его	1	3
45	в своем	5	3
46	и как	3	3
47	в этот	3	3
48	его в	6	3
49	он не	5	3
50	в париже	2	3
51	далеко не	2	3
52	и уже	1	3
53	том что	4	3
54	но он	2	3
55	что есть	1	3
56	и его	12	3
57	связи с	8	3
58	человека в	6	3
59	и о	2	3
60	и во	6	3
61	в его	8	3
62	в том	10	3
63	и у	5	3
64	в конце	2	3
65	тем что	3	3
66	в связи	8	3
67	наряду с	2	3
68	имел в	1	3
69	к этому	3	3
70	отношения к	4	2
71	и то	1	2
72	на место	1	2
73	и он	4	2
74	он сам	1	2
75	но как	1	2
76	отнюдь не	4	2
77	в той	2	2
78	его на	1	2
79	в письмах	1	2
80	мотивы и	1	2
81	в этой	2	2
82	в себе	4	2
83	после этого	2	2
84	их в	4	2
85	таким образом	3	2
86	в мире	4	2
87	в них	7	2
88	рядом с	2	2
89	не мог	2	2
90	на первый	3	2
91	во время	10	2
92	точки зрения	10	2
93	в своей	1	2
94	и ее	1	2
95	с точки	8	2
96	место в	4	2
97	том же	4	2
98	одна из	1	2
99	никогда не	6	2
100	п в	1	2
101	в роман	2	2
102	приехал в	1	2
103	к себе	4	2
104	его с	1	2
105	и это	2	2
106	на основе	3	2
107	так в	1	2
108	еще не	6	2
109	а также	3	2
110	там же	1	2
111	этот момент	1	2
112	тем более	3	2
113	после смерти	1	2
114	с нею	1	2
115	уже не	3	2
116	из них	8	2
117	для него	3	2
118	отношение к	3	2
119	к ним	2	2
120	и т.п	2	2
121	о чем	3	2
122	начиная с	1	2
123	не может	2	2
124	вместе с	9	2
125	в него	1	2
126	в это	3	2
127	но это	2	2
128	же в	4	2
129	а в	3	2
130	в свою	1	2
131	которых не	1	1
132	этого романа	2	1
133	себя как	1	1
134	можно говорить	1	1
135	также и	4	1
136	человека и	4	1
137	того же	3	1
138	это и	1	1
139	идет о	1	1
140	и есть	2	1
141	которую они	1	1
142	по преимуществу	1	1
143	свое место	1	1
144	в их	3	1
145	говорил с	1	1
146	что уже	1	1
147	он как	1	1
148	начинается с	1	1
149	равно как	2	1
150	говорить о	2	1
151	роман в	2	1
152	в полной	1	1
153	в разные	1	1
154	ему в	3	1
155	всего романа	2	1
156	в числе	1	1
157	это время	1	1
158	литературе и	1	1
159	одном из	2	1
160	первый план	2	1
161	мне все	1	1
162	по своему	2	1
163	а следовательно	3	1
164	и всего	1	1
165	совсем не	2	1
166	но не	5	1
167	о смерти	2	1
168	был также	1	1
169	если в	2	1
170	и т.д	1	1
171	что они	4	1
172	как говорит	1	1
173	первый взгляд	1	1
174	как в	4	1
175	с этим	5	1
176	для создания	1	1
177	для всех	1	1
178	что как	1	1
179	и наконец	6	1
180	не являются	1	1
181	состояло в	1	1
182	так при	1	1
183	и отчасти	1	1
184	роль играет	1	1
185	то в	2	1
186	человеком в	1	1
187	в самом	1	1
188	не был	2	1
189	романа это	1	1
190	выражение в	1	1
191	еще один	1	1
192	как он	2	1
193	у женщин	1	1
194	он всегда	1	1
195	не могла	2	1
196	да и	1	1
197	ключ к	1	1
198	при виде	3	1
199	всех этих	7	1
200	же это	1	1
201	сказал что	2	1
202	эпизоду в	1	1
203	из него	1	1
204	никому не	1	1
205	людей и	2	1
206	однако в	1	1
207	одно и	1	1
208	их и	1	1
209	этой традиции	1	1
210	это было	1	1
211	как тот	1	1
212	дома и	1	1
213	как пример	1	1
214	смеха и	2	1
215	было бы	2	1
216	типичен для	1	1
217	а за	1	1
218	которой он	2	1
219	анекдот о	1	1
220	он и	1	1
221	герои романа	1	1
222	свою книгу	1	1
223	такой же	1	1
224	он сказал	1	1
225	одного и	1	1
226	в этих	3	1
227	и их	4	1
228	смешные черты	1	1
229	представление о	2	1
230	далее в	2	1
231	в поэме	1	1
232	к реальному	3	1
233	без всяких	1	1
234	не могли	3	1
235	времени а	1	1
236	раз и	1	1
237	за обедом	2	1
238	них много	1	1
239	вплоть до	2	1
240	не имеет	1	1
241	правда в	1	1
242	близок к	1	1
243	героев и	4	1
244	следовательно и	3	1
245	через него	1	1
246	автора к	1	1
247	как новый	1	1
248	и лишь	1	1
249	того в	1	1
250	в другую	1	1
251	более что	2	1
252	он хочет	1	1
253	по своей	1	1
254	такая же	1	1
255	словом весь	1	1
256	потому что	8	1
257	в эпизоде	7	1
258	до того	2	1
259	этом отношении	2	1
260	в бою	1	1
261	среди них	1	1
262	один эпизод	1	1
263	в духе	2	1
264	могут быть	2	1
265	во все	2	1
266	похож на	2	1
267	сама жизнь	1	1
268	по всем	2	1
269	уже на	1	1
270	эти не	2	1
271	с ее	1	1
272	свою очередь	1	1
273	но при	1	1
274	в ее	1	1
275	но мы	1	1
276	то время	1	1
277	роль в	3	1
278	к смерти	4	1
279	и сам	1	1
280	считаем что	1	1
281	так и	7	1
282	роман сервантеса	1	1
283	было в	1	1
284	этого как	1	1
285	идти вперед	1	1
286	еще в	1	1
287	том как	3	1
288	жизнь и	3	1
289	и вообще	1	1
290	во всяком	2	1
291	ему нужно	1	1
292	в будущее	1	1
293	его жизни	4	1
294	до сих	2	1
295	затем в	3	1
296	вопросу о	4	1
297	доходит до	1	1
298	во всех	11	1
299	я вижу	1	1
300	в форме	3	1
301	все в	2	1
302	романа в	2	1
303	в литературе	2	1
304	тех пор	1	1
305	имеется в	1	1
306	один из	2	1
307	романа и	1	1
308	за исключением	1	1
309	ли он	1	1
310	во всем	1	1
311	в литературу	2	1
312	это же	1	1
313	в качестве	3	1
314	себя в	1	1
315	внимание в	1	1
316	на свое	1	1
317	хотя в	1	1
318	а это	1	1
319	высокой оценке	1	1
320	ни с	1	1
321	в одном	7	1
322	каждый из	2	1
323	резко отличают	1	1
324	там за	1	1
325	в особенности	6	1
326	никого не	1	1
327	связан с	1	1
328	и речи	1	1
329	с другой	2	1
330	именно в	2	1
331	что тот	1	1
332	все равно	1	1
333	характерно для	1	1
334	такое же	1	1
335	души и	1	1
336	тогда же	1	1
337	прежде всего	14	1
338	в стиле	1	1
339	на этот	1	1
340	до конца	2	1
341	и самый	2	1
342	в рассказе	1	1
343	человек в	2	1
344	одну из	1	1
345	во франции	2	1
346	с помощью	3	1
347	в частности	5	1
348	не знал	1	1
349	и никому	1	1
350	с тех	1	1
351	того что	3	1
352	в условиях	1	1
353	сих пор	2	1
354	в основном	8	1
355	оба они	1	1
356	между прочим	1	1
357	под влиянием	1	1
358	к вопросу	3	1
359	более того	1	1
360	и от	2	1
361	котором он	1	1
362	это как	1	1
363	хотя и	3	1
364	ее и	2	1
365	христа и	1	1
366	бы в	1	1
367	еще более	4	1
368	конце концов	1	1
369	нам не	1	1
370	быть и	2	1
371	другой стороны	1	1
372	они как	1	1
373	больших и	1	1
374	мы считаем	1	1
375	жизни и	8	1
376	у людей	1	1
377	как на	2	1
378	в таком	1	1
379	все что	2	1
380	они не	1	1
381	он часто	1	1
