N	3gram	Bakhtin_Fr_4	Tvorches
1	в то же	8	7
2	то же время	8	7
3	в соответствии с	1	4
4	до сих пор	1	3
5	не может быть	1	3
6	о том что	2	2
7	в том же	1	2
8	в известной мере	3	2
9	и в то	4	2
10	с другой стороны	3	2
11	в одной из	1	2
12	в том что	1	2
13	и не может	1	2
14	так и в	1	2
15	в отличие от	1	2
16	все же не	1	2
17	с самого начала	3	1
18	в том числе	3	1
19	в ту эпоху	2	1
20	новую жизнь и	1	1
21	это и есть	3	1
22	мы уже говорили	5	1
23	в противоречии с	1	1
24	это своего рода	2	1
25	но это не	1	1
26	в литературе в	1	1
27	но в то	1	1
28	к тому же	1	1
29	а с другой	1	1
30	направо и налево	1	1
31	и если бы	1	1
32	в чем не	1	1
33	и всякого рода	1	1
34	это не значит	1	1
35	и в литературе	1	1
36	ни в чем	1	1
37	в первый раз	1	1
38	в конечном счете	1	1
39	в связи с	1	1
40	и в дальнейшем	1	1
41	в романе не	1	1
42	нужно сказать что	2	1
43	со всех сторон	1	1
44	в виду что	1	1
45	не замечая что	2	1
46	нет и не	1	1
47	в нем нет	1	1
48	том числе и	2	1
49	соответствии с этим	1	1
50	большую роль в	1	1
51	дело в том	1	1
52	не случайно оно	1	1
53	тем что он	1	1
54	в свою очередь	1	1
55	в этом плане	1	1
56	в то время	2	1
