N	2gram	Trubetskoy_1	VerxiiNi
1	и в	23	26
2	таким образом	31	22
3	с тем	2	18
4	в этом	12	15
5	вместе с	6	15
6	точки зрения	13	13
7	как бы	10	12
8	в том	30	11
9	из этих	8	10
10	не только	7	10
11	и с	5	10
12	может быть	16	10
13	связи с	4	9
14	в области	4	9
15	так как	7	9
16	но и	9	9
17	что в	8	9
18	но не	2	8
19	в общем	6	8
20	главным образом	1	8
21	и у	4	8
22	с другой	6	8
23	и не	8	8
24	как на	4	8
25	но в	4	7
26	но все	5	7
27	из них	5	7
28	том что	19	7
29	потому что	9	7
30	к нему	2	7
31	с одной	3	7
32	в религиозном	1	7
33	то что	18	7
34	а с	4	7
35	одной стороны	2	7
36	того же	9	6
37	представление о	3	6
38	все же	13	6
39	все эти	19	6
40	в себе	5	6
41	всяком случае	2	6
42	с точки	8	6
43	в отношении	1	6
44	к тому	8	6
45	так и	10	6
46	и т.д	4	6
47	о том	7	6
48	в конце	4	6
49	что и	7	6
50	несмотря на	6	6
51	и потому	3	6
52	все это	11	6
53	мы должны	4	6
54	во всяком	2	6
55	отношение к	4	5
56	сих пор	8	5
57	и к	5	5
58	тем чтобы	2	5
59	тому же	6	5
60	в силу	7	5
61	в мире	6	5
62	лишь в	5	5
63	или менее	7	5
64	по крайней	1	5
65	национального целого	1	5
66	не имеет	1	5
67	того чтобы	8	5
68	никогда не	4	5
69	с другом	9	5
70	для того	8	5
71	образом в	3	5
72	в его	5	5
73	крайней мере	1	5
74	до сих	8	5
75	а не	1	5
76	к жизни	1	5
77	друг с	9	5
78	и для	6	5
79	так же	8	5
80	сравняться с	1	5
81	более или	7	5
82	том числе	1	5
83	в котором	2	4
84	то же	4	4
85	в течение	4	4
86	целый ряд	4	4
87	в самом	8	4
88	в этой	6	4
89	и по	3	4
90	что все	5	4
91	то есть	2	4
92	с другими	1	4
93	он не	3	4
94	далеко не	5	4
95	в которых	2	4
96	в то	6	4
97	очень мало	2	4
98	в нем	3	4
99	а в	3	4
100	числе и	1	4
101	что оно	3	4
102	и что	8	4
103	и только	2	4
104	только в	6	4
105	к своим	1	4
106	ничем не	4	4
107	культурных ценностей	20	4
108	не может	17	4
109	из которых	4	4
110	в так	1	4
111	и от	5	4
112	в этих	3	4
113	что он	7	4
114	в виде	4	4
115	же как	3	3
116	из всех	5	3
117	не вполне	3	3
118	большей частью	1	3
119	если в	1	3
120	к сожалению	1	3
121	в своем	10	3
122	и как	1	3
123	в которой	5	3
124	что это	5	3
125	так или	5	3
126	и те	2	3
127	и если	6	3
128	при этом	9	3
129	европейской культуры	6	3
130	и при	6	3
131	оказывается что	5	3
132	тем не	4	3
133	если бы	8	3
134	то с	2	3
135	не менее	7	3
136	как о	1	3
137	течением времени	4	3
138	в других	1	3
139	но по	3	3
140	в народных	1	3
141	с самого	1	3
142	культуры и	9	3
143	с течением	4	3
144	на нее	2	3
145	ясно что	8	3
146	в значительной	1	3
147	того что	6	3
148	но с	2	3
149	хотя бы	4	3
150	в качестве	1	3
151	так что	5	3
152	уже не	1	3
153	что эти	2	3
154	а после	1	3
155	для него	2	3
156	культура в	2	3
157	к ним	2	3
158	случае не	1	3
159	и даже	1	3
160	или иначе	5	3
161	с ней	1	3
162	в связи	3	3
163	а так	1	3
164	с этой	3	3
165	и таким	1	3
166	в результате	9	3
167	у них	6	3
168	конце концов	4	3
169	отношению к	9	3
170	и другие	1	3
171	к этому	5	3
172	в таком	4	3
173	точно так	1	3
174	для этих	1	2
175	одним из	4	2
176	и это	3	2
177	первое время	5	2
178	смотреть на	1	2
179	надо было	1	2
180	этих частей	1	2
181	такое положение	1	2
