N	2gram	Vinokur_Vv_1	Formalny
1	и в	27	38
2	в этом	34	27
3	т е	38	26
4	может быть	24	23
5	и его	5	21
6	таким образом	19	20
7	и не	13	20
8	в самом	12	16
9	не в	8	15
10	прежде всего	8	15
11	и т	43	14
12	не может	13	14
13	в нем	13	13
14	связи с	3	13
15	но и	5	13
16	языка и	12	12
17	с тем	6	11
18	в том	31	11
19	языка как	2	11
20	вовсе не	6	11
21	с другими	1	10
22	в его	10	10
23	в связи	2	10
24	с помощью	1	10
25	не только	21	9
26	при этом	3	9
27	и с	2	9
28	как и	5	9
29	языка в	4	9
30	т п	5	9
31	на почве	5	9
32	язык как	3	8
33	самом деле	6	8
34	все же	8	8
35	точки зрения	7	8
36	так и	1	8
37	что и	3	8
38	тем что	6	8
39	в первом	5	7
40	как мы	9	7
41	лишь в	1	7
42	по себе	9	7
43	для него	1	7
44	в своей	4	7
45	с точки	2	7
46	язык и	3	7
47	во втором	2	7
48	уже не	5	7
49	этом отношении	3	7
50	не могут	5	7
51	по существу	2	7
52	слова и	1	7
53	что в	11	7
54	и ее	4	6
55	в ней	3	6
56	в истории	9	6
57	все эти	3	6
58	в этой	3	6
59	то же	8	6
60	было бы	5	6
61	в их	11	6
62	могут быть	4	6
63	в языке	1	6
64	все время	1	6
65	только в	13	6
66	как такового	2	6
67	то что	17	6
68	не было	1	6
69	вместе с	6	6
70	а не	3	6
71	как раз	4	6
72	в результате	3	6
73	истории литературы	3	6
74	хотя бы	5	6
75	а в	5	6
76	это и	1	5
77	должна быть	2	5
78	говорить о	3	5
79	во всех	2	5
80	в общем	12	5
81	т д	37	5
82	в то	5	5
83	же время	5	5
84	если бы	2	5
85	и должно	1	5
86	говорит он	2	5
87	что он	4	5
88	всяком случае	3	5
89	языка а	2	5
90	и речи	1	5
91	именно в	8	5
92	с этим	2	5
93	что же	3	5
94	в реальном	1	5
95	более того	1	5
96	и для	4	5
97	бы в	1	5
98	еще более	1	5
99	или иного	1	5
100	во всяком	3	5
101	в сущности	3	4
102	литературы и	1	4
103	что оно	2	4
104	в сторону	1	4
105	независимо от	3	4
106	как в	1	4
107	и к	1	4
108	не следует	2	4
109	в статье	1	4
110	не как	3	4
111	его от	1	4
112	как они	1	4
113	материала и	1	4
114	входит в	2	4
115	мы видели	2	4
116	не столько	2	4
117	о языке	3	4
118	как о	4	4
119	ничего не	2	4
120	к тому	4	4
121	здесь не	2	4
122	в дальнейшем	2	4
123	языке как	1	4
124	того или	1	4
125	но в	10	4
126	что не	5	4
127	из них	3	4
128	так как	13	4
129	даже и	3	4
130	в особенности	4	4
131	именно как	3	4
132	и даже	5	4
133	другой стороны	5	4
134	мы говорим	2	4
135	как бы	5	4
136	лишь как	2	4
137	совершенно не	1	4
138	оно не	1	4
139	к этому	3	4
140	они не	1	4
141	например в	2	3
142	же как	3	3
143	сам по	1	3
144	и до	2	3
145	в зависимости	1	3
146	а как	3	3
147	из всего	1	3
148	мы не	2	3
149	то это	3	3
150	зависимости от	1	3
151	и на	3	3
152	значение и	2	3
153	чем же	3	3
154	материалом для	1	3
155	как к	1	3
156	однако не	4	3
157	хотя и	3	3
158	и как	9	3
159	от этого	5	3
160	что это	3	3
161	в целом	5	3
162	из этих	5	3
163	но ведь	4	3
164	только на	3	3
165	так сказать	1	3
166	время и	1	3
167	значительной степени	1	3
168	главным образом	1	3
169	литературного языка	1	3
170	его в	6	3
171	это было	1	3
172	для них	1	3
173	он и	2	3
174	его нельзя	1	3
175	следует что	2	3
176	к предмету	1	3
177	однако и	1	3
178	произведения и	2	3
179	задачи и	1	3
180	а лишь	1	3
181	в области	4	3
182	но все	3	3
183	не есть	4	3
184	того чтобы	21	3
185	одного из	1	3
186	к действительности	2	3
187	в значительной	2	3
188	должно было	1	3
189	к нему	2	3
190	как ее	1	3
191	того что	12	3
192	в какой	4	3
193	именно на	2	3
194	мы знаем	1	3
195	слова в	1	3
196	каждый из	2	3
197	для того	21	3
198	с другой	8	3
199	и прежде	1	3
200	и др	2	3
201	а наоборот	1	3
202	не то	1	3
203	о возможности	1	3
204	быть и	2	3
205	все это	6	3
206	на самом	1	3
207	или в	1	3
208	и все	1	3
209	жизни и	2	3
210	вряд ли	2	2
211	можно говорить	1	2
212	язык может	1	2
213	в такой	1	2
214	и то	5	2
215	этом пункте	1	2
216	дело обстоит	1	2
217	науки о	9	2
218	в практическом	2	2
219	был и	1	2
220	не была	1	2
221	исследования в	1	2
222	в учении	1	2
223	этого термина	2	2
224	он был	1	2
225	в широком	7	2
226	совсем не	3	2
227	но не	7	2
228	системы языка	1	2
229	но как	2	2
230	а только	8	2
