N	3gram	Berdyaev_M_1	Narrotol
1	не только в	2	6
2	в том что	1	5
3	не может быть	17	4
4	по отношению к	2	3
5	для того чтобы	2	3
6	о том что	1	2
7	в самом деле	1	2
8	так и не	1	2
9	до сих пор	2	2
10	в отличие от	1	2
11	но и в	4	2
12	заключает в себе	3	2
13	в зависимости от	1	2
14	не только от	1	2
15	во всяком случае	1	2
16	но и от	1	2
17	что иное как	1	1
18	никогда не было	1	1
19	он не может	2	1
20	и не может	2	1
21	как и все	1	1
22	было для него	1	1
23	том случае если	1	1
24	у него нет	1	1
25	в том случае	1	1
26	может быть и	1	1
27	слова а не	1	1
28	в значительной степени	1	1
29	событие в жизни	1	1
30	потому что в	3	1
31	он уже не	2	1
32	в нем не	2	1
33	на людей и	1	1
34	и та же	1	1
35	лишь в том	1	1
36	одна и та	1	1
37	и вот я	1	1
38	а не в	4	1
39	останется для нас	1	1
40	бросается в глаза	1	1
41	не мог бы	1	1
42	на протяжении всего	1	1
43	и в самом	3	1
44	уже не только	2	1
45	но и с	1	1
46	стало быть не	1	1
