N	3gram	Voloshinov_2	Psycholo
1	в том что	6	17
2	для того чтобы	6	13
3	в самом деле	5	11
4	с точки зрения	13	10
5	не может быть	10	8
6	на то что	2	6
7	то же самое	5	6
8	на самом деле	4	5
9	до сих пор	3	5
10	в этом отношении	1	5
11	сам по себе	1	4
12	тем не менее	1	4
13	о том что	3	4
14	том что он	2	3
15	сами по себе	1	3
16	с тем что	1	3
17	никогда не может	1	3
18	само по себе	1	3
19	в конечном счете	1	3
20	в отношении к	4	3
21	той же самой	1	2
22	он не может	1	2
23	и не может	3	2
24	как и в	1	2
25	если же мы	1	2
26	тому или иному	1	2
27	и в процессе	1	2
28	по сравнению с	1	2
29	его с точки	1	2
30	все более и	2	2
31	бы то ни	4	2
32	во всяком случае	2	2
33	при этом как	1	2
34	и в том	1	2
35	таким образом в	1	2
36	то же время	8	2
37	же самое что	1	2
38	в свою очередь	5	2
39	того или иного	2	2
40	с другой стороны	1	2
41	в жизни и	1	2
42	в то же	8	2
43	более и более	2	2
44	к тому что	3	2
45	и того же	4	1
46	приводит его к	1	1
47	что иное как	1	1
48	если бы в	1	1
49	прямо сказать что	1	1
50	в данный момент	1	1
51	мы никогда не	2	1
52	и читателя и	1	1
53	что и до	1	1
54	может быть признано	1	1
55	свидетельствует о том	1	1
56	в этом случае	1	1
57	взглянуть и на	1	1
58	и как он	1	1
59	а не к	2	1
60	в таком случае	3	1
61	в зависимости от	2	1
62	он относится к	1	1
63	в отличие от	3	1
64	но и в	2	1
65	что все эти	1	1
66	не было бы	2	1
67	но он не	1	1
68	и в других	1	1
69	всяком случае все	1	1
70	и значение в	1	1
71	а с другой	1	1
72	в противном случае	2	1
73	теоретической и практической	1	1
74	находят свое выражение	1	1
75	по крайней мере	2	1
76	как если бы	4	1
77	то или иное	1	1
78	не могли бы	1	1
79	жизни и в	1	1
80	одно и то	3	1
81	то ни было	4	1
82	в узком смысле	2	1
83	чтобы убедиться в	1	1
84	приводит к тому	1	1
85	входящих в него	1	1
86	в противоречие с	1	1
87	поколения в поколение	1	1
88	лежит в основе	2	1
89	с одной стороны	3	1
90	и все его	1	1
91	и то же	3	1
92	не могут быть	1	1
93	же мы возьмем	1	1
94	в связи с	7	1
95	из поколения в	1	1
96	и в основе	1	1
97	же касается до	1	1
98	друг с другом	1	1
99	во всех своих	1	1
100	более или менее	2	1
101	то одна то	1	1
102	в русском языке	4	1
103	но только с	1	1
104	исходит из критики	1	1
105	по себе а	1	1
106	в душевной жизни	1	1
107	к тому или	1	1
108	почти исключительно в	1	1
109	в этом и	1	1
110	только на почве	2	1
111	всего того что	1	1
112	к нему и	1	1
113	с самого начала	5	1
114	его социальных функций	1	1
115	с помощью которых	1	1
116	можно сказать что	1	1
117	и следовательно по	1	1
118	одного и того	4	1
119	друг от друга	1	1
120	пролить свет на	1	1
121	не что иное	1	1
122	и не имеет	1	1
123	может быть объяснено	1	1
124	то что они	1	1
125	в высшей степени	3	1
126	но когда оно	1	1
127	одна то другая	1	1
