N	4gram	Losev_Vesc_1	Istorich
1	в то время как	1	3
2	до сих пор мы	1	2
3	по существу и по	1	1
4	это значит что она	3	1
5	и т д если	1	1
6	все новые и новые	1	1
7	в том смысле что	1	1
8	одно и то же	4	1
9	не что иное как	7	1
10	с этой точки зрения	1	1
11	то это значит что	2	1
12	и тем не менее	1	1
13	с одной стороны и	1	1
14	и с другой стороны	1	1
15	и то и другое	1	1
16	можно ли сказать что	3	1
17	и т д все	1	1
18	это не значит что	1	1
19	новые и новые формы	1	1
20	не только то что	1	1
21	есть не что иное	5	1
