N	3gram	Berdyaev_O_1	VLabPisa
1	в этом отношении	1	13
2	не может быть	2	8
3	не могут быть	2	4
4	в том что	1	4
5	о том как	1	3
6	бы и не	1	3
7	о том что	1	3
8	в другом месте	1	2
9	и не может	1	2
10	у л толстого	1	2
11	в силу чего	1	2
12	во всяком случае	1	2
13	от того что	1	2
14	для того чтобы	3	2
15	даже и в	1	1
16	бросается в глаза	1	1
17	хотя и не	1	1
18	художественном творчестве он	1	1
19	в виду не	1	1
20	человека вообще и	1	1
21	у вл соловьева	1	1
22	в самом деле	1	1
23	он говорит в	1	1
24	как и все	2	1
25	человека а не	1	1
26	но и в	2	1
27	он и не	1	1
28	то что в	1	1
29	все это вопрос	1	1
30	т е от	1	1
31	и в творчестве	1	1
32	и не быть	1	1
33	как будто бы	1	1
34	по сравнению с	1	1
35	не в том	1	1
36	а не только	1	1
37	между этими двумя	1	1
38	у него в	5	1
39	и никогда не	2	1
40	в вечном муже	1	1
41	после того как	1	1
42	в братьях карамазовых	1	1
43	что не могут	1	1
44	заключает в себе	1	1
45	говорит достоевский о	1	1
