N	3gram	Potebnia_M_1	VelikijI
1	то что мы	1	3
2	к тому что	2	3
3	а между тем	3	2
4	но и в	4	2
5	в том что	13	2
6	и т д	4	2
7	но все же	1	1
8	то ни стало	1	1
9	во что бы	1	1
10	законы по которым	1	1
11	и то и	1	1
12	нашего времени с	1	1
13	бы то ни	2	1
14	по крайней мере	2	1
15	то и другое	2	1
16	и в жизни	1	1
17	что бы то	1	1
18	его связь с	1	1
19	потому что оно	1	1
20	и в этом	6	1
21	не могут быть	2	1
22	что истина не	1	1
23	которые не могли	1	1
24	в этих словах	1	1
25	с другой стороны	5	1
26	д и т	1	1
27	в одно целое	1	1
28	так и в	3	1
29	в человеке и	1	1
30	и все это	1	1
31	его если не	1	1
32	после того как	1	1
33	оно не имеет	1	1
34	и что в	3	1
35	как и в	2	1
