N	2gram	Losev_Vesc_1	formyVre
1	и в	21	46
2	в этом	4	22
3	и т	19	14
4	прежде всего	9	14
5	вовсе не	10	13
6	и его	2	12
7	во всех	2	11
8	не только	36	11
9	только в	14	11
10	как бы	12	10
11	точки зрения	5	10
12	в том	8	10
13	но в	5	10
14	мы уже	3	9
15	не в	5	9
16	у него	2	9
17	но и	18	9
18	вместе с	1	9
19	и не	29	9
20	и для	9	9
21	то же	6	8
22	как и	8	8
23	с точки	3	8
24	для того	2	8
25	того чтобы	3	8
26	потому что	16	8
27	в его	2	8
28	из них	4	8
29	жизни и	2	8
30	всех этих	1	7
31	так и	3	7
32	вещей и	4	7
33	может быть	16	7
34	в одном	2	7
35	то что	27	7
36	как мы	4	6
37	еще не	8	6
38	все же	4	6
39	и наконец	1	6
40	при этом	1	6
41	человека в	1	6
42	и с	8	6
43	его в	2	6
44	в основе	3	6
45	никогда не	2	6
46	и во	3	6
47	так как	7	6
48	в особенности	1	6
49	все это	5	6
50	и все	5	6
51	но не	5	5
52	с этим	3	5
53	в своем	6	5
54	все эти	3	5
55	в нем	2	5
56	должно быть	6	5
57	в то	3	5
58	в дальнейшем	1	5
59	и у	3	5
60	тела и	1	5
61	в частности	1	5
62	в пределах	1	5
63	по существу	2	5
64	в смысле	12	5
65	что в	9	5
66	также и	6	4
67	человека и	1	4
68	и самое	2	4
69	и он	1	4
70	что они	6	4
71	в истории	1	4
72	уже в	1	4
73	из этих	1	4
74	в себе	14	4
75	их в	3	4
76	том что	8	4
77	в котором	3	4
78	к себе	4	4
79	с ним	8	4
80	о том	6	4
81	так что	5	4
82	конечно не	1	4
83	с другом	1	4
84	и их	7	4
85	а не	19	4
86	человеческой жизни	1	4
87	отнюдь не	5	4
88	в ряду	1	4
89	друг с	1	4
90	с этой	4	4
91	еще более	2	4
92	же в	1	4
93	жизни в	1	4
94	есть и	4	4
95	на свет	1	4
96	почти все	2	3
97	нас это	1	3
98	ему в	1	3
99	в виду	2	3
100	того же	5	3
101	слова и	5	3
102	а следовательно	2	3
103	мы еще	2	3
104	мы будем	1	3
105	точка зрения	1	3
106	отношение к	1	3
107	нет и	1	3
108	хотя и	4	3
109	и как	8	3
110	на нас	2	3
111	уже не	9	3
112	та же	1	3
113	т д	19	3
114	и по	1	3
115	уже сказали	1	3
116	таким образом	8	3
117	здесь мы	1	3
118	а затем	2	3
119	переходим к	1	3
120	самое время	1	3
121	к реальному	1	3
122	как можно	3	3
123	следовательно и	1	3
124	кроме того	4	3
125	же самое	1	3
126	к тому	3	3
127	себя и	4	3
128	на основе	1	3
129	и совершенно	1	3
130	том как	1	3
131	жизнь и	1	3
132	в другом	2	3
133	а также	1	3
134	что и	3	3
135	того что	8	3
136	тот же	3	3
137	что он	1	3
138	в качестве	1	3
139	для него	4	3
140	тем что	2	3
141	что на	2	3
142	и даже	6	3
143	и прежде	1	3
