N	2gram	Nazirov_Vr_1	VelikijI
1	и не	5	20
2	и в	8	16
3	то что	7	9
4	еще не	2	8
5	в истории	4	8
6	что они	1	7
7	к людям	1	6
8	человека и	1	6
9	не есть	1	6
10	но и	7	5
11	того что	1	5
12	хотя и	1	5
13	в мире	2	5
14	все это	4	5
15	что есть	3	5
16	как бы	4	5
17	и есть	1	4
18	говорить о	1	4
19	в его	3	4
20	и я	1	4
21	в этом	8	4
22	что он	4	4
23	потому что	1	4
24	о великом	1	4
25	в нем	6	4
26	так и	1	4
27	как и	6	4
28	в котором	6	4
29	в ней	4	4
30	и все	7	4
31	все что	1	4
32	и что	8	3
33	в чем	3	3
34	с его	3	3
35	во всех	1	3
36	в том	3	3
37	но в	6	3
38	истории человечества	1	3
39	от которого	1	3
40	в конце	3	3
41	их в	2	3
42	в своей	2	3
43	в жизни	1	3
44	в них	2	3
45	не было	5	3
46	в этих	1	3
47	нет ничего	1	3
48	что я	2	3
49	но это	2	3
50	человечества и	1	3
51	не имеет	1	3
52	никогда не	2	3
53	жизни и	1	3
54	что в	7	3
55	а между	1	2
56	и это	2	2
57	и то	2	2
58	не имел	1	2
59	у людей	1	2
60	но мы	1	2
61	верит в	1	2
62	и сам	1	2
63	с ним	4	2
64	ее и	1	2
65	и во	3	2
66	между тем	5	2
67	я думаю	1	2
68	вслед за	1	2
69	не с	1	2
70	человека как	1	2
71	уже не	2	2
72	не только	9	2
73	ненависти и	1	2
74	его и	2	2
75	для него	2	2
76	не хотел	1	2
77	для хранения	1	2
78	не могли	1	2
79	и никогда	1	2
80	тем что	3	2
81	не будет	1	2
82	так не	1	2
83	это не	4	2
84	а с	2	2
85	прежде всего	1	2
86	все равно	1	2
87	один из	1	2
88	да и	1	2
89	одна из	2	2
90	уж конечно	1	2
91	уже на	1	2
92	том что	3	2
93	тот кто	1	2
94	для нас	4	2
95	в форме	1	2
96	до того	1	2
97	людей и	1	2
98	давно уже	3	2
99	а в	2	2
100	но не	1	2
101	легенда о	1	2
102	в духе	1	2
103	могут быть	1	2
104	во всяком	1	2
105	от этой	1	1
106	речь идет	3	1
107	быть может	1	1
108	в виду	4	1
109	в ее	1	1
110	роль в	1	1
111	свое место	1	1
112	он всегда	1	1
113	имя его	1	1
114	легенду о	1	1
115	то же	5	1
116	лет назад	1	1
117	их и	1	1
118	живет в	1	1
119	б и	2	1
120	нам уже	1	1
121	что уже	1	1
122	и вообще	1	1
123	который был	3	1
124	и отвергает	1	1
125	я не	3	1
126	и ее	2	1
127	не был	1	1
128	меня в	1	1
129	в их	1	1
130	он был	3	1
131	с ненавистью	1	1
132	все в	1	1
133	к нему	1	1
134	но как	2	1
135	от них	1	1
136	и ненависти	1	1
137	если в	1	1
138	тогда как	2	1
139	бы в	1	1
140	не просто	1	1
141	крайней мере	1	1
142	и можно	1	1
143	и уж	1	1
144	его на	2	1
145	как в	1	1
146	и самые	1	1
147	в своем	3	1
148	известном смысле	1	1
149	все же	6	1
150	но с	1	1
151	ли он	1	1
152	в разные	1	1
153	в самом	1	1
154	говорил с	1	1
155	что это	1	1
156	в целом	1	1
157	в этой	2	1
158	в известном	2	1
159	вот в	1	1
160	уже в	4	1
161	тем чтобы	1	1
162	о которой	2	1
163	теперь это	1	1
164	искать в	1	1
165	чем у	1	1
166	отношение к	2	1
167	нашего времени	2	1
168	у него	5	1
169	человека в	3	1
170	на нее	1	1
171	из ненависти	1	1
172	праве любить	1	1
173	конечно в	1	1
174	и с	6	1
175	тогда это	1	1
176	было не	1	1
177	с другой	1	1
178	в глазах	2	1
179	близок к	1	1
180	души и	1	1
181	говорит о	1	1
182	эта попытка	1	1
183	был в	1	1
184	у человека	1	1
185	не всегда	1	1
186	и уже	3	1
187	с которым	2	1
188	о чем	2	1
189	в речах	1	1
190	в великом	1	1
191	него в	1	1
192	вместе с	2	1
193	так же	4	1
194	ко всем	1	1
195	человека к	1	1
196	этому же	1	1
197	неверие в	1	1
198	что тот	1	1
199	несравненно более	1	1
200	в одном	1	1
201	но я	1	1
202	по крайней	1	1
203	есть еще	1	1
204	презрения к	1	1
205	еще к	1	1
206	раз и	1	1
207	с любовью	1	1
208	людей а	1	1
209	равно не	1	1
210	к ним	2	1
211	обратился к	1	1
212	и от	1	1
213	достоевский имел	1	1
214	нельзя не	1	1
215	это как	1	1
216	ничего не	1	1
217	человек и	1	1
218	того как	1	1
219	христа и	1	1
220	может быть	4	1
221	конце концов	1	1
222	более всего	1	1
223	во всем	1	1
224	это слово	1	1
225	можно признать	1	1
226	но вот	1	1
227	о своем	1	1
228	другой стороны	1	1
229	и дал	1	1
230	к этому	3	1
231	его с	2	1
232	я вижу	1	1
233	в своих	4	1
234	в процессе	1	1
235	это в	2	1
236	они не	1	1
