N	3gram	Savitsky_P_1	KulturaY
1	для того чтобы	1	15
2	в том что	4	15
3	и т д	1	14
4	с точки зрения	3	9
5	с другой стороны	1	6
6	во всяком случае	1	5
7	не в том	1	4
8	более или менее	1	3
9	в этом смысле	1	3
10	вместе с тем	1	3
11	не может быть	1	3
12	чуть ли не	1	2
13	и есть в	1	2
14	условия в которых	1	2
15	то же время	7	2
16	заключается в том	2	2
17	хотя бы и	1	2
18	в то же	7	2
19	сводится к следующему	1	1
20	в том виде	1	1
21	что в этом	1	1
22	можно рассматривать с	1	1
23	в настоящее время	1	1
24	во многих случаях	1	1
25	с одной стороны	3	1
26	что с точки	1	1
27	в сопоставлении с	1	1
28	том виде какой	1	1
29	и в то	2	1
30	сами по себе	3	1
31	можно говорить о	1	1
32	в отличие от	1	1
33	с тем чтобы	1	1
34	в собственном смысле	1	1
35	в применении к	1	1
36	вопрос об отношении	1	1
37	не только в	4	1
38	в противоречии с	1	1
39	в одно и	1	1
40	главным образом на	1	1
41	та или иная	1	1
42	было бы неправильно	1	1
43	само по себе	1	1
44	так же как	1	1
45	как бы часть	1	1
46	т д не	1	1
47	в которую мы	1	1
48	и если бы	2	1
49	и тем самым	1	1
50	то что его	1	1
51	тем более что	1	1
52	в большинстве случаев	1	1
53	тот или иной	1	1
