N	2gram	Voloshinov_1	Komedia
1	и в	15	26
2	в г	3	17
3	и не	16	14
4	так и	10	12
5	к тому	4	12
6	и его	15	12
7	в том	4	11
8	может быть	13	11
9	на протяжении	5	10
10	но и	4	10
11	в этом	13	10
12	вместе с	4	9
13	что в	6	9
14	молодой человек	1	9
15	если бы	3	9
16	том что	5	9
17	ясно что	1	8
18	было бы	6	8
19	что и	2	7
20	и на	3	7
21	на себя	2	7
22	не только	5	7
23	из них	1	7
24	и здесь	1	6
25	еще не	7	6
26	таким образом	21	6
27	в двух	1	6
28	в нем	4	6
29	того чтобы	2	6
30	потому что	4	6
31	то что	10	6
32	в то	6	6
33	во время	5	6
34	о том	1	6
35	в своем	2	6
36	и с	7	5
37	независимо от	1	5
38	к этому	7	5
39	а затем	1	5
40	в качестве	2	5
41	с этим	6	5
42	для того	1	5
43	ни в	6	5
44	один из	4	5
45	в истории	3	5
46	на основании	2	5
47	с его	8	5
48	что он	8	5
49	в которой	1	5
50	все же	5	4
51	как и	6	4
52	точки зрения	13	4
53	прежде всего	11	4
54	и для	2	4
55	не менее	3	4
56	что это	3	4
57	как это	1	4
58	в руках	1	4
59	его в	8	4
60	одной из	1	4
61	и от	1	4
62	в начале	1	4
63	между тем	2	4
64	в его	9	4
65	в этих	2	4
66	еще в	1	4
67	как мы	10	4
68	из этих	4	4
69	хотя и	1	4
70	это было	1	4
71	с их	3	4
72	у него	3	4
73	тому что	3	4
74	в самом	6	4
75	и новой	1	4
76	на этот	1	4
77	только в	6	4
78	уже в	1	4
79	как будто	1	4
80	мира в	1	4
81	в целом	2	4
82	так как	9	4
83	для всех	2	3
84	же время	5	3
85	в поле	1	3
86	тех же	1	3
87	или в	1	3
88	жизни и	5	3
89	того же	1	3
90	человека в	3	3
91	а у	1	3
92	не может	13	3
93	даже не	1	3
94	то время	1	3
95	отношению к	9	3
96	не было	4	3
97	друг другу	1	3
98	что его	1	3
99	мы найдем	1	3
100	в период	5	3
101	к нему	7	3
102	в своей	9	3
103	во всех	8	3
104	а в	6	3
105	ответ на	2	3
106	но все	2	3
107	как он	1	3
108	но не	5	3
109	например в	1	3
110	здесь в	1	3
111	но если	2	3
112	то же	7	3
113	по всему	2	3
114	но в	9	3
115	по отношению	11	3
116	интерес к	1	3
117	что на	1	3
118	и поэтому	1	3
119	той же	2	3
120	по поводу	2	3
121	в котором	1	3
122	в этой	5	3
123	тем что	1	3
124	мы можем	12	3
125	все это	5	3
126	вопрос о	1	3
127	нашего века	1	3
128	себя в	2	3
129	в ней	5	3
130	и особенно	1	3
131	как в	3	3
132	связи с	1	3
133	так называемой	1	3
134	обеих сторон	1	3
135	мы знаем	7	3
136	что по	1	2
137	одним из	3	2
138	вовсе не	2	2
139	бы в	2	2
140	во всяком	4	2
141	все время	4	2
142	от всех	1	2
143	из этого	2	2
144	бы то	1	2
145	от этого	1	2
146	одна из	3	2
147	в один	1	2
148	на это	1	2
149	и ее	3	2
150	после того	1	2
151	и все	4	2
152	наконец в	1	2
153	сих пор	3	2
154	в какой	1	2
155	не в	4	2
156	и во	1	2
157	даже в	1	2
158	хотя бы	7	2
159	мы не	4	2
160	и другие	2	2
161	до сих	3	2
162	в голову	3	2
163	в другой	1	2
164	об этом	4	2
165	в течение	2	2
166	бы и	2	2
167	в одном	3	2
168	в нашем	3	2
169	одно из	3	2
170	не более	1	2
171	мы находим	1	2
172	то это	1	2
173	философии и	1	2
174	общей форме	1	2
175	в ее	4	2
176	отношение к	7	2
177	не является	3	2
178	похож на	1	2
179	то ни	1	2
180	и т	1	2
181	связанных с	4	2
182	это не	2	2
183	и к	7	2
184	которые в	1	2
185	теперь в	1	2
186	в пользу	1	2
187	не говоря	1	2
188	современной ему	1	2
189	к его	1	2
190	за собой	1	2
191	отнюдь не	2	2
192	тот же	5	2
193	с которыми	2	2
194	и это	1	2
195	в одной	2	2
196	и есть	2	2
197	еще более	2	2
198	сказать о	1	2
199	отличие от	1	2
200	нет и	1	2
201	всяком случае	3	2
202	он был	3	2
203	своего отца	1	2
204	в первом	2	2
205	так называемых	1	2
206	и за	2	2
207	мы имеем	1	2
208	со стороны	2	2
209	в философии	1	2
210	по своему	1	2
211	с ними	4	2
212	не всегда	4	2
213	одной стороны	1	2
214	только потому	1	2
215	и тех	2	2
216	этом же	1	2
217	с одной	1	2
218	в отличие	1	2
219	в мире	1	2
220	у других	1	2
221	три года	2	2
222	и что	3	2
223	с собой	1	2
224	а из	1	2
225	он не	4	2
226	все больше	1	2
227	для их	1	2
228	на этом	5	2
229	роль в	6	2
230	от того	3	2
231	его собственный	1	2
232	и хотя	1	2
233	время как	1	2
234	с другой	1	2
235	однако в	1	2
236	в развитии	4	2
237	с самого	7	2
238	римской империи	1	2
239	также в	1	2
240	и у	6	2
241	в следующем	1	2
242	чем в	1	2
243	не следует	2	2
244	что она	2	2
245	жизни так	3	2
246	ведь мы	2	2
247	в виду	1	2
248	рядом с	2	2
249	как бы	11	2
250	этому времени	2	2
251	в свои	1	1
252	то мы	1	1
253	все эти	9	1
254	о которых	1	1
255	материал для	2	1
256	любовь к	1	1
257	примеров этого	1	1
258	без труда	1	1
259	в искусстве	3	1
260	и этот	1	1
261	главным образом	4	1
262	не отражает	1	1
263	со своим	1	1
264	ее объектом	2	1
265	в себе	4	1
266	более серьезной	1	1
267	нуждается в	2	1
268	характерные для	1	1
269	приводит к	2	1
270	сыном или	1	1
271	очень много	1	1
272	по сравнению	1	1
273	сравнению с	1	1
274	наше время	1	1
275	исходя из	1	1
276	на себе	1	1
277	к той	1	1
278	в другом	1	1
279	г во	1	1
280	из области	1	1
281	именно ему	1	1
282	в собственном	2	1
283	по смыслу	1	1
284	же это	1	1
285	с нею	1	1
286	только как	1	1
287	можем сказать	2	1
288	и самый	1	1
289	говорит о	1	1
290	представление об	1	1
291	и ни	1	1
292	его с	1	1
293	представители этого	1	1
294	в состоянии	2	1
295	приобщиться к	1	1
296	в разных	1	1
297	так же	1	1
298	ко всему	2	1
299	равно как	1	1
300	предположить что	1	1
301	на которые	1	1
302	мире у	1	1
303	как на	3	1
304	не был	1	1
305	быть даже	1	1
306	и является	1	1
307	годов нашего	1	1
308	и другой	1	1
309	это как	3	1
310	этого периода	6	1
311	но всегда	1	1
312	думать что	2	1
313	жизни от	1	1
314	все тот	2	1
315	служит для	1	1
316	и чрезвычайно	1	1
317	самого конца	1	1
318	в каком	3	1
319	из таких	1	1
320	на ее	1	1
321	бы он	3	1
322	гораздо более	1	1
323	связь с	4	1
324	они могут	1	1
325	находясь в	1	1
326	к ее	1	1
327	или еще	1	1
328	значение для	2	1
329	в жизни	5	1
330	память о	1	1
331	категории к	1	1
332	пришли к	1	1
333	то обстоятельство	1	1
334	в сознании	3	1
335	в большинстве	4	1
336	реальной жизни	1	1
337	три периода	4	1
338	ним в	1	1
339	один пример	1	1
340	образом и	1	1
341	было в	1	1
342	слов или	1	1
343	и теперь	1	1
344	но мы	2	1
345	с помощью	9	1
346	к которому	1	1
347	почему так	1	1
348	не укладывается	1	1
349	это дает	1	1
350	второй половине	1	1
351	углу комнаты	1	1
352	не знает	3	1
353	человека с	2	1
354	то и	1	1
355	та же	1	1
356	таким путем	2	1
357	как раз	2	1
358	там же	1	1
359	чтобы с	1	1
360	только его	1	1
361	случае в	2	1
362	г в	1	1
363	это уже	1	1
364	становится ясным	1	1
365	которой он	2	1
366	жизнь в	1	1
367	еще одно	1	1
368	в знаменитом	1	1
369	правда в	2	1
370	ведь он	1	1
371	конкретным материалом	1	1
372	собой в	1	1
373	в эту	2	1
374	заинтересованность и	1	1
375	о связи	1	1
376	даже если	1	1
377	культуры эти	1	1
378	там и	1	1
379	себя на	1	1
380	или по	1	1
381	сводится к	3	1
382	целом ряде	1	1
383	и признание	1	1
