N	3gram	Tiupa_Disk_1	FransuaR
1	в xvii веке	1	10
2	в то же	3	6
3	то же время	4	6
4	с точки зрения	1	5
5	не только в	2	5
6	до сих пор	1	4
7	не может быть	3	4
8	в этом отношении	1	3
9	в xix веке	1	3
10	с одной стороны	9	3
11	в большей или	1	3
12	или меньшей степени	1	3
13	в свое время	1	3
14	о том что	5	3
15	большей или меньшей	2	3
16	с другой стороны	3	3
17	можно сказать что	2	2
18	в последующие века	1	2
19	только то что	1	2
20	до наших дней	1	2
21	в значительной степени	2	2
22	содержит в себе	1	2
23	и в то	1	2
24	во всяком случае	1	2
25	там же с	1	2
26	но все же	1	2
27	как мы видели	1	2
28	подобно тому как	2	2
29	точка зрения на	1	1
30	только потому что	1	1
31	потому что в	1	1
32	прежде всего в	1	1
33	дело в том	1	1
34	своего значения и	1	1
35	по отношению к	9	1
36	в этом последнем	1	1
37	громадное значение в	1	1
38	также и в	1	1
39	дошли до нас	1	1
40	то есть к	1	1
41	к однозначности и	1	1
42	одной стороны и	2	1
43	тех случаях когда	1	1
44	илиада и одиссея	1	1
45	в одной из	2	1
46	и не может	1	1
47	до известной степени	1	1
48	в первую очередь	1	1
49	к тому или	1	1
50	значение в истории	1	1
51	что в них	1	1
52	точкой зрения на	1	1
53	для своего времени	1	1
54	в том чтобы	2	1
55	далеко не всегда	1	1
56	прежде всего как	1	1
57	это прежде всего	3	1
58	и в особенности	2	1
59	он направлен на	1	1
60	один из наиболее	1	1
61	так и в	1	1
62	в строгом смысле	1	1
63	лично для себя	1	1
64	в целом ряде	1	1
65	и эти жанры	1	1
66	именно в том	1	1
67	стороны и к	1	1
68	в тех случаях	1	1
69	того или иного	1	1
70	но исключительно в	1	1
71	в наше время	2	1
72	во все сферы	1	1
73	на ранних стадиях	1	1
74	в этом случае	1	1
75	на самом деле	1	1
76	и прежде всего	1	1
77	или во всяком	1	1
78	в новое время	1	1
79	на то что	1	1
80	существенную роль в	3	1
81	в большинстве случаев	1	1
82	лишь в тех	1	1
83	во всех его	1	1
84	в том что	13	1
85	как и в	1	1
86	то есть в	2	1
