N	2gram	Medvedev_V_1	UchenyiS
1	и в	2	14
2	и не	1	8
3	в этом	1	7
4	то же	1	5
5	и только	1	5
6	все это	1	5
7	хотя бы	1	5
8	в их	1	4
9	и то	1	3
10	в частности	1	3
11	и т.д	1	3
12	крайней мере	1	2
13	самом деле	1	2
14	вся работа	1	2
15	том что	2	2
16	сводится к	1	2
17	говоря иначе	1	2
18	в шкловский	2	2
19	по крайней	1	2
20	по существу	1	2
21	более чем	1	2
22	конце концов	2	2
23	но это	1	2
24	в том	2	2
25	в шкловского	5	2
26	в самом	1	2
27	только в	1	2
28	в конце	2	2
29	поэтических школ	1	1
30	даже не	1	1
31	материалов и	1	1
32	к созданию	1	1
33	словесных материалов	1	1
34	обработки словесных	1	1
35	расположению образов	1	1
36	частности гораздо	1	1
37	формализма в	1	1
38	один пример	1	1
39	к накоплению	1	1
40	в значительной	1	1
41	павел медведев	1	1
42	чем к	1	1
43	а.н веселовского	2	1
44	созданию их	1	1
45	в которых	1	1
46	ничуть не	1	1
47	образов чем	1	1
48	и обработки	1	1
49	впрочем не	1	1
50	к расположению	1	1
51	и выявлению	1	1
52	связаны и	1	1
53	работа поэтических	1	1
54	тем более	1	1
55	новых приемов	1	1
56	далеко не	1	1
57	шкловского в	1	1
58	расположения и	1	1
59	приемов расположения	1	1
60	выявлению новых	1	1
61	накоплению и	1	1
62	к этому	1	1
