N	2gram	Tiupa_Disk_1	Freidism
1	таким образом	3	24
2	и не	11	23
3	не может	9	20
4	точки зрения	3	19
5	прежде всего	11	18
6	в его	7	15
7	в этом	15	15
8	с помощью	1	14
9	мы можем	1	13
10	может быть	17	13
11	и его	2	12
12	как и	16	11
13	с точки	1	11
14	то что	5	11
15	как бы	5	11
16	как мы	2	10
17	так и	8	10
18	и потому	3	10
19	но в	8	10
20	самом деле	1	10
21	во всех	5	9
22	и в	16	9
23	по отношению	9	9
24	с его	4	9
25	еще не	14	8
26	отношению к	9	8
27	и все	2	8
28	в своей	5	8
29	то же	7	8
30	он не	1	8
31	только в	7	8
32	не только	28	8
33	что он	4	8
34	во всяком	2	7
35	к нему	1	7
36	те же	1	7
37	что же	2	7
38	отношение к	4	7
39	мы видели	1	7
40	сказать что	3	7
41	один из	3	7
42	всяком случае	1	7
43	в самом	3	7
44	хотя бы	3	6
45	для него	4	6
46	того что	3	6
47	никогда не	2	6
48	за пределы	2	6
49	так сказать	2	6
50	и ее	2	6
51	на протяжении	2	6
52	можно сказать	5	5
53	в период	1	5
54	в этой	2	5
55	что в	4	5
56	в большинстве	1	5
57	не в	7	5
58	а в	5	5
59	мы должны	1	5
60	он сам	1	5
61	в себя	5	5
62	на самом	1	5
63	но и	14	5
64	могут быть	4	5
65	что такое	1	5
66	в чем	1	5
67	с этим	3	5
68	по мнению	1	5
69	и на	5	5
70	в то	3	5
71	и прежде	1	5
72	и к	4	5
73	в каком	1	5
74	большинстве случаев	1	5
75	в свою	3	5
76	в которой	1	4
77	сводится к	5	4
78	все же	3	4
79	же время	4	4
80	данном случае	2	4
81	говорить о	1	4
82	при этом	13	4
83	не было	7	4
84	не менее	2	4
85	в жизни	1	4
86	как раз	1	4
87	в нем	9	4
88	мы не	1	4
89	потому что	4	4
90	но не	11	4
91	всех этих	1	4
92	в следующей	1	4
93	в этих	1	4
94	из этих	1	4
95	с другими	1	4
96	и о	4	4
97	характер и	2	4
98	той же	1	4
