N	2gram	Vinokur_Ku_2	NovoeSre
1	а не	10	17
2	и в	23	16
3	не может	9	16
4	и не	16	11
5	и есть	2	10
6	в эпоху	1	9
7	что в	10	9
8	как не	3	8
9	в том	19	8
10	он не	3	8
11	в этом	18	7
12	может быть	15	7
13	не будет	1	7
14	как и	2	7
15	с его	1	6
16	не в	8	6
17	ни в	4	6
18	никогда не	2	6
19	лишь в	5	6
20	но это	3	6
21	не знает	3	6
22	должен быть	5	5
23	с ее	1	5
24	в ней	3	5
25	и к	1	5
26	не только	20	5
27	все это	5	5
28	в нем	4	5
29	большую роль	1	4
30	быть может	1	4
31	о том	1	4
32	наше время	2	4
33	эпохи и	1	4
34	перестает быть	1	4
35	в них	4	4
36	то что	9	4
37	это не	6	4
38	прежде всего	8	4
39	не было	4	4
40	должно быть	4	4
41	и потому	2	4
42	по своему	1	4
43	значит что	1	4
44	не менее	7	4
45	и для	2	4
46	не имеет	4	4
47	и все	2	4
48	потому что	25	4
49	наши дни	1	3
50	с другой	8	3
51	смысле слова	2	3
52	в ее	1	3
53	должна быть	5	3
54	вопрос о	9	3
55	еще не	5	3
56	лицом к	1	3
57	наряду с	1	3
58	как в	3	3
59	конечно не	2	3
60	не значит	1	3
61	к ним	1	3
62	но и	7	3
63	не есть	1	3
64	и пр	8	3
65	с тем	2	3
66	в своей	2	3
67	она не	2	3
68	что такое	3	3
69	в наше	2	3
70	революции и	2	3
71	к тому	4	3
72	в наши	1	3
73	сказать что	4	3
74	и это	3	2
75	же как	2	2
76	это и	3	2
77	время как	1	2
78	роль в	2	2
79	ведь и	1	2
80	можно было	9	2
81	так и	4	2
82	мы не	1	2
83	и с	7	2
84	для этого	3	2
85	я не	5	2
86	вот почему	3	2
87	и что	8	2
88	и на	6	2
89	на протяжении	1	2
90	но не	6	2
91	с этим	3	2
92	помнить что	1	2
93	ни к	15	2
94	хотя и	4	2
95	это представляется	1	2
96	но в	11	2
97	все эти	12	2
98	с одной	2	2
99	есть в	3	2
100	в себе	1	2
101	уже не	8	2
102	в употреблении	1	2
103	может уже	1	2
104	не могла	1	2
105	и революции	1	2
106	том чтобы	1	2
107	у него	3	2
108	что она	3	2
109	в одну	2	2
110	что все	5	2
111	нет и	1	2
112	и даже	2	2
113	этом смысле	5	2
114	и творчества	1	2
115	и было	1	2
116	но я	1	2
117	том что	11	2
118	вместе с	5	2
119	так же	4	2
120	я уже	1	2
121	мы говорим	2	2
122	место в	1	2
123	одной стороны	1	2
124	такого рода	1	2
125	другой стороны	7	2
126	по существу	5	2
127	том и	1	2
128	xviii века	1	2
129	ни одна	1	2
130	как будто	2	2
131	войны и	1	2
132	как это	5	2
133	такой же	1	2
134	но для	3	2
135	в то	4	2
136	одна из	1	2
137	того чтобы	11	2
138	и от	2	2
139	в русском	10	2
140	хотя бы	9	2
141	все они	2	2
142	а в	3	2
143	ли это	2	2
144	когда мы	1	2
145	могут быть	4	2
146	также что	2	1
147	не хочу	2	1
148	становится в	1	1
149	он может	1	1
150	только потому	8	1
151	характер и	2	1
152	было то	1	1
153	не политический	1	1
154	способ выражения	1	1
155	что само	2	1
156	он требует	1	1
157	глубже то	1	1
158	по преимуществу	2	1
159	приводит к	5	1
160	и до	2	1
161	на западе	1	1
162	слова а	1	1
163	природе своей	1	1
164	мы уже	1	1
165	учит нас	1	1
166	не с	1	1
167	и которые	1	1
168	по природе	1	1
169	во многом	1	1
170	вопрос этот	2	1
171	к тем	1	1
172	споров о	1	1
173	можно сказать	4	1
174	говорить о	4	1
175	оно есть	1	1
176	под этим	2	1
177	не был	1	1
178	в виду	3	1
179	зависимости от	5	1
180	жизни это	1	1
181	это я	1	1
182	с большим	1	1
183	есть вместе	2	1
184	это время	1	1
185	думаю что	2	1
186	нужно будет	1	1
187	на них	1	1
188	теперь и	1	1
189	на их	1	1
190	в чем	1	1
191	я пытаюсь	2	1
192	партии и	2	1
193	не могут	5	1
194	своего рода	4	1
195	к нему	2	1
196	россии и	1	1
197	то он	1	1
198	понять что	2	1
199	вопросу о	3	1
200	есть своя	1	1
201	коммунизм и	1	1
202	переходит в	1	1
