N	2gram	Tiupa_Narr_1	ViktorSh
1	в книге	1	3
2	и в	11	2
3	том что	7	2
4	в том	8	2
5	в конце	2	2
6	и только	2	1
7	крайней мере	1	1
8	тем более	1	1
9	здесь достаточно	1	1
10	в другом	1	1
11	хотя бы	2	1
12	и не	23	1
13	все время	1	1
14	и его	10	1
15	потому что	5	1
16	даже не	1	1
17	сводится к	3	1
18	и то	3	1
19	самом деле	3	1
20	и т.д	6	1
21	все это	1	1
22	от других	1	1
23	по поводу	1	1
24	значит и	1	1
25	именно в	3	1
26	главным образом	1	1
27	этом и	4	1
28	по своим	2	1
29	в их	1	1
30	собственно и	1	1
31	их как	1	1
32	дело в	2	1
33	в частности	14	1
34	так в	4	1
35	речи и	1	1
36	одно и	2	1
37	столь же	5	1
38	говоря о	1	1
39	в которых	1	1
40	в значительной	1	1
41	в самом	6	1
42	для них	2	1
43	только в	12	1
44	то же	8	1
45	ясно что	1	1
46	так как	1	1
47	далеко не	1	1
48	и составляет	2	1
49	что слово	1	1
50	к чему	3	1
51	но это	1	1
52	в этом	12	1
53	да и	2	1
54	по крайней	1	1
55	а только	1	1
56	на одном	1	1
57	сколь и	1	1
58	то я	1	1
59	к этому	1	1
60	значительной степени	1	1
