N	2gram	Nazirov_Tr_1	Mirosoze
1	и в	18	46
2	у достоевского	5	34
3	в нем	4	22
4	у него	6	22
5	может быть	7	21
6	в этом	9	20
7	не только	8	18
8	и не	7	18
9	никогда не	2	18
10	для него	3	18
11	но и	4	15
12	не может	5	15
13	как и	5	13
14	ведет к	1	13
15	иван карамазов	1	13
16	а не	1	13
17	не есть	1	13
18	друг друга	2	12
19	прежде всего	4	12
20	потому что	2	12
21	и он	3	11
22	не было	1	11
23	но он	1	11
24	в ней	1	11
25	но в	6	10
26	в себе	4	10
27	он не	2	10
28	он был	2	9
29	не в	2	9
30	и есть	1	8
31	отношение к	2	8
32	и достоевский	1	8
33	в своем	3	8
34	на земле	1	8
35	любовь к	1	8
36	она не	1	8
37	как бы	7	8
38	но это	4	8
39	для достоевского	2	8
40	человека и	1	7
41	ивана карамазова	2	7
42	в мире	3	7
43	как в	3	7
44	в этой	4	7
45	человек не	1	7
46	человеческой личности	2	7
47	хотя бы	1	7
48	и потому	1	7
49	что он	6	7
50	вопрос о	2	6
51	что это	5	6
52	в бесах	9	6
53	он сам	7	6
54	и здесь	2	6
55	доходит до	1	6
56	так же	4	6
57	того что	1	6
58	то же	5	5
59	я не	4	5
60	не способен	1	5
61	в самом	2	5
62	бы и	2	5
63	и вот	1	5
64	что она	2	5
65	что все	2	5
66	в своей	1	5
67	в конце	3	5
68	достоевский не	4	5
69	во всем	1	5
70	и его	6	5
71	к тому	2	5
72	и это	2	5
73	достоевского к	1	5
74	добра и	1	5
75	это не	5	5
76	один из	3	5
77	в его	3	5
78	него нет	1	5
79	то что	4	5
80	тот кто	1	5
81	и все	4	5
82	в духе	1	5
83	мысль что	1	4
84	с его	2	4
85	на деле	1	4
86	чем у	1	4
87	петр верховенский	7	4
88	нет в	2	4
89	том что	4	4
90	жизнь и	3	4
91	настасья филипповна	2	4
92	тому что	1	4
93	не имеет	2	4
94	того чтобы	1	4
95	перед ним	1	4
96	так и	5	4
97	ума и	1	4
98	в русском	2	4
99	и женщины	1	4
100	уже не	2	4
101	что и	2	4
102	до конца	2	4
103	т е	1	4
104	в бога	1	4
105	что в	4	4
106	чтобы не	1	3
107	это и	1	3
108	высшей степени	1	3
109	той же	1	3
110	начала в	1	3
111	и на	7	3
112	в чем	1	3
113	достоевского не	1	3
114	со злом	1	3
115	он в	1	3
116	как он	1	3
117	и она	1	3
118	душу и	1	3
119	страдания и	1	3
120	в россии	1	3
121	и с	7	3
122	на все	1	3
123	его в	2	3
124	мира сего	1	3
125	ни в	2	3
126	в них	1	3
127	он же	1	3
128	в высшей	1	3
129	всю жизнь	1	3
130	для чего	1	3
131	не мог	2	3
132	в такой	1	3
133	сам достоевский	3	3
134	не для	1	3
135	любви и	2	3
136	того как	1	3
137	и всегда	1	3
138	по своей	1	3
139	достоевский в	7	3
140	достоевским в	2	3
141	в трагедии	1	3
142	в образе	6	3
143	было в	2	3
144	ничего подобного	1	3
145	с ним	3	3
146	и должно	1	3
147	о том	2	3
148	в том	2	3
149	только в	1	3
150	есть в	1	3
151	не так	2	3
152	но достоевский	4	3
153	он любит	1	3
154	тем что	2	3
155	с другим	1	3
156	с которым	1	3
157	настасью филипповну	1	3
158	не знал	1	3
159	жизни в	1	3
160	и от	1	3
161	есть и	1	3
162	я и	1	2
163	любовь в	1	2
164	он считает	1	2
165	сам по	1	2
166	достоевского в	3	2
167	поэтому он	1	2
168	и за	2	2
169	в сфере	1	2
170	из подполья	1	2
171	не был	2	2
172	во всех	1	2
173	более чем	1	2
174	в центре	1	2
175	человеческая личность	1	2
176	говорит что	2	2
177	добро и	1	2
178	то в	1	2
179	в которой	1	2
180	средство для	1	2
181	бы не	1	2
182	если он	1	2
183	в братьях	1	2
184	и если	1	2
185	не к	1	2
186	на этом	1	2
187	с собой	1	2
188	лишь в	1	2
189	достоевского и	1	2
190	а за	1	2
191	должно быть	3	2
192	смердяков и	1	2
193	но эта	2	2
194	него была	1	2
195	идеи не	1	2
196	ничего не	2	2
197	к ней	1	2
198	связи с	1	2
199	в бунте	1	2
200	как будто	3	2
201	к себе	1	2
202	людей в	1	2
203	мысль о	1	2
204	можно было	1	2
205	еще в	2	2
206	в последней	1	2
207	быть может	1	2
208	после того	1	2
209	по себе	1	2
210	вот почему	1	2
211	и что	4	2
212	к нему	3	2
213	все время	1	2
214	мы видим	1	2
215	я даже	1	2
216	между тем	1	2
217	так что	2	2
218	ставрогина к	2	2
219	уже в	3	2
220	братьях карамазовых	1	2
221	не случайно	2	2
222	любит и	1	2
223	он понял	1	2
224	как у	2	2
225	что не	1	2
226	– в	1	2
227	личности и	2	2
228	вместе с	1	2
229	в человеке	1	2
230	что за	3	2
231	понял что	1	2
232	и зло	1	2
233	его собственная	1	2
234	его с	1	2
235	бы в	1	2
236	но этот	1	2
237	это была	1	2
238	и эта	1	2
239	обращается в	1	1
240	что наконец	1	1
241	и то	2	1
242	самом деле	1	1
243	из самых	2	1
244	в мыслях	1	1
245	проникает в	1	1
246	великой идеи	1	1
247	должна быть	1	1
248	со своей	1	1
249	достоевский считал	1	1
250	петра верховенского	17	1
251	для достижения	1	1
252	х годов	1	1
253	и ее	2	1
254	по замыслу	2	1
255	подобного нет	1	1
256	на них	1	1
257	быть в	1	1
258	в преступлении	2	1
259	значение и	1	1
260	с отцом	1	1
261	такой силой	1	1
262	друга и	1	1
263	за пределы	1	1
264	но без	1	1
265	отвечает ему	2	1
266	он перестает	1	1
267	все герои	1	1
268	романах достоевского	2	1
269	это был	2	1
270	и как	3	1
271	не быть	1	1
272	отказывается от	2	1
273	в целом	4	1
274	что достоевский	4	1
275	все эти	3	1
276	право на	1	1
277	только один	1	1
278	ответом на	1	1
279	в записках	2	1
280	на западе	1	1
281	перестает быть	1	1
282	над которым	1	1
283	что нужно	1	1
284	себе ее	1	1
285	не могли	1	1
286	у рогожина	1	1
287	еще сохраняется	1	1
288	страстное и	1	1
289	но все	2	1
290	же не	1	1
291	в другом	1	1
292	об этом	4	1
293	говорил что	1	1
294	которым все	1	1
295	он есть	1	1
296	отца и	2	1
297	я все	2	1
298	начала и	1	1
299	самостоятельное значение	1	1
300	из первых	1	1
301	достоевский и	1	1
302	этого не	1	1
303	с тем	2	1
304	эту тему	1	1
305	которой он	1	1
306	с такой	1	1
307	в развитии	1	1
308	человека мы	1	1
309	то есть?	1	1
310	на себя	1	1
311	же я	1	1
312	он сказал	1	1
313	перед собой	1	1
314	достоевского но	1	1
315	но я	1	1
316	но если	1	1
317	замыслу достоевского	2	1
318	эта тема	1	1
319	во времена	1	1
320	в котором	1	1
321	идеи но	1	1
322	человеком и	1	1
323	к одному	1	1
324	понимал что	1	1
325	своего рода	3	1
326	о загробной	1	1
327	должны были	1	1
328	значение для	1	1
329	стало быть	1	1
330	одном из	2	1
331	отцом и	2	1
332	в ставрогине	1	1
333	и тайны	1	1
334	теперь я	1	1
335	человека перед	2	1
336	не встречает	1	1
337	но они	2	1
338	это чувство	1	1
339	достоевский сам	1	1
340	этими двумя	2	1
341	словами о	1	1
342	не любил	1	1
