N	3gram	Losev_Vesc_1	VelikijI
1	не верят в	1	3
2	то что мы	2	3
3	к тому что	2	3
4	на нас и	1	2
5	то что я	2	2
6	не будет уже	1	2
7	в нем нет	1	2
8	в том что	4	2
9	и т д	19	2
10	для него не	1	1
11	есть один из	1	1
12	и во всяком	1	1
13	есть прежде всего	2	1
14	т д и	5	1
15	да и то	1	1
16	и есть то	2	1
17	и то и	1	1
18	как объективную реальность	1	1
19	бы то ни	4	1
20	если оно не	1	1
21	и можно ли	1	1
22	по крайней мере	4	1
23	то и другое	4	1
24	вместе с тем	1	1
25	есть то что	4	1
26	но может ли	1	1
27	у нас это	1	1
28	так как она	1	1
29	в конце концов	2	1
30	это одна из	1	1
31	хотя и эта	1	1
32	уже и не	1	1
33	с другой стороны	2	1
34	в истории и	1	1
35	по сравнению с	6	1
36	д и т	5	1
37	в одно целое	1	1
38	есть еще и	2	1
39	мы видим что	1	1
