N	3gram	Berdyaev_M_1	Istorich
1	в иной мир	2	6
2	вместе с тем	5	6
3	о том что	1	4
4	для того чтобы	2	3
5	не может быть	17	3
6	на том что	1	2
7	он живет в	2	2
8	в ином мире	1	2
9	тем что он	2	2
10	но это не	1	2
11	что и в	1	2
12	это значит что	3	2
13	в том что	1	2
14	он не может	2	2
15	по отношению к	2	2
16	не потому ли	1	2
17	в свою противоположность	2	2
18	не только в	2	2
19	и вместе с	4	2
20	но и в	4	2
21	до сих пор	2	2
22	потому что он	1	2
23	не только для	1	1
24	то мы имеем	1	1
25	он не только	2	1
26	мы увидим что	3	1
27	интересно что в	1	1
28	у него нет	1	1
29	потому что в	3	1
30	с тем что	3	1
31	что он не	2	1
32	может быть названа	1	1
33	в то время	2	1
34	смысле в каком	2	1
35	в том смысле	2	1
36	и он же	1	1
37	но не было	1	1
38	в самом деле	1	1
39	связывает его с	1	1
40	что есть на	1	1
41	во многих отношениях	1	1
42	в зависимости от	1	1
43	в себе и	1	1
44	но и он	1	1
45	то время как	2	1
46	между двумя мирами	1	1
47	в отличие от	1	1
48	а не в	4	1
49	момент когда он	1	1
50	не в том	1	1
51	во всех этих	1	1
52	а иногда и	1	1
53	говорит о нем	1	1
54	во всяком случае	1	1
55	и на этом	2	1
56	она все же	1	1
57	и потому не	3	1
58	с этим связана	1	1
59	том смысле в	1	1
60	мы не знали	1	1
