N	2gram	Tiupa_Vved_1	StatiiOP
1	и в	13	29
2	том что	7	27
3	в том	10	27
4	в этом	21	21
5	не только	20	19
6	но и	19	19
7	что в	3	19
8	о том	5	17
9	в его	4	13
10	что он	1	13
11	между прочим	1	12
12	то что	6	11
13	все это	1	11
14	таким образом	4	10
15	к тому	6	10
16	в своем	5	9
17	он не	3	9
18	потому что	5	9
19	так и	8	9
20	этом отношении	4	9
21	и не	12	9
22	но в	6	8
23	как раз	2	8
24	по поводу	2	8
25	в ней	4	7
26	в самом	2	7
27	так например	1	7
28	в своей	5	7
29	в котором	8	7
30	не столько	4	7
31	тому что	1	7
32	того как	1	7
33	в виду	1	7
34	с тем	1	7
35	вместе с	1	7
36	одним из	5	6
37	и на	3	6
38	все же	6	6
39	вовсе не	1	6
40	того чтобы	1	6
41	и его	5	6
42	об этом	4	6
43	и что	1	6
44	в одном	1	6
45	в течение	1	6
46	в свет	1	5
47	было бы	4	5
48	точки зрения	1	5
49	того что	6	5
50	между тем	1	5
51	в качестве	8	5
52	своего рода	10	5
53	прежде всего	7	5
54	а не	15	5
55	о чем	2	5
56	в той	4	5
57	как бы	4	5
58	речь идет	1	4
59	хотя и	7	4
60	и к	2	4
61	в нем	5	4
62	что у	1	4
63	и с	2	4
64	должен был	1	4
65	не в	6	4
66	но также	2	4
67	и о	1	4
68	времени и	7	4
69	внимание на	3	4
70	но с	1	4
71	связи с	1	4
72	для него	3	4
73	с другой	5	4
74	действующих лиц	2	4
75	в речи	2	4
76	в частности	13	4
77	еще более	1	4
78	а как	1	4
79	в романе	6	4
80	к этому	2	4
81	например в	2	3
82	самом деле	3	3
83	на самом	4	3
84	идет о	1	3
85	в их	1	3
86	оба эти	1	3
87	хотя бы	1	3
88	подчеркнуть что	5	3
89	и он	1	3
90	но не	5	3
91	могло быть	1	3
92	которые не	1	3
93	как в	4	3
94	не было	2	3
95	что это	1	3
96	тому же	4	3
97	вообще не	1	3
98	в начале	3	3
99	из них	1	3
100	не мог	1	3
101	в этих	3	3
102	но он	1	3
103	по себе	2	3
104	не менее	4	3
105	не могло	2	3
106	никогда не	4	3
107	на себя	1	3
108	и по	3	3
109	тем что	2	3
110	у нас	1	3
111	оно не	1	3
112	столько же	1	3
113	как у	1	3
114	материал для	1	3
115	наконец в	1	3
116	но это	3	3
117	так что	1	3
118	ни одного	1	3
119	кажется что	1	3
120	всяком случае	1	3
121	что на	2	3
122	и даже	1	3
123	еще и	1	3
124	а с	2	3
125	пушкина как	1	3
126	до конца	3	3
127	сколько в	1	3
128	так же	1	3
129	другой стороны	2	3
130	не сумел	2	3
131	не является	3	3
132	отношении к	1	3
133	во всяком	1	3
134	как известно	1	2
135	также и	4	2
136	того же	1	2
137	тем же	1	2
138	то же	5	2
139	на первом	1	2
140	в полной	1	2
141	письма к	2	2
142	действующего лица	1	2
143	пребывания в	1	2
144	это время	2	2
145	далее в	1	2
146	и который	1	2
147	присутствует в	1	2
148	тогда как	10	2
149	отличие от	2	2
150	что они	1	2
151	на то	1	2
152	к сожалению	1	2
153	в истории	1	2
154	мере в	2	2
155	в одной	2	2
156	образцом для	1	2
157	более или	2	2
158	с сюжетом	1	2
159	все эти	1	2
160	в этой	1	2
161	в себе	5	2
162	как он	2	2
163	на его	1	2
164	при этом	26	2
165	если бы	7	2
166	тем не	3	2
167	не к	4	2
168	и более	3	2
169	значительной степени	1	2
170	том же	1	2
171	о которых	1	2
172	как и	11	2
173	несмотря на	1	2
174	в москве	1	2
175	или менее	2	2
176	что такое	18	2
177	в отношении	1	2
178	как произведение	1	2
179	в отличие	2	2
180	что я	1	2
181	от его	1	2
182	даже в	1	2
183	но они	2	2
184	в то	4	2
185	дело не	1	2
186	не имеет	2	2
187	в процессе	1	2
188	и теперь	1	2
189	не может	7	2
190	не по	1	2
191	только с	1	2
192	в области	3	2
193	в духе	1	2
194	самом тексте	1	2
195	в ее	1	2
196	в классической	1	2
197	и сам	1	2
198	особенно в	1	2
199	еще в	2	2
200	к первому	1	2
201	этом месте	1	2
202	к подлинному	1	2
203	а также	8	2
204	никак не	2	2
205	в значительной	1	2
206	что и	2	2
207	в какой	4	2
208	только в	6	2
209	в пушкинской	1	2
210	сами по	1	2
211	в конце	1	2
212	случае не	1	2
213	может быть	18	2
214	в них	2	2
215	в роман	1	2
216	в особенности	1	2
217	со стороны	5	2
218	в период	1	2
219	с той	1	2
220	из таких	1	2
221	и др	1	2
222	только к	1	2
223	только по	1	2
224	на этот	1	2
225	не на	1	2
226	связь с	1	2
227	и потому	1	2
228	как это	1	2
229	к своему	1	2
230	по своему	2	2
231	в данном	13	2
232	такого рода	16	2
233	столько в	1	2
234	той мере	2	2
235	в результате	3	2
236	а к	3	2
237	не должен	1	2
238	только что	1	2
239	во время	1	2
240	сказать что	1	2
241	они не	1	2
242	с кем	1	1
243	к своей	1	1
244	в приведенном	2	1
245	которого является	1	1
246	в первом	2	1
247	и до	1	1
248	высшей степени	2	1
249	в зависимости	1	1
250	той же	1	1
251	из всех	1	1
252	нуждаются в	1	1
253	мы не	4	1
254	это что	1	1
255	в сущности	1	1
256	говорить о	2	1
257	не вполне	3	1
258	в изложении	2	1
259	к началу	1	1
260	из того	1	1
261	в составе	2	1
262	событий и	1	1
263	этого термина	1	1
264	не совсем	1	1
265	их не	1	1
266	в каждой	1	1
267	сюжетной ситуации	1	1
268	еще не	7	1
269	он сам	1	1
270	этот текст	1	1
271	на своих	1	1
272	совершенно особое	1	1
273	своей работе	1	1
274	при жизни	1	1
275	но как	1	1
276	в сторону	1	1
277	здесь реплики	1	1
278	ответ на	1	1
279	по отношению	7	1
280	отношение к	2	1
281	с легкой	2	1
282	произведение не	1	1
283	тут же	1	1
284	воплощенной в	1	1
285	евгений онегин	1	1
286	нет как	1	1
287	не хотел	1	1
288	если она	2	1
289	до его	1	1
290	что касается	5	1
291	целый ряд	2	1
292	следует сказать	1	1
293	именно эта	1	1
294	о самом	1	1
295	них как	2	1
296	за собой	1	1
297	для которого	3	1
298	в литературном	1	1
299	представляет собой	15	1
300	в ответ	1	1
301	из этих	3	1
302	большей части	3	1
303	всего к	1	1
304	что к	1	1
305	с их	1	1
306	данном контексте	1	1
307	и тот	1	1
308	зависимости от	1	1
309	особое место	1	1
310	иначе и	1	1
311	в ряду	2	1
312	и если	1	1
313	что она	1	1
314	не следует	3	1
315	а то	2	1
316	но именно	1	1
317	вследствие этого	3	1
318	еще раньше	1	1
319	перестает быть	1	1
320	которой не	1	1
321	именно то	1	1
322	и еще	1	1
323	в принципе	1	1
324	к одному	1	1
325	не как	2	1
326	нам только	1	1
327	новое и	1	1
328	на этом	1	1
329	говоря в	1	1
330	в совершенно	1	1
331	значение в	1	1
332	различие между	1	1
333	те же	2	1
334	в несколько	1	1
335	не умеет	1	1
336	с другими	1	1
337	известно что	1	1
