N	3gram	Vygotskiy__5	VrazhdaK
1	и все же	1	5
2	в русской литературе	1	3
3	что в начале	1	2
4	с точки зрения	2	2
5	в письме к	1	2
6	и что в	3	2
7	не может быть	2	2
8	в том что	14	2
9	равно как и	1	1
10	в этом смысле	1	1
11	в ответ на	1	1
12	на первый план	2	1
13	до сих пор	5	1
14	знали что он	1	1
15	в этом отношении	3	1
16	что в нем	1	1
17	по крайней мере	1	1
18	и то что	3	1
19	может быть и	2	1
20	одно и то	3	1
21	едва ли не	1	1
22	так же как	2	1
23	тем что он	1	1
24	и что он	1	1
25	все равно не	1	1
26	в конце концов	2	1
27	и то же	3	1
28	и в этом	1	1
29	а с другой	4	1
30	все же не	1	1
31	что у него	1	1
32	с другой стороны	5	1
33	как бы в	2	1
34	шаг за шагом	1	1
35	нет ничего общего	1	1
36	что в этой	1	1
37	заключается в том	6	1
38	в то время	1	1
39	ли не самым	1	1
40	в свою очередь	1	1
41	о том что	6	1
42	и в самом	2	1
43	не только не	4	1
44	он как бы	1	1
45	они как бы	1	1
46	на то что	16	1
47	чтобы разобраться в	1	1
48	и о которой	1	1
49	речь идет о	1	1
