N	3gram	Bakhtin_fo_2	Hudozhes
1	о том что	1	9
2	в то же	4	8
3	то же время	4	8
4	и т п	11	8
5	в том что	3	6
6	к тому что	1	4
7	в связи с	7	3
8	как и в	1	3
9	жизни и смерти	1	3
10	но в то	1	3
11	и т д	3	3
12	в этом отношении	2	3
13	с точки зрения	8	3
14	связи с этим	2	2
15	о том как	3	2
16	к себе самому	3	2
17	что он не	1	2
18	вместо того чтобы	1	2
19	не только в	5	2
20	только в том	1	2
21	до сих пор	2	2
22	не может быть	1	2
23	с одной стороны	1	1
24	более двадцати пяти	1	1
25	себе самому и	1	1
26	с самого начала	1	1
27	по аналогии со	1	1
28	жизни так и	1	1
29	человека в пространстве	2	1
30	у него при	1	1
31	друг с другом	4	1
32	своей жизни в	1	1
33	мы уже говорили	3	1
34	а также и	1	1
35	и в то	3	1
36	и в этом	3	1
37	событий его жизни	1	1
38	с ним в	1	1
39	уже говорили о	1	1
40	в себя и	1	1
41	разумеется не в	1	1
42	к тому времени	1	1
43	точки зрения в	1	1
44	в их живой	2	1
45	с тем что	1	1
46	и та же	2	1
47	на первый взгляд	1	1
48	этой точки зрения	1	1
49	на самом деле	1	1
50	сих пор еще	1	1
51	но в этом	1	1
52	в отличие от	1	1
53	в чем не	1	1
54	друг другу то	1	1
55	в частности с	1	1
56	он не знает	1	1
57	одна и та	2	1
58	первой из них	1	1
59	сами по себе	2	1
60	картина мира полемически	1	1
61	то же самое	2	1
62	но все же	1	1
63	дело разумеется не	1	1
64	в конце концов	1	1
65	прежде всего в	2	1
66	не до конца	1	1
67	в данном случае	1	1
68	но при этом	1	1
69	как бы в	1	1
70	человек находится в	1	1
71	не может не	1	1
72	друг от друга	2	1
73	к себе и	1	1
74	ни в чем	1	1
75	в этих двух	1	1
76	как и все	1	1
77	объясняется тем что	1	1
78	времени и пространстве	1	1
79	том что он	1	1
80	каждый из них	1	1
81	в свою очередь	1	1
82	по своему содержанию	1	1
83	с этой точки	1	1
