N	3gram	Propp_Isto_7	Poddanst
1	не только в	5	4
2	в том что	4	4
3	с точки зрения	1	3
4	с одной стороны	4	3
5	в северной америке	1	2
6	но и в	2	2
7	в том мире	1	1
8	что это значит?	1	1
9	более или менее	1	1
10	только в условиях	1	1
11	вместе с тем	1	1
12	что во всех	1	1
13	все это в	1	1
14	так же как	4	1
15	там где он	1	1
16	мы все же	1	1
17	и весьма вероятно	1	1
18	в различных формах	1	1
19	с другой стороны	8	1
20	не может быть	3	1
21	том что из	1	1
22	и тем более	1	1
23	мы знаем что	1	1
24	в большинстве случаев	1	1
25	и т д	16	1
