N	2gram	Voloshinov_1	KFilosof
1	может быть	8	43
2	в его	7	39
3	в нем	2	31
4	не может	8	27
5	и не	8	26
6	по отношению	3	25
7	и в	13	22
8	в себе	3	21
9	отношению к	3	21
10	и его	12	17
11	в ее	3	17
12	а не	2	17
13	только в	6	16
14	в этом	2	13
15	точки зрения	7	13
16	и это	1	12
17	но не	1	12
18	для него	2	12
19	все эти	2	11
20	в своей	4	11
21	не в	3	11
22	к нему	1	11
23	в едином	1	10
24	в своем	1	10
25	с точки	5	10
26	все это	4	10
27	и есть	1	9
28	в их	3	9
29	в целом	2	9
30	но и	3	9
31	как бы	6	9
32	и для	3	9
33	и все	3	9
34	лишь в	4	8
35	было бы	4	8
36	если бы	2	8
37	не было	1	8
38	то что	6	7
39	во всем	2	7
40	на основе	1	7
41	в себя	1	7
42	и здесь	1	7
43	конечно не	1	7
44	вовсе не	2	7
45	менее всего	1	6
46	отношение к	1	6
47	отнюдь не	1	6
48	в мире	1	6
49	этот момент	1	6
50	и их	7	6
51	но это	1	6
52	в действительном	1	6
53	в том	2	6
54	мы имеем	1	5
55	все же	5	5
56	но в	4	5
57	жизнь как	1	5
58	не только	6	5
59	но ведь	5	5
60	то же	4	5
61	его в	1	5
62	как и	3	5
63	должно быть	1	5
64	не имеет	2	5
65	никогда не	3	5
66	для себя	2	5
67	ни одно	2	5
68	в теоретических	1	5
69	там где	2	5
70	в контексте	1	5
71	ее и	1	5
72	в основе	1	5
73	хотя бы	5	5
74	не знает	1	5
75	в действительной	1	4
76	в чем	2	4
77	при этом	2	4
78	не как	3	4
79	здесь мы	3	4
80	бы быть	1	4
81	входит в	2	4
82	с ними	2	4
83	и т.д	5	4
84	между тем	2	4
85	во всей	2	4
86	единая и	1	4
87	в одном	3	4
88	том что	2	4
89	а в	2	4
90	что в	3	4
91	в своих	2	4
92	самом деле	3	3
93	на самом	1	3
94	и этот	2	3
95	мы не	4	3
96	слово не	1	3
97	в ней	2	3
98	еще не	1	3
99	не могу	1	3
100	тем как	1	3
101	нет и	1	3
102	для которой	1	3
103	для того	1	3
104	из него	1	3
105	людей и	1	3
106	ее жизни	1	3
107	в каждом	4	3
108	в другом	2	3
109	когда я	1	3
110	не должно	1	3
111	не менее	2	3
112	на язык	2	3
113	могут быть	2	3
114	отсюда и	1	3
115	здесь нет	1	3
116	в виду	1	3
117	не имеем	1	3
118	того или	2	3
119	быть и	1	3
120	а лишь	1	3
121	и тем	2	3
122	и должна	1	3
123	тем что	2	3
124	и пр	7	3
125	до конца	1	3
126	вступает в	1	3
127	сознания и	2	3
128	от него	1	3
129	лишь как	1	3
130	только с	1	3
131	или иного	2	3
132	в то	1	3
133	себя как	1	2
134	мы здесь	1	2
135	и то	3	2
136	это и	1	2
137	едва ли	1	2
138	поскольку она	1	2
139	а как	2	2
140	на первом	1	2
141	вопрос о	1	2
142	ему в	1	2
143	с его	1	2
144	совсем не	1	2
145	в данном	2	2
146	или иное	1	2
147	один и	1	2
148	как в	2	2
149	как к	1	2
150	то или	1	2
151	и как	1	2
152	от этого	2	2
153	под ним	1	2
154	думать что	2	2
155	ни одна	1	2
156	в этой	1	2
157	и тот	1	2
158	вследствие этого	1	2
159	в виде	1	2
160	лишь с	1	2
161	так и	3	2
162	и может	2	2
163	конечно в	2	2
164	кажется что	2	2
165	из нее	1	2
166	соответствии с	2	2
167	возможности в	1	2
168	где она	1	2
169	есть его	1	2
170	тем не	1	2
171	по себе	1	2
172	тому что	1	2
173	и развивается	1	2
174	что эта	2	2
175	в определенной	1	2
176	в процессе	5	2
177	того чтобы	1	2
178	же время	1	2
179	в сознании	4	2
180	в области	2	2
181	пространство и	1	2
182	и именно	1	2
183	ничего общего	3	2
184	на нем	1	2
185	всей своей	2	2
186	говорить о	3	2
187	другое дело	1	2
188	сводится к	1	2
189	своей истории	1	2
190	или как	1	2
191	вся эта	1	2
192	может иметь	2	2
193	общего не	1	2
194	познания в	1	2
195	мышление и	1	2
196	тот же	2	2
197	что он	1	2
198	со всеми	1	2
199	события и	1	2
200	мы получим	2	2
201	сознания не	1	2
202	не из	1	2
203	и других	1	2
204	его и	1	2
205	содержания и	1	2
206	оторванные от	1	2
207	себе а	1	2
208	этим путем	1	2
209	для этого	1	2
210	себя и	1	2
211	прежде всего	9	2
212	он и	1	2
213	если не	1	2
214	подхода к	1	2
215	его на	2	2
216	должен сказать	1	2
217	быть не	1	2
218	этого слова	1	2
219	но для	3	2
220	которой он	1	2
221	потому что	1	2
222	его к	1	2
223	и ценностная	1	2
224	и эта	5	2
225	к этому	1	2
226	смысле слова	2	1
227	ту же	1	1
228	также и	1	1
229	человека и	1	1
230	функции в	1	1
231	и через	1	1
232	в эстетике	1	1
233	должен овладеть	1	1
234	здесь и	1	1
235	в чисто	1	1
236	и до	1	1
237	не имеют	1	1
238	ведь и	1	1
239	мышления но	1	1
240	особенно часто	1	1
241	в зависимости	2	1
242	мы уже	2	1
243	нуждаются в	1	1
244	содержания в	1	1
245	бы что	1	1
246	и ее	2	1
247	как свой	1	1
248	и он	1	1
249	эта интонация	2	1
250	мысли и	1	1
251	столь же	1	1
252	в различных	1	1
253	поэтому столь	1	1
254	что язык	1	1
255	к телу	1	1
256	систему и	1	1
257	в истории	1	1
258	с этим	3	1
259	и наконец	5	1
260	и к	2	1
261	оказывается с	1	1
262	была действительно	1	1
263	в действительности	2	1
264	в этот	2	1
265	или иную	1	1
266	в самом	2	1
267	не дано	1	1
268	значения как	1	1
269	в которой	3	1
270	ни один	3	1
271	и ритм	1	1
272	на то	1	1
273	если он	1	1
274	перевести его	1	1
275	что она	1	1
276	момента в	1	1
277	и обосновать	1	1
278	отношений между	2	1
279	ни была	1	1
280	их в	1	1
281	на этом	1	1
282	этим самым	1	1
283	же не	1	1
284	что мир	1	1
285	об этом	1	1
286	связанных с	2	1
287	значимое в	1	1
288	может стать	2	1
289	и иных	1	1
290	связанная с	1	1
291	между отдельными	1	1
292	и находит	1	1
293	неизбежно влечет	1	1
294	все равно	1	1
295	и уже	3	1
296	несмотря на	2	1
297	из проявлений	1	1
298	такой же	1	1
299	элемента в	2	1
300	не мог	2	1
301	и случайное	2	1
302	от своего	2	1
303	ритма и	1	1
304	художественного творчества	1	1
305	как все	1	1
306	которого является	1	1
307	к предмету	2	1
308	чуждым ей	1	1
309	каждой данной	1	1
310	чтобы затем	1	1
311	осуществляются в	1	1
312	нет никакого	1	1
313	в отношении	2	1
314	как о	1	1
315	мысли в	1	1
316	одна из	1	1
317	но может	1	1
318	к другим	1	1
319	он пытается	1	1
320	находятся в	1	1
321	разрыва между	1	1
322	по своей	1	1
323	за исключением	1	1
324	это слово	1	1
325	до того	1	1
326	не является	4	1
327	подлежит ведению	1	1
328	ни о	1	1
329	которых он	1	1
330	но там	1	1
331	и должно	2	1
332	во все	1	1
333	зависимости от	2	1
