N	3gram	Potebnia_M_3	VrazhdaK
1	то же время	5	4
2	в то же	5	4
3	и что в	1	2
4	не может быть	3	2
5	и о том	1	2
6	в том что	16	2
7	а между тем	2	1
8	то что я	2	1
9	далеко не все	3	1
10	равно как и	1	1
11	же время и	1	1
12	в том же	2	1
13	тем более что	1	1
14	это дает нам	1	1
15	а тем более	1	1
16	до сих пор	3	1
17	в этом отношении	2	1
18	только при помощи	1	1
19	по крайней мере	5	1
20	и то что	1	1
21	одно и то	5	1
22	к вопросу о	1	1
23	на первый взгляд	1	1
24	ответ на это	2	1
25	и то же	5	1
26	или по крайней	1	1
27	на свое место	1	1
28	с другой стороны	4	1
29	тем не менее	3	1
30	у него в	1	1
31	заключается в том	1	1
32	в то время	4	1
33	его отношение к	1	1
34	в свою очередь	3	1
35	что в ней	2	1
36	о том что	1	1
37	и в самом	2	1
38	не только не	2	1
39	может быть иначе	1	1
40	но и от	1	1
41	еще один пример	1	1
42	на то что	1	1
43	но как в	1	1
44	не только от	1	1
45	не вдаваясь в	1	1
46	что для нас	1	1
47	и все что	1	1
