N	3gram	Bakhtin_KF_1	VLabPisa
1	не может быть	11	8
2	по отношению к	22	7
3	в то же	2	5
4	хотя бы и	1	5
5	в конечном счете	1	5
6	то же время	2	5
7	в зависимости от	1	5
8	не было бы	3	4
9	в том что	2	4
10	равно как и	1	4
11	и в то	1	3
12	к тому что	1	3
13	бы и не	2	3
14	вместе с тем	1	3
15	во всех его	1	2
16	бы не было	1	2
17	все это только	1	2
18	не может не	1	2
19	для того чтобы	1	2
20	во всех этих	2	2
21	во всяком случае	1	2
22	и во всех	1	1
23	в едином и	4	1
24	может быть в	3	1
25	и в результате	1	1
26	в том же	1	1
27	ли это что	1	1
28	в этом смысле	3	1
29	лежит в основе	1	1
30	в ее основных	1	1
31	вопрос о том	2	1
32	со всем что	1	1
33	отнюдь не являются	1	1
34	значит ли это	1	1
35	отношению к ней	1	1
36	но в то	1	1
37	может быть и	1	1
38	процесс между тем	1	1
39	в целом и	2	1
40	в противном случае	1	1
41	не подлежит сомнению	1	1
42	то прежде всего	1	1
43	имеем в виду	2	1
44	если он не	1	1
45	стороне вопрос о	1	1
46	том что мы	1	1
47	то все же	1	1
48	как если бы	1	1
49	то же самое	1	1
50	того или иного	3	1
51	не в этом	1	1
52	и может быть	2	1
53	только в единстве	1	1
54	в том смысле	1	1
55	могло бы и	1	1
56	дело не в	1	1
57	не значит что	1	1
58	в стороне вопрос	1	1
59	но ни в	1	1
60	только в том	1	1
61	то или иное	2	1
62	той или иной	2	1
63	и в ту	1	1
64	вовсе не значит	2	1
65	в действительной жизни	1	1
66	как это было	1	1
67	и по отношению	1	1
68	действительной жизни и	1	1
69	со всех сторон	1	1
70	нет и не	1	1
71	только тогда когда	1	1
72	и не быть	2	1
73	не в том	1	1
74	никогда не может	1	1
75	ту или иную	1	1
76	в свою очередь	1	1
77	могло бы быть	1	1
78	мы говорим о	1	1
79	в соответствии с	2	1
